Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925579722729316352,2017-11-01 04:26:16,"Great insights, thanks to #GartnerSYM. Visit #TeamASG at our booth ⭐️ https://t.co/UTINA8LO0y",0,http://twitter.com
925482654874685440,2017-10-31 22:00:34,Did you know: “There’s been a 60% growth in technology skills required for non-IT roles over the past four years.” https://t.co/Lm9AcwpHw0,0,http://www.hootsuite.com
925149340913430529,2017-10-30 23:56:05,"""Once digital revenues reach 20% in any industry sector, the digital shakeout begins""

Great insights from Val... https://t.co/Pn2uNPFlKE",0,http://www.facebook.com/twitter
924881642769981440,2017-10-30 06:12:21,#TeamASG recently sponsored the 13th annual @ParkervilleCYC Charity Lunch.  This years lunch raised an amazing $713… https://t.co/UIH8ePLJ8u,0,http://twitter.com
923061385407315968,2017-10-25 05:39:18,"Visit us at @Gartner_inc Symposium/ITxpo. We have a couple of surprises, so keep following us &amp; visit our stand!… https://t.co/QnkX92zzkb",1,http://twitter.com
920144562345033729,2017-10-17 04:28:53,ASG is giving away 2 #googlehome devices at #VizYourWorld today. Get there quick! @qlik @googledownunder https://t.co/0v69z29642,0,http://twitter.com/download/iphone
920091986278752256,2017-10-17 00:59:58,"Visit us at @qlik's Visualise Your World Tour today in Sydney for Product demos, roadmaps &amp; more #VizYourWorld… https://t.co/eKEkRG3sCW",1,http://twitter.com
917213202198310912,2017-10-09 02:20:43,ASG &amp; @smsasiapac's acquisition by NRI demonstrates Japanese businesses investing heavily in the Australian market https://t.co/32lhOtiHOr,1,http://twitter.com
912472792171347969,2017-09-26 00:24:01,Today we join together with @smsasiapac to form #TeamASG.  Read the latest in @CRN_au https://t.co/J6xG1TSJ3k,6,http://twitter.com
912471906405588992,2017-09-26 00:20:30,"Today @ASG_Group and @smsasiapac join together to form #teamASG, 
offering a genuine alternative to Australia’s Tie… https://t.co/trnVZPV2pz",10,http://twitter.com
912187408531070980,2017-09-25 05:30:00,RT @MarvalSoftware: A big thanks to our #MarvalPartners @MarvalAustralia and @ASG_Group for their wishes! Good to be part of #TeamMarval. #…,2,http://twitter.com/download/iphone
911138127359512576,2017-09-22 08:00:32,RT @SAPANZ: Congratulations @ASG_Group on migrating #Yancoal to #SAPPartnercloud with #SaaS that mitigates downtime risks. https://t.co/eFd…,1,http://twitter.com/download/iphone
911031360994856960,2017-09-22 00:56:17,"#TeamASG at our recent Customer Day in Melbourne #SAPBusinessOne

Thanks Ajitha Ediriwira, Gregor Bresser, Tony... https://t.co/29R6laQKhc",0,http://www.facebook.com/twitter
910783373345398784,2017-09-21 08:30:52,RT @AjithaEd: At the @ASG_Group Customer Day! #SAPBusinessOne https://t.co/SvghYBes10,3,http://twitter.com/download/iphone
910373347992772611,2017-09-20 05:21:34,#TeamASG has landed a major contract to migrate Australian coal producer Yancoal Australia Ltd to a cloud SAP solut… https://t.co/RHRqLwJTd0,2,http://twitter.com
909643140692185089,2017-09-18 04:59:59,"ASG's Deepak Prasad recently spoke on the Super Data Science podcast about Data Visualisation @kirill_eremenko 
https://t.co/RwPMcf4hnl",1,http://twitter.com
907791856884269056,2017-09-13 02:23:39,#bigdata enables smarter workforce decisions #HRTechSummit #DigitalTransformation #TeamASG,1,http://twitter.com/download/iphone
907782367338573825,2017-09-13 01:45:56,RT @HRDAustralia: An #HRtech strategy should be agile enough to cater to the constant #disruption in today’s economy. @IAGAust #HRTechSummit,3,http://twitter.com/download/iphone
907758495189024768,2017-09-13 00:11:05,ASG is at #HRTechSummit today. How can your business better leverage digital platforms to improve people outcomes?… https://t.co/ATESwE6EBq,1,http://twitter.com/download/iphone
904923314686107648,2017-09-05 04:25:05,#TeamASG at #SAUGSummit Feel free to chat to our team who look forward to sharing their insights into the ASG way w… https://t.co/psyo3MD91X,3,http://twitter.com
