Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925052226149662720,2017-10-30 17:30:12,"Check out @HuffPost story with #breastcancer patient Iris, '...Control How You Handle It.' https://t.co/TAXETpKXGt @Maimah #AeroForm",3,http://twitter.com
924469569745383424,2017-10-29 02:54:55,@YMasannat Not yet. Please reach to us for more information: info@airxpanders.com,1,http://twitter.com/download/iphone
923942824227295233,2017-10-27 16:01:49,Want to know if you are a candidate for #AeroForm? Check out these frequently asked questions to find out:… https://t.co/iPXOPZZF7t,1,http://www.hootsuite.com
922595344709505024,2017-10-23 22:47:25,@BuchanIR @PopSci @BRAwareness Thank you!,0,http://twitter.com/download/iphone
922594383513423873,2017-10-23 22:43:36,"@DiepFlapBreast has such a smart, caring team! Our pleasure to meet and work with you today! https://t.co/2MJpu89PZr",3,http://twitter.com/download/iphone
922493076232433664,2017-10-23 16:01:03,#DYK 1 in 8 women in U.S. will be diagnosed w/#breastcancer in her lifetime? Get the facts: https://t.co/zUpqdjd2d0 #BreastCancerAwareness,3,http://www.hootsuite.com
921787106581606400,2017-10-21 17:15:46,@drchrysopoulo Thank you!,0,http://twitter.com/download/iphone
921448236753100801,2017-10-20 18:49:13,@LivingBeyondBC thank you for hosting #LBBCchat on #BRADay! We appreciate you discussing #BreastReconstruction recovery. #BCAM,0,http://twitter.com
921043603476111362,2017-10-19 16:01:21,October is #BreastCancerAwareness Month! Learn more about how you can get involved &amp; close the loop on breast cance… https://t.co/K7oglc9qsq,2,http://www.hootsuite.com
920685972207136769,2017-10-18 16:20:15,#AeroForm has been awarded the 2017 @PopSci #BestofWhatsNew Award in #Health! We are honored to receive this recogn… https://t.co/63V8vJjtDI,10,http://www.hootsuite.com
920449257387077632,2017-10-18 00:39:38,"Welcome to the #AeroForm team, @DiepFlapBreast! https://t.co/Bn2cndwXJ3",2,http://twitter.com
920318932317364224,2017-10-17 16:01:46,Straight Talk: #BreastReconstruction Recovery. Get info &amp; tips. #LBBCchat on 10/18 @ 8pm (ET): /https://t.co/sm0rF7SUI6 #AeroForm,1,http://www.hootsuite.com
920306054273024000,2017-10-17 15:10:36,"@WendellGMilesMD @dr Thanks, @WendellGMilesMD! Wonderful testimonial about #AeroForm",0,http://twitter.com
920126452363804672,2017-10-17 03:16:56,"Thanks for sharing your story, Katie! #AeroForm https://t.co/2lFPawxZcp",0,http://twitter.com
919960187313598465,2017-10-16 16:16:15,@LivingBeyondBC talks about #AeroForm just in time for #LBBCchat on #BRAday: https://t.co/KL7TmseeHU,0,http://twitter.com
919956426734407680,2017-10-16 16:01:18,Kristin from Rhode Island says #AeroForm gave her independence through the breast reconstruction process. Learn more https://t.co/XSGxK4jyES,2,http://www.hootsuite.com
