Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925503448304402432,2017-10-31 23:23:11,Interview with a Linguistic Project Manager: Meet @AppenGlobal's Sasha Wilmoth https://t.co/gAtN4iOTcn via… https://t.co/UrAfDbgrFP,0,http://twitter.com
925070225183141888,2017-10-30 18:41:43,What's the secret to successful #AI? @EceKamar shared at @CrowdWeek. Read about it on our blog. https://t.co/LQbdmBu6jM #MachineLearning,3,http://twitter.com
923657300786552832,2017-10-26 21:07:15,@harisushehu Thanks!,0,http://twitter.com
923644299014635522,2017-10-26 20:15:36,We're very excited to be named 2017 Technology Growth Company of the Year! #AI #MachineLearning #Tech https://t.co/JMVAl3yGhv,3,http://twitter.com
923641307964174336,2017-10-26 20:03:42,Great infographic on the modern Data Scientist. #DataScience #AI https://t.co/1S1FVXdhoI,2,http://twitter.com
922960591836168192,2017-10-24 22:58:47,New Machine Learning Model Could Accurately Detect Breast Cancer: https://t.co/DSlHzChgPP #MachineLearning #AI #CancerResearch,2,http://twitter.com
922531638617169921,2017-10-23 18:34:17,"Find us at @odsc, @KMWorld, and @ai_expo this November! https://t.co/QOyIiADf1E #AI #MachineLearning",0,http://twitter.com
921433263490572288,2017-10-20 17:49:44,"""98 percent of corporate leaders leaders see AI as essential for their businesses."" https://t.co/cJLiNZWx2L via @AIWorldExpo #AI",0,http://twitter.com
920023034643148801,2017-10-16 20:25:59,"@fridrix @USDOL Hi Frederick, can you send us a PM with your email address associated with your Appen account so we… https://t.co/8diy2WS78w",0,http://twitter.com
920006166104567809,2017-10-16 19:18:57,@sigir2018 Hi! Can you let us know how we can exhibit at SIGIT 2018?,0,http://twitter.com
919986239918325760,2017-10-16 17:59:46,The 16 best data scientists to follow on Twitter: https://t.co/Rm5y3nND31 via @computerworlduk #DataScience #MachineLearning,2,http://twitter.com
919982410699116547,2017-10-16 17:44:33,We're excited to be named a finalist in the 2017 Australian Growth Company Awards! https://t.co/6ZnR4LLCwe,1,http://twitter.com
918996567922577408,2017-10-14 00:27:10,How can companies improve search and how can results be made increasingly relevant? Learn on our blog: https://t.co/mLvwJnFYxe #Search #ML,4,http://twitter.com
918587541682495488,2017-10-12 21:21:51,Our team had an excellent day of meetings in Geneva at the UN and CERN. Thank you to the World of Opportunity Expor… https://t.co/wnV8barVhe,4,http://twitter.com
917819308960395264,2017-10-10 18:29:10,"Our UK team is on a trade mission at the United Nations in Geneva thanks to @HeathrowAirport, @tradegovuk, and… https://t.co/5FgFIxWlSy",4,http://twitter.com
917818428722790400,2017-10-10 18:25:40,"RT @damonallenhill: And if you don't have access to a million users for ongoing #ReinforcementLearning.. #AppenGlobal has 500,000 for #Mach…",1,http://twitter.com
915237951369396225,2017-10-03 15:31:46,We're at @CAOHangout in Boston this week! Stop by our booth to learn more about high-quality data for your #MachineLearning.,0,http://twitter.com
913435704763355136,2017-09-28 16:10:17,Interested in linguistics? Learn more about Appen's Pashto research on our blog. https://t.co/UPLMxzINpA #languagelearning #Linguistics,1,http://twitter.com
913435489838891009,2017-09-28 16:09:26,"@Sheyi_0jo Hi, please reach out to our team at recruitment@appen.com. Thanks!",0,http://twitter.com
913210480335847424,2017-09-28 01:15:19,Come by the Appen booth for a free glass of bubbly at #AISummit! https://t.co/KNMOtAZ3hZ,0,http://twitter.com
913099241286803456,2017-09-27 17:53:18,We're at #AISummit! Find us at booth B4 to talk about data for your machine learning and a chance to wear a pair of… https://t.co/KRgXHgpKuh,0,http://twitter.com
912727178646757378,2017-09-26 17:14:51,"""Healthcare is contributing to the growth of digital data, which in 2013 encompassed 4.4 zettabytes."" https://t.co/aHsZ2cwaky @AIWorldExpo",0,http://twitter.com
912465606120660992,2017-09-25 23:55:27,Heading to San Francisco this week to exhibit at #AISummit. Stop by booth B4 to learn more about high-quality data for #MachineLearning!,1,http://twitter.com
912368403326820352,2017-09-25 17:29:12,"RT @CrowdWeek: Network w/ attendees from @fb_engineering @AppenGlobal &amp; @Alegion at our 1 day Summit in Seattle 

→ https://t.co/6aj2GtxonS…",4,http://twitter.com
912368268186284033,2017-09-25 17:28:40,@bnNaturalbnMe Nope - should be fine. Let us know if you continue to have trouble!,0,http://twitter.com
910181005167857664,2017-09-19 16:37:16,"Thank you, @HeathrowAirport and partner, @tradegovuk, for choosing us as a World of Opportunity Export Grants Progr… https://t.co/V4yjpxtpVO",8,http://twitter.com
908736073546719233,2017-09-15 16:55:38,"RT @tradegovuk_SW: Congratulations @AppenGlobal for winning the @HeathrowAirport grant, they're spending it on a trade mission. Good luck!…",2,http://twitter.com
908723416793939970,2017-09-15 16:05:20,Don't miss your mimosa! Stop by the Appen booth and get yours before they're gone. #LuceneSolrRev https://t.co/nF898yIFhX,1,http://twitter.com
908680804380835840,2017-09-15 13:16:00,Celebrate the last day of #LuceneSolrRev with us! We'll be pouring mimosas all morning at the Appen booth.,4,https://about.twitter.com/products/tweetdeck
908397442051084288,2017-09-14 18:30:02,Curious how Lucidworks leverages Appen’s crowdsourcing capabilities? Hear @gsingers and @kvondy discuss in South Seas B. #LuceneSolrRev,0,https://about.twitter.com/products/tweetdeck
908390079223054336,2017-09-14 18:00:46,Up to 30% of visitors will use on-site search. Learn why human-annotated data matters from @kvondy &amp; @gsingers at… https://t.co/vNmw2XX7jd,1,http://twitter.com
908353397396516871,2017-09-14 15:35:00,Search is a critical component of any effective website or application. Learn more with @kvondy and @gsingers at 10:50am! #LuceneSolrRev,2,https://about.twitter.com/products/tweetdeck
908104506801565697,2017-09-13 23:06:00,We'll be pouring bubbly at @LuceneSolrRev's opening reception today. Join us! #LuceneSolrRev,1,https://about.twitter.com/products/tweetdeck
908077858370854914,2017-09-13 21:20:07,Stop by the Appen booth at @Finovate for a glass of bubbly and learn more about human-annotated data for… https://t.co/baOszF0llf,1,http://twitter.com
908073301964054528,2017-09-13 21:02:01,.@kvondy and @gsingers will be speaking tomorrow on Why Human Annotated Data Matters for Search. Catch the talk at 10:50am! #LuceneSolrRev,1,https://about.twitter.com/products/tweetdeck
907981197766139904,2017-09-13 14:56:01,We're heading to Las Vegas today and are excited to connect with everyone at @LuceneSolrRev! #solr,0,https://about.twitter.com/products/tweetdeck
907716974616170496,2017-09-12 21:26:05,Come by the Appen booth this week to talk with Suzanne about your high-quality data needs! #finovatefall https://t.co/3b04DvQDR1,0,http://twitter.com
907715798709522433,2017-09-12 21:21:25,RT @londonchamber: Great news! @AppenGlobal are using funding from @HeathrowAirport World of Opp programme towards our Trade Mission to Gen…,3,http://twitter.com
906998782004486145,2017-09-10 21:52:15,@sharkezoo Hi Muhammed! Please PM @lifeatappen. Thanks!,0,http://twitter.com
906997791494492160,2017-09-10 21:48:19,Looking forward to connecting with everyone at @Finovate in New York this week! #Finovate #finovatefall https://t.co/lhXrM4YNA2,0,http://twitter.com
