Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
923782171453566976,2017-10-27 05:23:27,"We work hard to prepare for fire season,declared early in Gippsland. Watch @9newsgippsland to see how we're helping… https://t.co/pCtGW1mx5o",2,http://twitter.com
917936900702457856,2017-10-11 02:16:26,RT @mcam39: Great @ceda_news panel on #energyfuture @ABBgroupnews @aglenergy @cleannrgcouncil @AusNetServices @MarchmentHill contributing h…,1,http://sproutsocial.com
917163246695735298,2017-10-08 23:02:12,"@Rannonj Hi, I can confirm the power outage is scheduled for an hour, however the maintenance work will continue th… https://t.co/F2yHvlYJKX",0,http://sproutsocial.com
912869526391291904,2017-09-27 02:40:30,RT @HapgoodK: At the @AusNetServices @DeakinSEBE women in engineering scholarships presentation 👏👏👏👏 https://t.co/PYWMzV2JrE,2,http://twitter.com/download/iphone
909597064543182848,2017-09-18 01:56:54,"@mickwarfie Hi mick, outage tracker is indicating an estimated restoration time of 6pm. We are working on a safe return of supply asap.",0,http://twitter.com/download/iphone
908916835302621184,2017-09-16 04:53:55,@ishwindersingh Please check https://t.co/dJd61a2JTf for outage information,0,http://twitter.com/download/iphone
908909127300145152,2017-09-16 04:23:17,"For up to date outage info, go to https://t.co/dJd61a2JTf",0,http://twitter.com/download/iphone
908894930025701377,2017-09-16 03:26:52,A truck hit a powerpole in Heathmont.We have reduced the no. of customers off supply to approx 1900.Crews are working to restore power asap,0,http://twitter.com/download/iphone
908893914249142273,2017-09-16 03:22:50,@PeteNash73 Hi Pete. You should have received a second text with the correct estimated restoration time. Apologies for the confusion.,0,http://twitter.com/download/iphone
907872253211115520,2017-09-13 07:43:07,"@laurashallue Hi Laura, please PM your address and phone number and we will investigate the situation. Thanks",0,http://twitter.com/download/iphone
907387777712623621,2017-09-11 23:37:59,"@Bob_Mart1n Hi Bob, could you PM through your contact details and we'll have one of our customer reps give you a call. Thanks, Emma",0,http://sproutsocial.com
907192995413319680,2017-09-11 10:43:59,RT @cleannrgcouncil: The CEC's @nrcollard speaking with Phaedra Deckart from @aglenergy &amp; Siham Knowles from @AusNetServices at tonight's @…,10,http://twitter.com/download/iphone
904609416699191296,2017-09-04 07:37:46,"@sfish_sfa @LendleaseGroup Thanks for your tweet, we will investigate this thoroughly.",0,http://twitter.com
904609019221860353,2017-09-04 07:36:11,"Ahead of the severe weather, check out our info about preparing for storms https://t.co/VqpnGvkujY",0,http://twitter.com
904608023825457152,2017-09-04 07:32:14,RT @BOM_Vic: Severe Weather Warning remains current for most of #Victoria https://t.co/JrHe5r6hFC https://t.co/2ddLk3lFjj,43,http://twitter.com
902077099380424704,2017-08-28 07:55:14,Applications for our Women in Power Engineering scholarships are open! Click here to apply https://t.co/lN7AcmUHHH… https://t.co/t8SzgyeYXm,4,http://twitter.com
901643633421557760,2017-08-27 03:12:48,"We're here for a little while longer to talk about our $10,000 women in power engineering scholarships… https://t.co/4mz1d1uKWx",2,http://twitter.com/download/iphone
901614686214340608,2017-08-27 01:17:47,"Dean of engineering, Karen Hapgood will be talking about the @Deakin engineering courses at 12pm in building x… https://t.co/O3Cum8aGXm",2,http://twitter.com/download/iphone
901612106067263489,2017-08-27 01:07:31,"RT @Deakin: 'At Deakin we develop employability skills, it's part of your course.' https://t.co/VeWJ9zCu4u",2,http://twitter.com/download/iphone
901601317050654720,2017-08-27 00:24:39,What did the engineer say to the philosopher? #WomenInEngineering @Deakin https://t.co/1WFHP4CID0,0,http://twitter.com/download/iphone
901584976721846272,2017-08-26 23:19:43,Great to see so many potential engineering students so early #DeakinOpenDay Burwood. Come visit us in the HE Buildi… https://t.co/B2GpuUMlST,2,http://twitter.com/download/iphone
900887625489362945,2017-08-25 01:08:42,"@mrs_caneva Hi Caroline, could you let us know what park in Greensborough and we'll follow it up. Thanks, Emma",0,http://sproutsocial.com
900510932123525120,2017-08-24 00:11:51,"Visit @deakin Burwood open day Sunday &amp; talk to our engineers &amp; scholarship holders about our $10,000 scholarships… https://t.co/V5t9onXVVs",0,http://twitter.com
899114818438705152,2017-08-20 03:44:12,Come and meet our current scholarship holders and recent graduates in the Cadet bldg and learn about our scholarshi… https://t.co/zb2xzugs1v,1,http://twitter.com/download/iphone
899087808744247296,2017-08-20 01:56:52,"Danielle, one of our current scholarship recipients speaking with a prospective student of Power Engineering… https://t.co/AYpfpRkhwy",1,http://twitter.com/download/iphone
899080371643367424,2017-08-20 01:27:19,Listen to graduate Dominic talking on the panel about energy in the CADET auditorium at 11.30 #DeakinOpenDay https://t.co/3fHyxxIKjL,0,http://twitter.com/download/iphone
899079098638622720,2017-08-20 01:22:15,AusNet Services Women in Power Engineering scholarships #DeakinOpenDay https://t.co/Ll24k1iYMI,3,http://twitter.com/download/iphone
899064825279422464,2017-08-20 00:25:32,The team has been joined by our MD - come and see us at Cadet Building #DeakinOpenDay https://t.co/cObEpfEWV4,2,http://twitter.com/download/iphone
899056490685661184,2017-08-19 23:52:25,Team is all here - ready to answer all your questions.  #DeakinOpenDay https://t.co/nKOeSil1DD,2,http://twitter.com/download/iphone
899046899813974016,2017-08-19 23:14:19,We are all ready to go at #DeakinOpenDay.  Come and see us at Cadet Building and learn about our scholarships https://t.co/kDXUWT0tG9,3,http://twitter.com/download/iphone
898387056967073792,2017-08-18 03:32:20,"Visit @deakin open day Sunday &amp; meet our engineers &amp; scholarship holders to talk about our $10,000 scholarships… https://t.co/3iYyh7lQSe",3,http://twitter.com
897687427665547266,2017-08-16 05:12:15,"Take a look at our helpful hints and tips about electrical safety before, during and after a storm… https://t.co/eTfBtCP4c5",0,http://twitter.com
897685802687352832,2017-08-16 05:05:48,"Strong winds are predicted over some regions. In case of an outage, go to https://t.co/dJd619L91H &amp; stay away from fallen power lines.",0,http://twitter.com
897674570936852485,2017-08-16 04:21:10,"RT @BOM_Vic: Latest Severe Weather Warning! Squalls across coast &amp; wind gusts over 100 km/h across N/E still possible, see: https://t.co/Jr…",10,http://twitter.com
897243389514588160,2017-08-14 23:47:48,Meet Exec General Mgr Alistair Parker @Deakin Waurn Ponds open day in the CADET building this Sunday 20 August .… https://t.co/1t1GhGGZpC,3,http://twitter.com
895907432903266304,2017-08-11 07:19:11,RT @BOM_Vic: Severe Weather Warning for damaging winds tonight/tomorrow morning now extended to include southern bayside suburbs https://t.…,12,http://twitter.com/download/iphone
895860744901623808,2017-08-11 04:13:40,"Did you know our Women in Power Engineering scholarship program incl $10,000 a year? Read more in our media release https://t.co/L3FPZwZBon",3,http://twitter.com
895859559633309698,2017-08-11 04:08:57,We're excited to offer 3 Women in Power Engineering Scholarships through @Deakin for students starting electrical e… https://t.co/c5uFThVcvB,8,http://twitter.com
895542091375271936,2017-08-10 07:07:27,"RT @BOM_Vic: Latest Severe Weather Warning for damaging winds, north-east ranges still at risk. Check out updated issue: https://t.co/JrHe5…",10,http://twitter.com/download/iphone
894321016708755460,2017-08-06 22:15:20,"@raoulendres Hi Raoul, we are sorry you are still having problems with gas supply. If you DM contact details, a cus… https://t.co/uwhQJMomOO",0,http://sproutsocial.com
893353408521920512,2017-08-04 06:10:24,"For up to date power outage information, visit https://t.co/dJd61a2JTf",0,http://twitter.com
893353006019760129,2017-08-04 06:08:48,"Wild weather predicted this weekend. For info on how to stay safe during bad weather, read https://t.co/a2gU2laDhE",0,http://twitter.com
893352579442159616,2017-08-04 06:07:07,RT @theage: Batten down the hatches Victorians - wild weather is coming this weekend @BOM_Vic https://t.co/smPZ9iud6m,35,http://twitter.com
891837171119804416,2017-07-31 01:45:25,"@rhk2583 Hi Ron, we are aware of the issue and are working on fixing it asap. PM your email address and customer se… https://t.co/W91le7fBDd",0,http://twitter.com
890810546215202817,2017-07-28 05:45:59,Attn Seddon &amp; Yarraville gas customers.The initiative to increase pressure has improved reliability of supply.Thanks for your patience!,1,http://twitter.com
890806421045915650,2017-07-28 05:29:35,"In the event of a storm, do not touch fallen powerlines. If you see a fallen powerline, please call 13 17 99 (24 hours a day). Thank you",1,http://twitter.com
890805888486735872,2017-07-28 05:27:28,"Gale force winds are predicted this weekend.Please read our info about what to do before, during and after a storm.https://t.co/a2gU2laDhE",0,http://twitter.com
890805279163424768,2017-07-28 05:25:03,RT @vicemergency: SEVERE Weather Warning issued for damaging and destructive winds. For more info on how to be storm safe: https://t.co/6ld…,14,http://twitter.com
890805206480437249,2017-07-28 05:24:46,RT @BOM_Vic: A strong front will cross #Victoria Saturday bringing gale force winds. Latest info: https://t.co/HLs2UYFQyQ https://t.co/8pFW…,36,http://twitter.com
890066133994307585,2017-07-26 04:27:57,RT @E_U_A_A: 'Customers at the fore front of our thinking and planning' @AusNetServices #VEF17 #energy,1,http://sproutsocial.com
890065039075545088,2017-07-26 04:23:36,RT @E_U_A_A: Adrian Hill @AusNetServices explains how changing nature of generation is changing the way they manage #transmission #VEF17 #e…,2,http://sproutsocial.com
889983068722933760,2017-07-25 22:57:53,RT @E_U_A_A: 2017 Victorian Energy Forum about to kick off. Thanks to sponsors @powerlinkqld @AusNetServices @GreenSync @transgrid #stanwell,2,http://sproutsocial.com
888183091759648776,2017-07-20 23:45:25,"@pageaffairs Hi Ralph, if you'd like to DM me your contact details and I'll get someone from our customer centre to… https://t.co/imSnYHbxPw",0,http://sproutsocial.com
887914234473873409,2017-07-20 05:57:04,Congratulations to the Mooroolbark mini grid trial team who were joint winners @cleannrgsummit innovation award.… https://t.co/AkYAg2295Y,3,http://twitter.com
887562831801012224,2017-07-19 06:40:43,Be careful during and after severe weather. Stay away from fallen powerlines. Keep up to date on outages at… https://t.co/QR0Gk3iL7S,0,http://sproutsocial.com
