Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925531986176774144,2017-11-01 01:16:35,CIMIC Group announces the appointment of Alternate Directors https://t.co/136VfOra1T,0,http://twitter.com
925531724192235521,2017-11-01 01:15:33,"CIMIC Group announces the appointment of Chief Executive Officer and Deputy CEO, COO https://t.co/EwlXeP8zXc",0,http://twitter.com
925531274697048064,2017-11-01 01:13:46,CIMIC Group Limited analyst and investor presentation -  9m results 2017 https://t.co/t9TYilPECK,0,http://twitter.com
925530767425355776,2017-11-01 01:11:45,Strong net cash position of $606m - Guidance confirmed - Q3 2017 Financial Results https://t.co/7eBhS3yGeo https://t.co/oOXkcn1vJ2,0,http://twitter.com
922978996530298881,2017-10-25 00:11:55,Congratulations Thiess! CIMIC's @ThiessMining awarded $440m BMA mining services contracts https://t.co/Q10m0GBEhu https://t.co/TT2mLlF41K,5,http://twitter.com
914657935233507328,2017-10-02 01:06:59,CIMIC's @UGLPtyLimited awarded $133m Bannerton Solar Park contract https://t.co/MIPdOGdoyG https://t.co/FxpXevvffY,3,http://twitter.com
912465833460326406,2017-09-25 23:56:22,CIMIC refinances and expands $2.6b syndicated bank facility https://t.co/ydCJyaGqJQ,1,http://twitter.com
912118208059994112,2017-09-25 00:55:01,CIMIC's @CPBContractors wins $145m prison upgrade https://t.co/jsJHSrfRbP https://t.co/oJ01EhKmhb,1,http://twitter.com
912115166019411968,2017-09-25 00:42:56,CIMIC's @ThiessMining awarded A$189m Jellinbah Plains extension https://t.co/oV5PdnRqW1 https://t.co/EB6zO63kXk,0,http://twitter.com
908147430540984320,2017-09-14 01:56:34,14 September is R U OK? Day. Across CIMIC Group we’re encouraging our teams to participate by asking “Are you OK?”.… https://t.co/nug7HXxl7k,0,http://twitter.com
907832648369950720,2017-09-13 05:05:44,CIMIC recognised as a leader in corporate sustainability https://t.co/QKGxMQnKzM https://t.co/TjMiVKgO0o,1,http://twitter.com
907501573181288448,2017-09-12 07:10:10,CIMIC's UGL awarded $1.9bn Melbourne suburban network O&amp;M contract https://t.co/yWnkX6d5Gu https://t.co/dPjk7beU2C,4,http://twitter.com
907394676222603264,2017-09-12 00:05:24,CIMIC's @LeightonAsia wins A$470m sewerage system project in Singapore https://t.co/Cewcv8oMdJ https://t.co/86ndFKKJVb,2,http://twitter.com
904528108761489408,2017-09-04 02:14:41,Contract award - CIMIC's @CPBContractors wins Pacific Highway upgrade works worth $365m https://t.co/px21bo5w7z https://t.co/M4x906oLGR,1,http://twitter.com
904524238744281088,2017-09-04 01:59:18,Contract award - CIMIC's @ThiessMining awarded A$437m GBU coal mine contract https://t.co/9BiXSTCAxJ https://t.co/Zv8EcUp8FM,1,http://twitter.com
903401837818032128,2017-08-31 23:39:17,CIMIC's @ThiessMining awarded A$300m MSJ contract extension in East Kalimantan https://t.co/422diSaj0n https://t.co/EE3tmh4M56,1,http://twitter.com
900509625555931136,2017-08-24 00:06:40,Appointment of CIMIC Group Deputy Chief Executive Officer https://t.co/4UpBlHre2N,2,http://twitter.com
895924880788512768,2017-08-11 08:28:31,CIMIC's CPB Contractors wins Christchurch Convention Centre https://t.co/FoxM2uHIcp https://t.co/wHyMvuzPj1,4,http://twitter.com
895102963840045056,2017-08-09 02:02:31,"@DUBLE_YEW_ARE_M Hi there, please visit our operating company Thiess' website to apply for roles in your area. https://t.co/JFAg3Ml0Tu",0,http://twitter.com
893346662222970880,2017-08-04 05:43:36,CIMIC's @CPBContractors  wins $215m Queensland Roads project in Mackay https://t.co/MlaXxLI8qf,2,http://twitter.com
893256195728785409,2017-08-03 23:44:07,"CIMIC Group upgraded to Baa2, outlook stable, by Moody's Investor Service https://t.co/pnXTDAhvYG",0,http://twitter.com
892954796432412676,2017-08-03 03:46:28,High school students paint Aboriginal murals on mining haul trucks https://t.co/eRNSSy6aGp https://t.co/gPNe9R5eSD,2,http://twitter.com
887148405612347392,2017-07-18 03:13:56,CIMIC's @CPBContractors preferred for Metro Tunnel Rail Systems https://t.co/eP8bamEffj https://t.co/rs0fnReBlo,2,http://twitter.com
887097116954198016,2017-07-17 23:50:08,"CIMIC Group HY17 Financial Results - NPAT up 22%, strong operating cash flow, guidance confirmed… https://t.co/X7uhRDMZce",0,http://twitter.com
884199998308491264,2017-07-09 23:58:01,CIMIC investment HLG Contracting awarded A$224m Dubai project https://t.co/fJtbKQWpsw https://t.co/DOKY84c69n,4,http://twitter.com
882746090612637705,2017-07-05 23:40:43,CIMIC divests shareholding in Macmahon https://t.co/lW48iLq3mV,0,http://twitter.com
882127933355155456,2017-07-04 06:44:23,CIMIC's @ThiessMining awarded $650 million Solomon extension in Western Australia https://t.co/sKiisWXNJI https://t.co/KcQWIhGGWM,1,http://twitter.com
881674668838592512,2017-07-03 00:43:16,CIMIC's @CPBContractors awarded $400m runway works by Brisbane Airport Corporation in a 50:50 JV with BMD. https://t.co/lzL8WyhbOT,4,http://twitter.com
877700337439694848,2017-06-22 01:30:41,CIMIC's @CPBContractors has been selected to deliver a new metro railway crossing deep under Sydney Harbour.… https://t.co/LcWXV4tmlR,4,http://twitter.com
875203419627077633,2017-06-15 04:08:50,Ventia named facilities management services provider for New Zealand contract https://t.co/RYAwdaF0qM https://t.co/YaM5Kz2fRW,1,http://twitter.com
870452612511944704,2017-06-02 01:30:49,CIMIC's @LeightonAsia awarded A$148m civil works project in Hong Kong https://t.co/IOrgI1lYSB https://t.co/YBePKRPciN,2,http://twitter.com
870446109319020544,2017-06-02 01:04:59,CIMIC's Thiess awarded $195 million Yallourn mining extension https://t.co/zMOxTpnrDq https://t.co/u5lkiNX7oo,1,http://twitter.com
870164603455414272,2017-06-01 06:26:22,Company news - CIMIC Group announces the appointment of Stefan Camphausen as Chief Financial Officer. https://t.co/0vA2fu2bWt,1,http://twitter.com
865002902967812096,2017-05-18 00:35:37,"CIMIC Group – including its operating companies, has come in at number seven in LinkedIn’s 2017 Top Companies list… https://t.co/LEe3ZXRq9D",6,http://twitter.com
864273720470155264,2017-05-16 00:18:07,Project announcement - CIMIC's @CPBContractors wins NZ$82m Baypark to Bayfair upgrade https://t.co/3NacKGVu1a https://t.co/r3aMuHfoAx,3,http://twitter.com
862453781069418496,2017-05-10 23:46:19,CIMIC Group upgraded to 'BBB/A-2'; outlook stable by Standard &amp; Poors https://t.co/7pALfAUUBc,1,http://twitter.com
862155905399267328,2017-05-10 04:02:40,$276m in new projects as part of Roe 8 renegotiation @CPBContractors https://t.co/OIM44ink45,1,http://twitter.com
862117851057971204,2017-05-10 01:31:27,CIMIC's UGL awarded $117m in solar EPC projects https://t.co/o1JaAt4tEV https://t.co/7bpoCkNJ6H,2,http://twitter.com
859916354769399809,2017-05-03 23:43:30,CIMIC's Sedgman wins $107m base metals project near Goulburn NSW. https://t.co/HkJtVBFEe6,1,http://twitter.com
859175835609079808,2017-05-01 22:40:56,CIMIC's @LeightonAsia awarded A$436m building contract in Honk Kong https://t.co/ef3IBySd0m,2,http://twitter.com
852336642165579776,2017-04-13 01:44:25,Annual General Meeting - Executive Chairman and CEO's address to shareholders https://t.co/APVxcof2ED,0,http://twitter.com
852310652429377536,2017-04-13 00:01:09,1Q17 results NPAT up 23.0% YOY to $160.3m guidance confirmed https://t.co/fWV8wdYSZz Analyst &amp; investor presentation https://t.co/PLTEgxHdqa,1,http://twitter.com
851991473063165953,2017-04-12 02:52:51,CIMIC Group companies awarded NZ schools PPP project @CPBContractors https://t.co/27xyViESea https://t.co/wEUmVTHndI,2,http://twitter.com
