Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
923707978959618048,2017-10-27 00:28:38,"53% of Australian life science organisations are industry-based with 875 companies employing approx 69,000 people… https://t.co/7SamHFsET1",7,http://twitter.com
923401286346665984,2017-10-26 04:09:57,CSL Behring's Community Grant Program is now open to community groups within &amp; around Broadmeadows. See… https://t.co/S5PnfYIjXt,3,http://twitter.com
922286666047356928,2017-10-23 02:20:51,Tune in to @abcsydney at 3.10pm today to hear #cslfellows Sarah-Jane Dawson talking about her ground-breaking work… https://t.co/rkn4i4q7es,5,http://twitter.com
921946986579767298,2017-10-22 03:51:05,CSL's Neama Baho 'navigating the international regulatory environment' #bridgeprogram2017 @program_bridge https://t.co/lYsqRNG16k,2,http://twitter.com/download/iphone
921536838023618560,2017-10-21 00:41:18,Proud to be a sponsor of inaugural Bridge Program commercialisation education initiative #bridgeprogram2017… https://t.co/QbCubgFWuM,8,http://twitter.com/download/iphone
920789967302885376,2017-10-18 23:13:30,Hearty congratulations to all the winners of the #PMprizes for Science – your significant contribution does the fie… https://t.co/Y19L5e3vHt,6,http://twitter.com
920409259556274176,2017-10-17 22:00:42,We look forward to sharing our FY17 highlights at the AGM today. Join us online for a live webcast from 10.00am @… https://t.co/oJpM66jY9k,2,http://twitter.com
920172313072431109,2017-10-17 06:19:10,“Australian research has an excellent track record in new discoveries to potentially address unmet medical needs” M… https://t.co/dVvjEaagK0,15,http://twitter.com
920167453744775169,2017-10-17 05:59:51,What really causes our arteries to clog? #CSLFellows Andrew Murphy wants to find out @Baker https://t.co/CxnI9t9lim https://t.co/9mUT1elSRb,12,http://twitter.com
920165476717666304,2017-10-17 05:52:00,Pioneering the use of liquid biopsies for gentler cancer testing. Meet the #CSLFellows recipients @PeterMacCC… https://t.co/eQpBCSbZHa,13,http://twitter.com
920164767972466688,2017-10-17 05:49:11,Congratulations to the 2018 #CSLFellows who will each receive $1.25million in support of ground breaking research… https://t.co/0slKQbLgrk,17,http://twitter.com
919776030935543808,2017-10-16 04:04:29,Are you a CSL shareholder and can’t make the Melb AGM on 18 Oct? We’ve got you covered. Webcast from 10.00am via… https://t.co/NUmmP9ABKM,0,http://twitter.com
918690561044889600,2017-10-13 04:11:12,Next Tues we’ll be giving $1.25million each to 2 inspiring early-career biomed researchers  #CSLFellows… https://t.co/Yd6KVi2sHL,11,http://twitter.com
918300874799063040,2017-10-12 02:22:44,"People with bleeding disorders can experience long and spontaneous bleeds in joints, muscles and other areas of the… https://t.co/aHLXOGOIY3",3,http://twitter.com
917982174711828480,2017-10-11 05:16:20,"Von Willebrand Disease is the most common inherited bleeding disorder, affecting up to 1% of the world’s population… https://t.co/YROsxSNTTz",1,http://twitter.com
917604260942028800,2017-10-10 04:14:38,It’s Bleeding Disorders Awareness week for Australians living with conditions such as Haemophilia and Von Willebran… https://t.co/XdMmtSHnEG,8,http://twitter.com
917287405941538816,2017-10-09 07:15:34,"RT @JulieMcCrossin: Prof Ian Fraser: Gardisal 9 cancer vaccine for boys &amp; girls: prevent head &amp; neck , cervical &amp; other cancers @RACGP @thr…",21,http://twitter.com/download/iphone
