Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
885674862366269440,2017-07-14 01:38:36,"School holiday program w/ @TinkerTankedu supports working
families. We’re committed to developing talents (big &amp; sm… https://t.co/ZN4rmvgUV4",3,http://twitter.com
857080909610307584,2017-04-26 03:56:27,"RT @CarlosFloresLen: The most energy efficient office building in Melbourne. Well done, @CbusProperty and @CharterHallGrp! https://t.co/NJp…",6,http://twitter.com
854565011070435328,2017-04-19 05:19:10,RT @FinStd: New CFO for property fund manager @CharterHallGrp #finserv #ausbiz $CHC @karrenFinStd reports: https://t.co/AUaa845wlL,1,http://twitter.com
851255202355101696,2017-04-10 02:07:10,"RT @Good2GiveNGO: Thousands raised through #workplacegiving appeals 4 #CycloneDebbie! @bupa
@DeutscheBank @VicinityCentres @Suncorp @auspos…",3,http://twitter.com
848746744980545536,2017-04-03 03:59:27,RT @NotesbyNeha: We've officially launched @comfyapp on our 3rd continent! Cheers to @CharterHallGrp - the first Comfy location in the sout…,11,http://twitter.com
847317586702327810,2017-03-30 05:20:29,RT @FinStd: .@CharterHallGrp fund debuts on multiple investment platforms #finserv #ausbiz @karrenFinStd writes: https://t.co/IdJyym6SGn,1,http://twitter.com
847232028843974656,2017-03-29 23:40:31,"RT @JohnHollandAus: Very much enjoyed the tour of 1 Parramatta Square held by @propertycouncil @CharterHallGrp, constructed by John Holland…",1,http://twitter.com
847213675077226501,2017-03-29 22:27:35,"RT @ShedMediaAus: The @CharterHallGrp Direct Office Fund is now available on top #investment platforms due to increased adviser demand
http…",1,http://twitter.com
839708262589095936,2017-03-09 05:23:45,"RT @CommSec: [VIDEO] Executive Series: @CharterHallGrp Long WALE REIT Fund Manager, Avi Anger on $CLW's upgraded guidance https://t.co/6Nzr…",2,http://twitter.com
839311979139362816,2017-03-08 03:09:04,"RT @cbreNewZealand: #beboldforchange - What that means for @CharterHallGrp’s
Natalie Devlin #IWD2017 @womensday https://t.co/9EKbrMgndn",1,http://twitter.com
839310937932771328,2017-03-08 03:04:55,"RT @cbrewomen: #beboldforchange - What that means for @CharterHallGrp’s
Natalie Devlin #IWD2017 @womensday https://t.co/zCoMDlXhLW",5,http://twitter.com
836704123332407298,2017-02-28 22:26:22,RT @TheUrbDev: Last Site on Breakfast Creek Road Brisbane Awaits Building Approval. Joint Venture @CharterHallGrp + @JohnHollandAus https:/…,2,http://twitter.com
835230164195799040,2017-02-24 20:49:23,"RT @AFRproperty: 'A five-year purple patch': Property funds powerhouse @CharterHallGrp upgrades outlook, @NickLenaghan reports.

 https://t…",1,http://twitter.com
835019784831918080,2017-02-24 06:53:25,"RT @AFRproperty: 'A five-year purple patch': Property funds powerhouse @CharterHallGrp upgrades outlook, @NickLenaghan reports.

https://t.…",1,http://twitter.com
