Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925476114402701312,2017-10-31 21:34:34,Cochlear implant made for iPhone arrives in New Zealand | https://t.co/ABv3LipFNg https://t.co/MnaWMqFon4 via @voxynz,0,http://twitter.com
925475912694378497,2017-10-31 21:33:46,New technology to change the lives of Kiwis who have cochlear implants https://t.co/gGUMWSOVZm via @1NewsNZ,0,http://twitter.com
925475746465775616,2017-10-31 21:33:07,The world's first and only Made for iPhone cochlear implant sound processor is now available in NZ @CochlearAsiaPac https://t.co/2uRnPxut7R,0,http://twitter.com
924952415719133184,2017-10-30 10:53:35,We are proud to be part of tonight's leading free science event with #HaroldVarmus and Prof Graeme Clark @GCOration… https://t.co/up71d3AU4U,1,http://twitter.com
924932406267670528,2017-10-30 09:34:04,At the @GCOration to hear #HaroldVarmus share insights into cancer research #HearnowAndalways #Cochlearfamily… https://t.co/WfU77LZbxn,0,http://twitter.com
924741014836756480,2017-10-29 20:53:33,Do you have an interest in science and innovation? Don’t miss eminent scientist #HaroldVarmus tonight @GCOration… https://t.co/xsVG0WS1ss,0,http://twitter.com
923696584784732160,2017-10-26 23:43:21,Only 4 days until Australia's leading free science event #2017gco with guest speaker Nobel Prize winning scientist… https://t.co/NdQR3RJh5w,3,http://twitter.com
923068533528936450,2017-10-25 06:07:42,Today our Nucleus 7 Sound Processor launched in Australia @CochlearAsiaPac @Apple #HearYourWay #Cochlearimplant… https://t.co/k6KaZWk1o2,1,http://twitter.com
923067403222712320,2017-10-25 06:03:13,The Nucleus 7 Sound Processor is the world's first and only made for iPhone cochlear implant sound processor and it… https://t.co/dRmFKMFDuQ,0,http://twitter.com
922976198493224962,2017-10-25 00:00:48,@Jan_Cochlear talks about Cochlear's latest innovation with @australianit and our collaboration with Apple that led… https://t.co/LGuYqJ2AFV,0,http://twitter.com
922975333480931328,2017-10-24 23:57:22,"Today we launched the Nucleus 7 Sound Processor, the first and only Made for iPhone #cochlearimplantsoundprocessor… https://t.co/44DdC8Nq2Z",1,http://twitter.com
922711324701757442,2017-10-24 06:28:17,"@Macquarie_Uni and Cochlear have announced the Cochlear Chair in Hearing and Healthy Ageing, focused on collaborati… https://t.co/BnKrxZWGyS",0,http://twitter.com
922710569144209408,2017-10-24 06:25:17,RT @Macquarie_Uni: We are very pleased to announce the establishment of the co-funded Cochlear Chair in Hearing and Healthy Ageing #mq  htt…,6,http://twitter.com
920865597277093888,2017-10-19 04:14:01,#GraemeClark #HearNowAndAlways #Cochlearfamily https://t.co/T0hFpPBuyu,0,http://twitter.com
913532187399536640,2017-09-28 22:33:40,RT @PindropNZ: Good article with @DrFrankRLin discussing #hearingloss &amp; cognitive decline in @nytimes #cochlearimplant https://t.co/iaSqLiA…,3,http://twitter.com
909935272292257792,2017-09-19 00:20:49,A great story about the remarkable difference when hearing loss is detected early #Cochlearimplants… https://t.co/nb4koDzQXM,7,http://twitter.com
909933231968886785,2017-09-19 00:12:42,A wonderful initiative by @ShepherdCentre #HearNowAndAlways #Cochlearimplant https://t.co/WXEIod9GUF,2,http://twitter.com
909932872739414016,2017-09-19 00:11:17,"Cochlear is a proud supporter of @GCOration , the premier free public science event #HearNowAndAlways… https://t.co/Q86Q3E8sia",3,http://twitter.com
908166360320024577,2017-09-14 03:11:47,Together with @deafnessforumau we support hearing health being made Australia's 10th National Health priority https://t.co/nP82vxg3eX,2,http://twitter.com
907744481767677952,2017-09-12 23:15:24,A great read for any adults struggling with their hearing #HearNowAndAlways  https://t.co/W7bz13FYGv via @FinancialReview @JillMargo1,3,http://twitter.com
905604189165731841,2017-09-07 01:30:38,Don't miss Australia's leading free science event this October #HearNowAndAlways #cochlearimplant https://t.co/XjAamRdMez,2,http://twitter.com
905260444192989185,2017-09-06 02:44:43,For eligible people #cochlearimplants are a good choice #HearNowAndAlways https://t.co/55pAb1tRR6,1,http://twitter.com
905202524117798912,2017-09-05 22:54:34,"RT @EconomistEvents: “We need policy setting that foster innovation in a long term way.” says @Jan_Cochlear senior VP, design and developme…",2,http://twitter.com
905200435253846017,2017-09-05 22:46:16,A great documentary about how hearing is important for people of any age #cochlearimplant #HearNowAndAlways https://t.co/SvfZ6ptslU,3,http://twitter.com
