Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
895066680925147137,2017-08-08 23:38:20,The fight is on live &amp; loud across Crown! Watch it with your mates on Sunday 27 August from 9am. More details here… https://t.co/uUONAiXmew,4,http://twitter.com
892928391602593792,2017-08-03 02:01:33,We're excited to announce the 2018 #AussieMillions Schedule. Will you be the next champion? Full details at… https://t.co/VixdDFIlu6,0,http://twitter.com
869798619393732608,2017-05-31 06:12:05,Showgirls are coming to Crown! You’re invited to see the dazzling Vegas-style performance in the Atrium at… https://t.co/6YXFQcmxjj,4,http://twitter.com
869751492667822083,2017-05-31 03:04:49,RT @gold1043: Win your way to VEGAS on us! Details: https://t.co/BwevA5VK16  #joandlehmo #vegasparty Thanks to @CrownResorts! https://t.co/…,2,http://twitter.com/#!/download/ipad
864977922855059456,2017-05-17 22:56:21,RT @zefermarketing: #DidYouKnow @CrownResorts #Melbourne has attained a 5 star rating by @ForbesInspector #2017 https://t.co/l6uZefRbyo,2,http://twitter.com
856105339674009600,2017-04-23 11:19:53,Vote for the best celebrity selfie at this year’s #TVWEEKLogies,6,http://twitter.com
856096040423890944,2017-04-23 10:42:56,RT @ashwilliams1: It's always good to bump into Dad. @richardwilkins #TVWeekLogies @crownresorts Xx https://t.co/9OOAb4TRDd,5,http://twitter.com/download/iphone
856052830938976257,2017-04-23 07:51:14,A cheeky one with @MattsCravat #TVWEEKLogies https://t.co/4tpcs0HZiU,1,http://twitter.com/download/iphone
856052450305888256,2017-04-23 07:49:43,The Judds stopped for a selfie with @dylanalcott #TVWEEKLogies https://t.co/Gw4qtXQJXc,1,http://twitter.com/download/iphone
856041592649424899,2017-04-23 07:06:34,Celebrity selfie sabotage #photobomb #TVWEEKLogies https://t.co/qNoCYf8u8S,5,http://twitter.com/download/iphone
856038470514429952,2017-04-23 06:54:10,Next up @DylanAlcott with Anna &amp; Tim from @TheBachelorAU #TVWEEKLogies #CrownMelbourne https://t.co/nDUSllBmXF,0,http://twitter.com/download/iphone
856038069337694210,2017-04-23 06:52:34,The first selfie of the night goes to @ashwilliams1 &amp; @karlstefanovic #TVWEEKLogies #CrownMelbourne https://t.co/x5z52jN1o1,6,http://twitter.com/download/iphone
856031325244936192,2017-04-23 06:25:46,RT @ashwilliams1: Things are getting loose on the red carpet @karlstefanovic #GreatKisser #TVWeekLogies @crownresorts 😘😘😘😘😘x https://t.co/2…,2,http://twitter.com/download/iphone
856026565322211328,2017-04-23 06:06:52,We're now live on the #TVWEEKLogies red carpet. May the best man get the best celebrity selfie. #CrownMelbourne https://t.co/TKbHM9vvIX,5,http://twitter.com/download/iphone
856020276126949376,2017-04-23 05:41:52,#4 A 'Boss' suit #TVWEEKLogies @HUGOBOSS https://t.co/jHuMse9eit,0,http://twitter.com/download/iphone
856020146736971776,2017-04-23 05:41:21,#3 Great hair #TVWEEKLogies #CrownMetropol https://t.co/T7iqf7nMeV,1,http://twitter.com/download/iphone
