Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925244321871249408,2017-10-31 06:13:31,Quarterly Activities and Cashflow Reports $FAR - https://t.co/jWeXZ6QxVR,3,http://www.radargroup.com.au
925169274561298432,2017-10-31 01:15:18,Supporting @BCNAPinkLady with a pink lady morning tea! https://t.co/hudBtWxEnX,2,http://twitter.com
923363799121281024,2017-10-26 01:40:59,"Oil price, Cairn/Far, Savannah, Sundry-Premier-Genel-Eco Atlantic-And finally... https://t.co/d0b7rZ5uyF via @proactive_uk",0,http://twitter.com
922989724620308480,2017-10-25 00:54:33,"Wood Mac: #Africa has #oil potential, but progress will be slow https://t.co/VoJYty7k0s via @crudeoilprices and @dan_graeber",1,http://twitter.com
922700690564288514,2017-10-24 05:46:02,"""Clear path to commerciality"" for Senegal oil https://t.co/Y7yy3o7dNX via @oilreviewafrica",10,http://twitter.com
919741815426658304,2017-10-16 01:48:31,Q&amp;A with Cath Norman - October 2017 https://t.co/u8tIlTKzsA via @YouTube,3,http://twitter.com
915352385412677632,2017-10-03 23:06:29,Change of Director's Interest Notice $FAR - https://t.co/2yrUa6cUxi,1,http://www.radargroup.com.au
912170198756503552,2017-09-25 04:21:37,"Hosting the Gambian National Oil Company along with Mr Fafa Sanyang, Minister of Petroleum &amp; Energy at our new offi… https://t.co/iKk7DvRZhz",9,http://twitter.com
911009727022211072,2017-09-21 23:30:19,The opening of the #FAR office in #Banjul and welcome to our Gambian team members https://t.co/yuf3ilcQlQ,9,http://twitter.com
908485108340072449,2017-09-15 00:18:23,I added a video to a @YouTube playlist https://t.co/9DhwVyeRQb RIU Good Oil Presentation 2017,2,http://www.google.com/
908112137796558849,2017-09-13 23:36:20,See the presentation given by our chief geoscientist Jon Keall at #RIUGoodOil Conference $FAR - https://t.co/dEPX6deeGa,3,http://www.radargroup.com.au
907870577410564097,2017-09-13 07:36:27,Recent Upstream journal article $FAR - https://t.co/rw0JPAUWCS,3,http://www.radargroup.com.au
907775710722383872,2017-09-13 01:19:29,"If you are at the #RIUGoodOil Conference today in Perth, drop by and see FAR's Chief Geoscientist Jon Keall. https://t.co/6AEnimYNAO",1,http://twitter.com
905232416083607552,2017-09-06 00:53:21,Good first half of 2017 for West African explorer FAR Ltd. https://t.co/mfEQZfS8zQ (via @crudeoilprices and @dan_graeber ),6,http://twitter.com
904954628332167168,2017-09-05 06:29:31,Half Year Accounts $FAR - https://t.co/WDvcbsYRIC,1,http://www.radargroup.com.au
900937167010017281,2017-08-25 04:25:33,@FAR awarded additional equity and improved deep water terms in the #GuineaBissau Licences https://t.co/Q7B2Cf4u92,0,http://twitter.com
900866709598355456,2017-08-24 23:45:35,Guinea-Bissau Update $FAR - https://t.co/hgNNSqv3Mp,2,http://www.radargroup.com.au
900604147040305152,2017-08-24 06:22:15,"Meet our Chief Geoscientist, Jon Keall, this year at the #RIU Good Oil Conference in #Perth on September 13th https://t.co/DPFLQbdau7",3,http://twitter.com
894738263772078081,2017-08-08 01:53:20,#Oil success continues offshore #Senegal https://t.co/c0v8iP1zYi via @crudeoilprices and @dan_graeber,14,http://twitter.com
894440411535556608,2017-08-07 06:09:46,SNE North-1 exploration well discovers hydrocarbons $FAR - https://t.co/7DJb0zNv6u,2,http://www.radargroup.com.au
893322466650505216,2017-08-04 04:07:27,"Cath Norman yesterday presented at the Sydney @miningclub Lunch, follow the link for the full #presentation… https://t.co/OyjWLYH11h",6,http://twitter.com
892179649115049984,2017-08-01 00:26:18,Tim Woodall to join FAR board $FAR - https://t.co/6jsIX87XtK,3,http://www.radargroup.com.au
891942563233398785,2017-07-31 08:44:13,Quarterly Activities &amp; Cashflow Reports $FAR - https://t.co/Cpu5FV9B3F,2,http://www.radargroup.com.au
884934170547429376,2017-07-12 00:35:22,Cairn finds oil in FAN South well off Senegal https://t.co/XfeaM0H783 (via @offshoreenergyt),2,http://twitter.com
884932728499523584,2017-07-12 00:29:38,"RT @mgrahamwood: Malcy's blog today: on Oil price, Cairn/FAR, And finally... - https://t.co/CSb1KtEt5S",10,http://twitter.com
884665556602806272,2017-07-11 06:47:59,Senegal Drilling Update FAN South-1 &amp; SNE North $FAR - https://t.co/QY1dKwn0aa,8,http://www.radargroup.com.au
881646290135695361,2017-07-02 22:50:30,Government approval granted for Gambia farmin $FAR - https://t.co/L6E0X33JlX,7,http://www.radargroup.com.au
879518470173478912,2017-06-27 01:55:18,The #Gambia : The Next Major Oil Play? https://t.co/2ZtNf2IKLY (via @GEOExPro),6,http://twitter.com
879160960493146112,2017-06-26 02:14:41,@agenceecofin Sénégal: Far fait recours à un arbitrage international pour résoudre son différend avec ConocoPhillips https://t.co/pTnpPY4pQD,1,http://twitter.com
878065716565483520,2017-06-23 01:42:35,FAR has done it again! We have been honoured with 'Exploration Company of the Year' award @TheOilCouncil #Africa As… https://t.co/rDIDWJ6RR6,13,http://twitter.com
877687850795278336,2017-06-22 00:41:04,"RT @mgrahamwood: Malcy's blog today: on Oil price, Echo Energy, Cairn/FAR, Sundry-Ophir-Faroe-Various broadcasts- And finally... - https://…",12,http://twitter.com/download/iphone
877330603837759488,2017-06-21 01:01:30,WPL: Senegal Reaffirms Completion of Transaction $FAR - https://t.co/YLX0VExI2Y,0,http://www.radargroup.com.au
877080999909244928,2017-06-20 08:29:40,FAR files for arbitration $FAR - https://t.co/gOBMQBWXEI,6,http://www.radargroup.com.au
872654204929622016,2017-06-08 03:19:10,FAR Ltd's response to Woodside #Senegal announcement https://t.co/458f58gwBn,10,http://twitter.com
869072600755916801,2017-05-29 06:07:09,$FAR Ltd today held the 2017 Annual General Meeting of Shareholders. Read the full presentation here… https://t.co/shIqXvDiZw,4,http://twitter.com
867913176561491969,2017-05-26 01:20:00,Drilling has commenced on the FAN South-1 #Exploration well https://t.co/PdxIcbGqUI https://t.co/NATNNQjJFw,4,http://twitter.com
867523677247504389,2017-05-24 23:32:17,"FAR MD @cath_norman presented at the 16th #Africa Independents Forum, see the full presentation here… https://t.co/jNnt9pVq4m",6,http://twitter.com
865106437235630080,2017-05-18 07:27:02,Drilling of FAN South-1 well to be commenced on completion of #SNE-6 operations https://t.co/9wHEnQhuqA,4,http://twitter.com
865106167566958592,2017-05-18 07:25:57,https://t.co/NooZkAPfY5,3,http://twitter.com
865105392644177920,2017-05-18 07:22:53,"Successful connectivity result from SNE-6 appraisal well, offshore Senegal https://t.co/9wHEnQhuqA",4,http://twitter.com
865087498371743744,2017-05-18 06:11:46,"Don't forget to register your attendance if you wish to attend our AGM in Melbourne, click here to register… https://t.co/eeo0WyMiVg",3,http://twitter.com
863934645812854784,2017-05-15 01:50:45,Results of the $FAR Extraordinary General Meeting held today have now been released to the #ASX https://t.co/FE5Z2XwNMw,3,http://twitter.com
862472805866012672,2017-05-11 01:01:55,FAR's Gogne Seye will today be presenting at Salon International de l’Energie et du Pétrole en Afrique  #Siepa2017… https://t.co/ykOdc8nlcQ,6,http://twitter.com
858924204262957056,2017-05-01 06:01:02,"FAR Ltd Chief geoscientist, Jon Keall, explains the interference test on the SNE-6 well offshore Senegal. #Senegal… https://t.co/eHdLAQXBhZ",7,http://twitter.com
857841182801412098,2017-04-28 06:17:30,"2017 Q1 report has been released, read full report here https://t.co/B0YYPknhyu",3,http://twitter.com
857020177610792961,2017-04-25 23:55:07,#SNE-6 has reached Total Depth and operations are progressing in line with plan #SENEGAL,3,http://twitter.com
857019336896110592,2017-04-25 23:51:47,FAR back to exploration drilling #SNE #SENEGAL https://t.co/WhjdtxOm0L https://t.co/fWvlatw3K4,8,http://twitter.com
856316521555017728,2017-04-24 01:19:02,"FAR Ltd #AGM to be held on Monday 29th May 2017, 10am, Baker &amp; McKenzie, L19, 181 William St Melb. See released #NoM https://t.co/tRMAQbfTgO",4,http://twitter.com
854570934618906624,2017-04-19 05:42:42,$FAR Limited was the top performing #oil #stock last week globally https://t.co/Zq3Qoorhty,6,http://twitter.com
852030247516086272,2017-04-12 05:26:55,Meet the @FARLimited team members and gain an insight into the role each member plays within the #team… https://t.co/G5aBjEwdwL,6,http://twitter.com
849772556483649537,2017-04-05 23:55:40,VR-1 has encountered indications of hydrocarbons near the base of the well #SNE #Senegal https://t.co/NXeFMKDOkA https://t.co/UFy3RdO31C,6,http://twitter.com
