Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
923741867065225216,2017-10-27 02:43:18,Safety is our number one priority. We are committed to ensuring our people go home safely every day #safeworkoctober https://t.co/u4Dz64bSbP,2,https://about.twitter.com/products/tweetdeck
923474283938177024,2017-10-26 09:00:01,Our performance in the first quarter of FY18 puts us on track to deliver on our targets. Read more:… https://t.co/7wfoVbNKM9,0,https://about.twitter.com/products/tweetdeck
923452983324549120,2017-10-26 07:35:22,"This quarter, we partnered with @ANZ_AU to address barriers facing Aboriginal businesses in accessing traditional b… https://t.co/waOgpq3AZ8",0,https://about.twitter.com/products/tweetdeck
923413996752986113,2017-10-26 05:00:27,Supporting the next generation of Aboriginal leaders through our CEO for a Day initiative. Read more:… https://t.co/MIedRcBEXL,1,https://about.twitter.com/products/tweetdeck
923391235506651137,2017-10-26 03:30:00,Our performance in the first quarter of FY18 puts us on track to deliver on our targets $FMG #FMGresults https://t.co/1sXXMXug0w,1,https://about.twitter.com/products/tweetdeck
923383685683875840,2017-10-26 03:00:00,The continued introduction of leading edge technology ensures we remain at the lowest end of the global cost curve… https://t.co/6sDvttMzwv,1,https://about.twitter.com/products/tweetdeck
923377553053589504,2017-10-26 02:35:38,Our C1 costs have lowered to a record US$12.15 per wet metric tonne $FMG #FMGresults https://t.co/Z5iwOPC0Gf,4,https://about.twitter.com/products/tweetdeck
923338795247734784,2017-10-26 00:01:38,"Nev Power, CEO: “The September quarter has continued our
excellent operational performance.” Read more:… https://t.co/kcQXKKrVQ7",0,https://about.twitter.com/products/tweetdeck
923325155241164801,2017-10-25 23:07:26,Today we released our September 2017 Quarterly Production Report. Read more: https://t.co/KFxxZJA8NH #FMGresults… https://t.co/oiNFaDlsIa,3,https://about.twitter.com/products/tweetdeck
922681588441235456,2017-10-24 04:30:07,We were delighted to welcome @Nikkei to #Solomon to tour our operations and speak to some of our amazing female tea… https://t.co/4IiPLyj1bM,4,https://about.twitter.com/products/tweetdeck
922269025446412288,2017-10-23 01:10:45,Douglas is one of our most recent #VTEC grads. Listen to his journey from prison to entering the workforce:… https://t.co/GZvJ2lsDpq,1,https://about.twitter.com/products/tweetdeck
919736682122846210,2017-10-16 01:28:07,"Emu Bob is a @KABNAHQ initiative at #Solomon, encouraging our teams to work together to keep our sites clean and sa… https://t.co/WwJeONgipS",3,https://about.twitter.com/products/tweetdeck
918311433334435841,2017-10-12 03:04:41,Proud to partner with Jawun to support programs of change in Indigenous communities in East Kimberley. Read more:… https://t.co/fY24P6nenR,1,https://about.twitter.com/products/tweetdeck
917968606381727744,2017-10-11 04:22:25,Meet Gillian from our chaplaincy team who are always available for support and a conversation. Read more:… https://t.co/QUfNYHt0CM,2,https://about.twitter.com/products/tweetdeck
917287738596044800,2017-10-09 07:16:53,RT @ANZ_bluenotes: Growth in remote areas helps all: @FortescueNews’ Power https://t.co/YdG2J8DJ8O @jahour_kathleen https://t.co/zlxNQnCeyx,2,https://about.twitter.com/products/tweetdeck
915047313948647424,2017-10-03 02:54:15,Our first 20 #VTEC trainees graduated in 2007 and commenced full-time employment on our rail construction project:… https://t.co/CrTzUTZEie,2,https://about.twitter.com/products/tweetdeck
915012854100631552,2017-10-03 00:37:19,"Celebrating 10 years of creating opportunities for Aboriginal communities through VTEC: https://t.co/MyQydD7tqq
https://t.co/hXYuXI6BeI",5,http://twitter.com
914740726302334976,2017-10-02 06:35:58,Megan’s journey with Fortescue started with #VTEC in 2009. She is now a mining operator at Solomon #VTECturns10… https://t.co/MlTLIDhjAP,1,https://about.twitter.com/products/tweetdeck
913634780763217920,2017-09-29 05:21:20,RT @ANZ_Media: ANZ &amp; @FortescueNews launch landmark $50m funding initiative to support aboriginal businesses https://t.co/BqMs1gAxN3 https:…,15,https://about.twitter.com/products/tweetdeck
913584185645740032,2017-09-29 02:00:18,"RT @GrahamTurley: Great to launch innovative lease facility for aboriginal businesses with FMG's Nev Power, Minister Scullion and Laura Ber…",3,http://twitter.com
913582660869439488,2017-09-29 01:54:14,Landmark $50m funding initiative with @ANZ_AU will help address challenges facing Aboriginal businesses. Read more:… https://t.co/sTzRhu0xjC,3,https://about.twitter.com/products/tweetdeck
913290044357484544,2017-09-28 06:31:29,We are committed to supporting and investing in sustainable Aboriginal businesses. Read more:… https://t.co/SggsbnSl2d,5,http://twitter.com/download/iphone
912864059359244288,2017-09-27 02:18:46,Our family visits at Solomon are a great way for our extended family members to get an insight into our operations… https://t.co/vFPIgTdFWC,2,https://about.twitter.com/products/tweetdeck
912536718049394689,2017-09-26 04:38:02,"Meet John. A former #VTEC trainee, he has taken on new training opportunities and now works at our Port operations… https://t.co/3SA8NlA6S3",1,https://about.twitter.com/products/tweetdeck
910733555524788224,2017-09-21 05:12:54,Fantastic to welcome Fortescue families and the #PortHedland community on a tour of our Port and rail operations:… https://t.co/WT6X8mMqQu,1,https://about.twitter.com/products/tweetdeck
910004478568308736,2017-09-19 04:55:49,"Meet Kellie. A former #VTEC trainee, Kellie is now a Mine Controller at Cloudbreak: https://t.co/7LHkoUFmdI https://t.co/TAOzspeIxQ",2,https://about.twitter.com/products/tweetdeck
909686451633143808,2017-09-18 07:52:05,"One of our Solomon haul trucks recently received a makeover, thanks to @thiessmining and students from #Roebourne:… https://t.co/04u5PTRIsR",4,https://about.twitter.com/products/tweetdeck
908495983016681472,2017-09-15 01:01:36,"Amazing effort by Team Fortescue who raised over $50,000 for @RMHPerth at the #CentralParkPlunge. Here are some hig… https://t.co/nPOD8dnf2y",0,http://twitter.com
908243858584043520,2017-09-14 08:19:44,The Fortescue family took some time this morning to check in with our workmates and ask #RUOK https://t.co/ZT37f6jPHt,4,http://twitter.com
908162293283700736,2017-09-14 02:55:38,"Our values of safety, family and empowerment guide us every day to look out for our mates #RUOK Read more:… https://t.co/uQ4EPOomBU",3,https://about.twitter.com/products/tweetdeck
907780497824129025,2017-09-13 01:38:31,Encouraging children in the #Pilbara to reach their full potential with Sports Challenge Australia:… https://t.co/W5rD5ALgD6,2,http://twitter.com
907531092927713280,2017-09-12 09:07:28,Heard of the Pilbara Community Hockey Program? Find out more about our partnership with @HockeyAustralia: https://t.co/NyBgYzv4gt,4,http://twitter.com
907421180440612864,2017-09-12 01:50:43,Great visit from @Kookaburras and @Hockeyroos to talk about the #Pilbara Community Hockey Program and upcoming… https://t.co/j2UFd6TYLc,4,https://about.twitter.com/products/tweetdeck
906077174356107264,2017-09-08 08:50:07,The Fortescue family reached new heights for @RMHPerth at the #CentralParkPlunge - fantastic team effort for a grea… https://t.co/hAlfHLsoc0,3,http://twitter.com/download/iphone
905598517749571584,2017-09-07 01:08:06,Family is one of our core values and tomorrow 24 of our team members will take the plunge for @RMHPerth. Read more:… https://t.co/l04rEIcdIm,0,https://about.twitter.com/products/tweetdeck
903526574799990785,2017-09-01 07:54:56,We are committed to ensuring local communities benefit from our growth and development. https://t.co/IqTsiu0VRC https://t.co/R01dYYDZnL,1,https://about.twitter.com/products/tweetdeck
900227845041029120,2017-08-23 05:26:58,RT @steveknottamma: Well done to all AMMA Resource and Energy Industry Award winners #auspol @AMMAnewsroom @FortescueNews @AusChamberCEO ht…,3,https://about.twitter.com/products/tweetdeck
899504565963247616,2017-08-21 05:32:55,"Today Fortescue released its FY17 CSR Report. $FMG #FMGresults
https://t.co/1AlJMxqz4w https://t.co/563CaNZ8lx",3,https://about.twitter.com/products/tweetdeck
