Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
924838716815769602,2017-10-30 03:21:47,Check out our blog post on how power suppliers can collect more debt faster without losing customers :… https://t.co/i3pDEFhSfF,1,http://twitter.com
923030764983173120,2017-10-25 03:37:38,"RT @SIEW_sg: Glenn Sutherland, VP Global Accounts @gentrack on liberalised markets and how #energy retailers are differentiating themselves…",1,http://twitter.com/download/android
922657875566125056,2017-10-24 02:55:54,"RT @SIEW_sg: Given the rapid pace of change, Aaron Baker, @Gentrack's Mktg &amp; Comms Director reminds us not to lose sight of the customer #S…",2,http://twitter.com/download/android
922577822903709696,2017-10-23 21:37:48,"RT @ENGIEInnov: If we want a world with mostly renewable energy, we need to  increase #energyefficiency, Didier Holleaux, EVP @ENGIEgroup…",19,http://twitter.com/download/android
922354530519359488,2017-10-23 06:50:31,RT @Wan_Industries: Mr Jose Maria and Ms Christina Figueres @CFigueres sharing the stage to deliver a special address on Climate Change and…,2,http://twitter.com/download/android
922347831104495617,2017-10-23 06:23:53,RT @salchewclaridge: Bright red conference bag at #siew2017 radiating #energy #renewables https://t.co/RGn67jvaUc,1,http://twitter.com/download/android
922317123820568576,2017-10-23 04:21:52,RT @SIEW_sg: Neil McGregor of @sembcorp: we need a common regulatory framework &amp; the right policies to support future #energy  development.…,1,http://twitter.com/download/android
922313363173937152,2017-10-23 04:06:56,RT @andrew_seahby: The new @BMW 5 series #hybrid sedan. #chiobeebee. #siew2017 https://t.co/SFGPchDHjp,27,http://twitter.com/download/android
922311772496838656,2017-10-23 04:00:36,Operate - Learn - Compete in Singapore's Open Electricity Market. Gentrack whitepaper@ https://t.co/ZWzbmBA3GF.… https://t.co/vzCE8av7II,0,http://twitter.com/download/android
922309377448480768,2017-10-23 03:51:05,RT @BusinessTimes: Four firms picked to develop smart utilities meters for Singapore https://t.co/LS2J2fH6fQ,3,http://twitter.com/download/android
922305395867058177,2017-10-23 03:35:16,"RT @OpenGov_Asia: Initiatives on #Smart metering, #solar forecasting, #energy storage systems, first microgrid https://t.co/fLbWCciUr8 #SIE…",3,http://twitter.com/download/android
922302300894326785,2017-10-23 03:22:58,RT @SIEW_sg: Watch @IEA's @IEABirol live on Facebook delivering the #SIEW2017 SES Session 1 keynote address that will begin shortly. https:…,4,http://twitter.com/download/android
922297415100637184,2017-10-23 03:03:33,"RT @SIEW_sg: John McCarrick, Deputy Assistant Secretary for #Energy Transformation of @StateDept is now live on @cnbcipr at #SIEW2017 https…",1,http://twitter.com/download/android
922294336708009984,2017-10-23 02:51:19,Open electricity market Singapore 2018. The Power to Choose! #SIEW2017 #Gentrack https://t.co/bMezotSHcx,3,http://twitter.com/download/android
922293851636690944,2017-10-23 02:49:24,#SIEW2017,0,http://twitter.com/download/android
922290933860679680,2017-10-23 02:37:48,RT @ENGIEInnov: Attending #SIEW2017? Download #PowerZee to reduce your energy consumption https://t.co/9IPZIPTvNX https://t.co/2IdMxEFVRb,8,http://twitter.com/download/android
922280150380580864,2017-10-23 01:54:57,Competition in SNG energy market a key strategy for energy innovation and efficiency. #SIEW2017 https://t.co/IwRvBXPVfg,0,http://twitter.com/download/android
922267095793991682,2017-10-23 01:03:05,Ready for #SIEW2017. Reimaging Energy in Singapore. #Gentrack https://t.co/lGK2mQ6Saw,1,http://twitter.com/download/android
922219793637285888,2017-10-22 21:55:07,RT @SIEW_sg: Are you ready for the 10th edition of SIEW tomorrow? Check out the full #SIEW2017 programme here: https://t.co/YrVaP1Zv8F http…,5,http://twitter.com/download/android
922219594638532608,2017-10-22 21:54:20,RT @IRENA: Planning for an energy future: #Asia at a fork in the road—@IRENA Chief Adnan Z. Amin at #SIEW2017 https://t.co/8b4tMudJtB via @…,11,http://twitter.com/download/android
921106389979635712,2017-10-19 20:10:51,RT @ADBSAFEGATE: ADB SAFEGATE partners with @Gentrack #ACDM #TacticalDecisionMaking #OperationalSupport https://t.co/IYjmbINc6h https://t.c…,1,http://twitter.com
920933065286922240,2017-10-19 08:42:07,Very pleased to be sponsoring the @energyUKComms Annual Conference - looking forward to hearing from some great spe… https://t.co/1zgNAb1tiW,0,https://mobile.twitter.com
920914611641245697,2017-10-19 07:28:47,Looking forward to meeting people at @EnergyUKcomms Annual Conference today. Pop by our stand to say hello! https://t.co/dmwzUul3IB,1,https://mobile.twitter.com
920858626654220288,2017-10-19 03:46:19,Will you be at #SIEW2017? Let's talk there. Don't forget to book a meeting with us in advance:… https://t.co/mVEya1Rztd,0,http://twitter.com
920247566595514368,2017-10-17 11:18:11,2 days until the @EnergyUKcomms Annual Conference.  Stop by to find out how we can help lower costs and accelerate… https://t.co/ueVvF6N4NU,1,http://twitter.com
920084513442611200,2017-10-17 00:30:17,Attending #SIEW2017? Let's talk there. Book a meeting with us in advance: https://t.co/x2YwwTsULb https://t.co/jNCoCODzmA,0,http://twitter.com
918449169429336065,2017-10-12 12:12:00,Great to see new challenger brands really shaking up the UK energy market - switching figures are increasing https://t.co/cOtUyUT61F,0,http://twitter.com
918431945884946433,2017-10-12 11:03:34,"A week from the @EnergyUKcomms Annual Conference in London, where we will be exhibiting. To attend, register here… https://t.co/fA5CFdTA2q",1,http://twitter.com
918093786043047937,2017-10-11 12:39:50,We will be exhibiting @EnergyUKcomms UK Annual Conference on Thursday 19th October in London. Come and visit us.… https://t.co/yLAanP9ffl,0,http://twitter.com
917932043178196992,2017-10-11 01:57:08,Gentrack companies BLIP Systems &amp; CA+ are finalists for the @IntAirport Awards 2017 @ConcessionPlus @bliptrack… https://t.co/3w0cHJowQP,0,http://twitter.com
917568709014773760,2017-10-10 01:53:22,@ADBSAFEGATE Partners with Gentrack to Deploy A-CDM and Integrated Solutions for Airports Globally… https://t.co/9u8BfPaeCj,0,http://twitter.com
916161172604280832,2017-10-06 04:40:19,RT @Gentrack: How are @bliptrack improving passenger wait times...? https://t.co/ykrPsHE3KN   #PaxEx #AvGeek #Technews #IOT #SmartTech #Tech,3,http://twitter.com/download/android
916161069336338432,2017-10-06 04:39:55,RT @Gentrack: Geoff Childs joins the panel discussion on technology as a strategic business enabler #BigData #EUW17 @EUW_live https://t.co/…,5,http://twitter.com/download/android
915952585319882752,2017-10-05 14:51:28,How are @bliptrack improving passenger wait times...? https://t.co/ykrPsHE3KN   #PaxEx #AvGeek #Technews #IOT #SmartTech #Tech,3,http://twitter.com
915950236052463616,2017-10-05 14:42:08,RT @bliptrack: #Skytrax Best World #Airport (5-10 mill PAX) @CVGairport´s #Tech Helps @TSA Streamline Operation &amp; Cut #WaitTime https://t.c…,5,http://twitter.com
915950214665695233,2017-10-05 14:42:03,RT @bliptrack: Thank you @NeilCHughes for the excellent blogpost about @bliptrack and or solution in @TheNextWeb https://t.co/NDVyJediIP #I…,3,http://twitter.com
915877990604709888,2017-10-05 09:55:03,Geoff Childs joins the panel discussion on technology as a strategic business enabler #BigData #EUW17 @EUW_live https://t.co/98W4LXfytu,5,http://twitter.com/download/android
915853042703990784,2017-10-05 08:15:55,"For an energy company to be competitive, they need to understand the customer journey path #EUW17 #BigData @EUW_live https://t.co/WuIpTvEBmr",1,http://twitter.com/download/android
915852230200262656,2017-10-05 08:12:42,It's important for energy companies to understand the customer dynamic #EUW17 #BigData @EUW_live,1,http://twitter.com/download/android
915851757967888385,2017-10-05 08:10:49,Geoff Childs speaking at the Big Data Hub Session at @EUW_live #BigData #EUW17 https://t.co/uAvXSHHybF,1,http://twitter.com/download/android
915839976662814720,2017-10-05 07:24:00,Ready for the final day of @EUW_live. Shortly we will have Geoff Childs speaking on the Big Data Hub Session. #EUW17 https://t.co/cpahxM9iLT,1,http://twitter.com/download/android
915587300536578048,2017-10-04 14:39:57,"Another busy day at @EUW_live. Lots of engaging conversations with industry experts. We will be here, bright and ea… https://t.co/1gFByfIWZn",1,http://twitter.com/download/android
915519510706360320,2017-10-04 10:10:35,"Don't forget to join our hub session on 'the new world of data', tomorrow at 10:00 @EUW_live #EUW17 https://t.co/GfbWg1pvA9",4,http://twitter.com/download/android
915474354456219648,2017-10-04 07:11:09,"The team is all smiles for day 2 of @EUW_live in #Amsterdam. Come and say hello, stand 2B25 #EUW17 https://t.co/gOu6G19aN1",1,http://twitter.com/download/android
915306075351429121,2017-10-03 20:02:28,Gentrack is delighted to be named a star of the NZ tech sector by @ClareCapital. Take a look at our infographic for… https://t.co/qjUAOi2WxR,5,http://twitter.com
915237001988853760,2017-10-03 15:28:00,Six months after deregulation: the story so far…https://t.co/nUXOEgRmzA https://t.co/jFvCBZ0hYW,0,http://twitter.com
915175310114553856,2017-10-03 11:22:51,"Great to see so many people come visit us today @EUW_live . Don't forget to pop by this afternoon, stand 2B25 #EUW17 https://t.co/HxRXoRTyj6",3,http://twitter.com/download/android
915114557315612673,2017-10-03 07:21:27,"We're here and ready for day 1 of @EUW_live come and visit us, stand 2B25 #EUW17 https://t.co/afi3bR5Goh",2,http://twitter.com/download/android
914859723853373445,2017-10-02 14:28:50,"We are all ready for tomorrow's big event @EUW_live. Make sure you come and say hello, stand 2B25 #EUW17 https://t.co/tCZGxEWUQs",2,http://twitter.com
