Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
924957236786589696,2017-10-30 11:12:44,Goodman announces deal to develop new logistics centre for C.H. Robinson at Derby Commercial Park… https://t.co/wiyuHDieWc,2,http://twitter.com
923778814278189056,2017-10-27 05:10:06,"Costco will be opening at Goodman Commerce Center Eastvale, California by the end of 2018 - join them #lease… https://t.co/rmtYIfgRO1",1,http://twitter.com
918353257595994112,2017-10-12 05:50:53,Japan update: Stage 2 Goodman Akamatsudai Osaka kicks off &amp; Goodman Business Park Tokyo sees strong leasing momentu… https://t.co/skbwgeq955,1,http://twitter.com
918350655596539904,2017-10-12 05:40:33,We're happy to support such a worthwhile cause! https://t.co/rZgrS9SAum,1,http://twitter.com
917645074967572480,2017-10-10 06:56:49,RT @CohnReznick: #Exporeal-connecting the international #RealEstate community. Our #EMEA leader working with @NAAhq to connect &amp; fundraise…,3,http://twitter.com/download/iphone
917645024073981954,2017-10-10 06:56:37,RT @DGNB_eV: Zertifikatsregen für @Goodman_Group bei der #DGNB Zertifikatsverleihung @exporeal_team #ExpoReal2017 https://t.co/WwtZEp08ov,4,http://twitter.com/download/iphone
915933396655886336,2017-10-05 13:35:13,"Goodman will receive @DGNB_eV certifications for sustainable #properties today, 4:30 pm. @exporeal_team hall A2, bo… https://t.co/nJFWplo1PN",2,http://www.hootsuite.com
915841580615028736,2017-10-05 07:30:22,"At #EXPOREAL booth A1.434, we inform you about Goodman #Duisburg III #Logistics Centre and other projects in… https://t.co/qPqgf4b7lp",2,http://www.hootsuite.com
915524520307515392,2017-10-04 10:30:29,#EXPOREAL: Visit us at booth A1.434 and play our #VirtualGame for a good cause. Goodman donates EUR 5 to… https://t.co/PplqT3Kz6G,2,http://www.hootsuite.com
915471692503420928,2017-10-04 07:00:34,@bulwiengesa presentation at #EXPOREAL: Discover new facts about #logistics trends in #eCommerce and #citylogistics… https://t.co/CVrxFVB9We,2,http://www.hootsuite.com
915147005076365312,2017-10-03 09:30:23,Goodman at the 20th edition of #EXPOREAL 2017 in Munich: Meet us at booth A1.434 https://t.co/QEQXRnia22… https://t.co/2HkgtR8bf9,1,http://www.hootsuite.com
913318650379108352,2017-09-28 08:25:09,"From 4 to 6 October, the #realestate sector comes to Munich at #EXPOREAL: Trade fair for #Property and #Investment… https://t.co/G8Mp9Agaxr",2,http://www.hootsuite.com
903192049930743808,2017-08-31 09:45:39,Goodman increases focus on UK logistics market following sale of Arlington Portfolio #logistics #realestate… https://t.co/lYeRYcPuoS,5,http://twitter.com
900535096855347201,2017-08-24 01:47:52,"RT @GFTomlinson: Confines of busy commercial park, adjacent to a main road @Goodman_Group #industrial #casestudy https://t.co/4KKizWoBP5 ht…",1,http://twitter.com
900206054058938368,2017-08-23 04:00:22,"RT @CPExecutive: @Goodman_Group  Preleases 1 MSF at PA Logistics Center: https://t.co/HzCVwaRa0m
@CBRE @Colliers
#Leasing https://t.co/4Eha…",1,http://twitter.com
899450314171883520,2017-08-21 01:57:20,RT @FinancialReview: Full year operating profit of property company @Goodman_Group climbed 8.6 per cent to $776 million. @ausbiz https://t.…,4,http://twitter.com
899409524754337792,2017-08-20 23:15:15,"We released FY17 #results headlined by strong operating profit of $776m, up 8.6% on FY16. Positive outlook forecast… https://t.co/lwFNAwbokU",4,http://twitter.com
895791434757881856,2017-08-10 23:38:15,NZ: GMT invests additional $107m into developments in Auckland https://t.co/2GziQ3F5CI https://t.co/6gtzYw3Tne,3,http://twitter.com
892616032245784577,2017-08-02 05:20:20,"NZ: GMT Annual Meeting of Unitholders can be viewed by clicking on the webcast on GMT's investor page. 
https://t.co/kFvBmtiqQY",0,http://twitter.com
889839300132691968,2017-07-25 13:26:36,"Goodman completes Lyons 135, a 135,000 sq ft state-of-the-art industrial unit located at Lyons Park, Coventry… https://t.co/Tm3mARKvBR",5,http://twitter.com
880428940824911875,2017-06-29 14:13:11,Proudly celebrating the topping out of our largest development in Europe to date (235.000 sqm!) for @METRO_News… https://t.co/6OEmrsu8aq,4,http://twitter.com
877349310697951234,2017-06-21 02:15:50,"""It was the stand-out property we were looking for"". PepsiCo joins our Export Motorway Estate in Brisbane. New deve… https://t.co/hGbBKH3kdI",2,http://twitter.com
877348821230997504,2017-06-21 02:13:53,RT @JonBellAUS: DHL commissions 100kW Solar Power Station at its Sydney Campus with @Goodman_Group &amp; #epho https://t.co/h4kyGzAFdj,2,http://twitter.com
876921304351260672,2017-06-19 21:55:06,NZ: Proud to be the recipients of the PCNZ 2017 Yardi Excellence Award for Industrial Property - the Big Chill Supe… https://t.co/xvXUiDMk8u,0,http://twitter.com
872628155672023040,2017-06-08 01:35:39,"RT @AFRproperty: Going close to customers the key: Online 'consumerism' driving @Goodman_Group pipeline, @larryschles reports.

  https://t…",2,http://twitter.com
872628050457903104,2017-06-08 01:35:14,Our latest operational update shows we're benefiting from urbanisation and increased consumerism. Read more here:… https://t.co/8CO8mOA1Zm,0,http://twitter.com
872024601496346624,2017-06-06 09:37:21,Goodman has delivered more than 2 million square meters to e-commerce companies across Europe. Watch our journey https://t.co/y2gBrFNxIk,2,http://twitter.com
867551429417984000,2017-05-25 01:22:33,"NZ: Datacom moves into VXV Precinct, Wynyard Quarter. View article and video here: https://t.co/R2hglTkK5M https://t.co/j4UJrpo4Jx",0,http://twitter.com
