Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
864006653506502656,2017-05-15 06:36:53,Our funding models for infrastructure investment are attracting lots of attention #FMA #Ideaction2017,2,http://twitter.com
847311388582100992,2017-03-30 04:55:51,Spotless secures long term extensions to key health contracts. https://t.co/ArJVhU55uG https://t.co/9PU64pzynP,1,http://twitter.com
846912054954905600,2017-03-29 02:29:03,The team at #SICEEP welcomes the delegates from the Total Facilities conference. #facilitiesmanagement https://t.co/TAu5yigeDp,0,http://twitter.com
844751332988760065,2017-03-23 03:23:07,Hearing the distinctive sounds of the #F1 V10 engines! Can't wait to be a part of the acton on race day! #Forumla1 https://t.co/GU6OydwCTy,0,http://twitter.com
844034796011442176,2017-03-21 03:55:51,New tech &amp; trends to enhance visits to #MelbourneTownHall @epicurefoodies and #CityofMelbourne's half-day innovatio… https://t.co/RI59VUGo4e,1,http://twitter.com
838546915851587586,2017-03-06 00:28:58,Spotless to play key role in 25-year #PPP project to maintain five new #schools across #NewZealand #education. More: https://t.co/UNe9jmi9xD,0,https://about.twitter.com/products/tweetdeck
838505450718945280,2017-03-05 21:44:12,Wishing Assoc Prof Andrew Kronberg safe travels on his RCH #FlyfortheKids mission! See you in Cairns! https://t.co/6Un2iw6hqR,0,http://twitter.com
834969666221047809,2017-02-24 03:34:16,Alliance is a passionate team dedicated to making healthy eating easy with fresh and innovative food solutions. https://t.co/Uy91TH8DcS,2,http://twitter.com
832011376386150400,2017-02-15 23:39:04,"Keep calm and nudge towards healthier choices #Nudge
#BettereatingBetterliving https://t.co/93aDscEXcb https://t.co/zsUZXn8g5W",2,http://twitter.com
829842534050328576,2017-02-10 00:00:52,"Wayfarer café has arrived at #Auckland Airport. Enjoy @eighthirty #coffee all day, picnic style food designed for t… https://t.co/kYNMdmYETe",1,https://about.twitter.com/products/tweetdeck
824373738493743105,2017-01-25 21:49:50,Looking for inspiration for your Australia Day barbeque? Try our Lamb Shawarma recipe out for size. #AusDay https://t.co/hGiDUxSk02,0,http://twitter.com
823652394315546624,2017-01-23 22:03:28,"Smart bins, chat bots and buddy devices. We are fast-tracking to the future @GroupSpotless #SpotlessHack #hackathon https://t.co/oDwwxfkirc",1,http://twitter.com
821871743958556672,2017-01-19 00:07:48,Our qualified plumbers are helping @SydneyWaterNews create #waterwise apartments #savewater #savemoneylivebetter… https://t.co/T8KcWrCOyS,0,http://twitter.com
821178355605118976,2017-01-17 02:12:31,Thank you to everyone who supported The Gingerbread Village at the Melbourne Town Hall over the 2016 Christmas peri… https://t.co/2L2FdKtoKp,1,http://twitter.com
801991445720633344,2016-11-25 03:30:35,#Standup #speakout and #act for women to #stopDV and #VAW. Supporting @WhiteRibbon and @TwoGoodCo. https://t.co/4OrbiiwzrS,1,https://about.twitter.com/products/tweetdeck
801224946085023744,2016-11-23 00:44:47,RT @MishManners: Behind every great event is an awesome team! #SpotlessHack #hackathon #hackers #tech #code #dev @MCG @sbcIoT_Data https://…,9,http://twitter.com/download/android
801151382073946112,2016-11-22 19:52:28,"RT @sbcIoT_Data: Congratulations to #SpotlessHack top 5 teams!Ispotless,MyCleanliness, MSG, IntelliBin &amp; StadiumChatBot! #sbciotdata #hacka…",2,http://twitter.com/download/android
801151342626545664,2016-11-22 19:52:19,"RT @MishManners: .@FogartyJulian talking about the awesomeness of the last 38 hours #SpotlessHack #hackathon ""hard to believe the weather w…",4,http://twitter.com/download/android
801151120693346304,2016-11-22 19:51:26,RT @MishManners: Now that's a big team #wastemanagement with a live working demo... #hackathon worthy! #SpotlessHack @sbcIoT_Data #cleaning…,3,http://twitter.com/download/android
801150867537698820,2016-11-22 19:50:26,"RT @MishManners: #SpotlessHack recap before the winners are announced. Tonnes of fun, lots of hard work, &amp; heaps of ideas #hackathon @MCG @…",3,http://twitter.com/download/android
801150778693980160,2016-11-22 19:50:04,"RT @Adamlostguitar: The hackthon is just a start, Spotless is the ground to grow innovative ideas!
#SpotlessHack",2,http://twitter.com/download/android
801150680727633920,2016-11-22 19:49:41,RT @playfulm: Enjoying the #SpotlessHack at @MCG! Trust the winner of the @MOO prize loves printing! https://t.co/nhs9s4phO4,2,http://twitter.com/download/android
801150623324381184,2016-11-22 19:49:27,@mclean_energy it has bin an absolute pleasure! https://t.co/UgMTBflVYa,0,http://twitter.com/download/android
801149831980859392,2016-11-22 19:46:19,"RT @sbcIoT_Data: To present the winners and remind us of the motivations behind this great event, the CEO of #Spotless Mr. Martin Sheppard!…",1,http://twitter.com/download/android
801149012686487552,2016-11-22 19:43:03,RT @richcelm: Wow amazing day yesterday at #SpotlessHack @MCG! Thanks #Melbourne for an awesome #IoT #Hackathon @GroupSpotless https://t.co…,6,http://twitter.com/download/android
