Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
923223261303005186,2017-10-25 16:22:32,"Talk w/@Hansen_Tech's @kvnlgrd &amp; @cpn_neal for #ConsolidatedBilling, #ComplexBilling, #EDI &amp; #CustomerCare in Texas… https://t.co/stiQYtAGbT",3,http://twitter.com
921346935340044288,2017-10-20 12:06:41,@BW_Business Congrats @Hansen_Tech Solutions' client SmartEnergy for being rated Top 5 Energy Retail Provider in PA… https://t.co/d1N9uzn2dC,0,http://twitter.com
921345948118409218,2017-10-20 12:02:46,"@multi_utilities Congrats @Hansen_Tech Solutions' client, SmartEnergy, rated Top 5 Energy Retail Provider in PA,… https://t.co/njmgFcdsX4",0,http://twitter.com
921345464104079362,2017-10-20 12:00:51,"@BW_Energy Congratulations @Hansen_Tech Solutions' client, SmartEnergy, rated a Top 5 Energy Retail Provider in PA,… https://t.co/eVY6EtH6vA",0,http://twitter.com
921342363867516928,2017-10-20 11:48:31,"Congratulations @Hansen_Tech Solutions' client SmartEnergy for being rated a Top 5 Energy Retail Provider in PA,… https://t.co/XoTqBXI9gO",3,http://twitter.com
918509543969230849,2017-10-12 16:11:55,"An inspiring, humbling personal story of 911 from Al Fuentes - what a way to finish our Hansen Connect 2017. https://t.co/Y3XxrS0udQ",2,http://twitter.com/download/iphone
918219230398636032,2017-10-11 20:58:18,It's got exciting as we hear case studies from around the globe at Hansen Connect 2017! https://t.co/4Vztwsawj4,2,http://twitter.com/download/iphone
918196610198368257,2017-10-11 19:28:25,Hansen Connect - its educational and fun!! https://t.co/6LRIU8YSkY,1,http://twitter.com/download/iphone
918195804317405184,2017-10-11 19:25:13,Hansen Connect - North American User Conference kicks off #leveragingglobalexperiences https://t.co/mHhXKHBNXd,1,http://twitter.com/download/iphone
908082553872990208,2017-09-13 21:38:46,How do you rate on mission critical energy business matters? Register to meet to discuss your scorecard… https://t.co/SNywDMDXES,1,http://twitter.com
907378099255463942,2017-09-11 22:59:31,Congratulations to the switched on team @SperianEnergy for a very smooth GO LIVE with Hansen BPO in record time.… https://t.co/FTHwtirFU8,4,http://www.hootsuite.com
907129055073275905,2017-09-11 06:29:55,"Meet with us and discover how to increase your ARPU’s, reduce #customerchurn and launch #OTT at @IBCShow #ibc2017… https://t.co/N7TrklPtre",1,http://twitter.com
903106374095302656,2017-08-31 04:05:13,"Meet with Giovani at 2017 ATVC Jornadas Internacionales Booth #4
Connect with him now https://t.co/YSPXMfvXmN… https://t.co/iN5JShcVOW",3,http://www.hootsuite.com
902860968006492160,2017-08-30 11:50:03,RT @enoroeurope: Biggest CIS user conf in Nordics has started in Oslo w/ @Hansen_Tech. See 1st day in pictures! #brukarmote #enorocis https…,3,http://twitter.com/download/iphone
902058992452685826,2017-08-28 06:43:17,@Hansen_Tech looks forward to welcoming customers to the global family 29-31 Aug in Oslo with @enoroeurope https://t.co/9iYoQISUEo,2,http://www.hootsuite.com
899405780365062145,2017-08-20 23:00:22,Speak with Nitin about @Hansen_Tech solutions in billing &amp; customer care at #casbaapiv 30 August.  Connect to Nitin… https://t.co/xym8WjaibC,2,http://www.hootsuite.com
889749502545940480,2017-07-25 07:29:46,Are you ready for #PoC? Read about how we are helping our clients meet compliance with the new framework… https://t.co/EHpnaqTIUW,2,http://twitter.com
882007348260118529,2017-07-03 22:45:13,RT @enoroeurope: Hansen Technologies (@Hansen_Tech) announced the acquisition of Enoro with effect from 1st July 2017: https://t.co/akKWI7K…,7,http://twitter.com
881712271927296000,2017-07-03 03:12:41,We are thrilled to announce that @Hansen_Tech has acquired @enoroeurope! Visit our website to learn more.… https://t.co/FSfZvjvzEM,4,http://twitter.com
873193538976182274,2017-06-09 15:02:17,RT @quindiresearch: @Hansen_Tech BPO deal with @SperianEnergy strengthens vendor's position in competitive energy retail markets https://t.…,3,http://twitter.com/download/iphone
873191758485696514,2017-06-09 14:55:12,We're delighted to announce that @SperianEnergy has signed a multi-year agreement for our BPO services.… https://t.co/ID2DxLe5pI,2,https://about.twitter.com/products/tweetdeck
867755228006932480,2017-05-25 14:52:23,"Day 3 @CSWEEK our first demo of the day is underway. Drop in,learn how we can support your CIS/Billing/CustomerCare… https://t.co/2nGyOiUe9X",1,http://twitter.com/download/iphone
867436904572112896,2017-05-24 17:47:28,Join us 4.30pm today #booth815 @CSWEEK listen to the talk from @zpryme_research on customer demands #CSWeek2017… https://t.co/ugPqVJ3MUv,1,https://about.twitter.com/products/tweetdeck
867388816398700544,2017-05-24 14:36:23,Day 2 @CSWEEK 1st demo of the day underway- drop in to learn about #HansenTech CIS/Billing/BPaaS/Cloud/CustomerCare… https://t.co/9m1HiW4T3r,4,http://twitter.com/download/iphone
867119371998691330,2017-05-23 20:45:43,Going live with @zpryme_research on optimising for utility customers demands. #HSNTech @CSWEEK #CSWEEK17 https://t.co/4fC8P1XAwb,2,http://twitter.com/download/iphone
