Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925555334348861440,2017-11-01 02:49:22,One year to go - Healthscope celebrates with community on the helipad ahead of October 2018 Northern Beaches Hospit… https://t.co/S87TqqzxRO,2,http://twitter.com
922976396762169344,2017-10-25 00:01:35,The team at Norwest Private Hospital raising breast cancer awareness. https://t.co/LhBtQX6UO8,3,http://twitter.com
919725677108109312,2017-10-16 00:44:23,"Presenting the Australasian Emergency Nurse of the year, Vanessa Gorman from Northpark Private Hospital.… https://t.co/9x4jj45Ux8",1,http://twitter.com
919724916445921280,2017-10-16 00:41:22,Mental Health Week at Sydney South West Private Hospital. https://t.co/urpDbWPjGl,2,http://twitter.com
918620162751832065,2017-10-12 23:31:28,Federal Health Minister @GregHuntMP announces PHI discount for under 30’s at Holmesglen Private Hospital this morni… https://t.co/L6nBcm9HI4,0,http://twitter.com/download/iphone
918246362814091264,2017-10-11 22:46:07,It’s time to start talking about mental health – the elephant in the room. Mental Health Week at Sydney South West… https://t.co/t4wONpIf3U,3,http://twitter.com
918245770473627648,2017-10-11 22:43:46,"RT @davinci_device: 8 da Vinci GYN procedures at Gold Coast Private last weekend, what a team! @HealthscopeAU https://t.co/06fCqWUGh1",2,http://twitter.com
894429004173688833,2017-08-07 05:24:26,"Federal Health Minister, the Hon @GregHuntMP together with Healthscope Chairman Paula Dwyer, officially open Franks… https://t.co/XulTntq8mW",3,http://twitter.com
890326024868593664,2017-07-26 21:40:40,"Sunnybank Private Hospital is emerging as south Brisbane's 'health hub'
https://t.co/lhDoxLIff8",0,http://twitter.com
890059569996615680,2017-07-26 04:01:52,Healthscope has been listed in the top 10 donation groups for @redcrossbloodau SA Health Service Challenge. Do your… https://t.co/7uYvzBOpdz,0,http://twitter.com
887453066638897152,2017-07-18 23:24:33,Healthscope is proud to be a finalist for the Best Leadership Development Program at the Australian HR Awards 2017@… https://t.co/dLsCauuL3j,4,http://twitter.com
882473537902067712,2017-07-05 05:37:41,First for Western Sydney: World’s smallest pacemaker sets heart pacing at Norwest https://t.co/UmLUFpwt3X,2,http://twitter.com
882004579981828097,2017-07-03 22:34:13,RT @ROCcancercare: Our latest centre at Gold Coast Private Hospital successfully treated their 1st patient today. #icongroup #radiotherapy…,11,http://twitter.com
876562715887640576,2017-06-18 22:10:11,Northpark Private Hospital took part in National Blood Donor Week. Thanks to the amazing team at the donor center Bundoora @redcrossbloodau,1,http://twitter.com
872582563335819264,2017-06-07 22:34:29,RT @9NewsCanberra: A $20 million expansion project has been approved for National Capital Private Hospital. #9News https://t.co/oQGldw3Xv2,5,http://twitter.com
867264245305548800,2017-05-24 06:21:23,#HIMawareness17 https://t.co/fdqgwi2N7W,0,http://twitter.com
867256390930149376,2017-05-24 05:50:11,Celebrating HIM awareness week across Healthscope Hospitals #HIMawareness @HIMAA_RTO_91660 https://t.co/ZMbf7AWpM9,1,http://twitter.com/download/iphone
862844438443311104,2017-05-12 01:38:39,Today we celebrate our nurses. #InternationalNursesDay https://t.co/VuBpJs53Y1 https://t.co/HdxHFFbsMF,2,http://twitter.com
861125536701046785,2017-05-07 07:48:21,RT @cephalad: Improved accuracy with #mazor robot for spine surgery as used at @Parkville_Neuro @Lifehealthcare @healthscopeAU #melbournepr…,1,http://twitter.com/download/iphone
860342104530210816,2017-05-05 03:55:16,Healthscope HR team join @MelbCityMission at #SleepAtTheG #MCG helping to raise vital funds for young people who ha… https://t.co/jeCsayAcXK,1,http://twitter.com
860299361015578624,2017-05-05 01:05:25,RT @davinci_device: Congratulations Gold Coast Private on 100 da Vinci Xi cases today!  @Drcchabert @HealthscopeAU https://t.co/QdFvcdvcCw,5,http://twitter.com/download/iphone
857402601607806976,2017-04-27 01:14:44,The Hon. @GregHuntMP officially opens Holmesglen Private Hospital https://t.co/cxteDSv9Zn,1,http://twitter.com/download/iphone
857395454580936704,2017-04-27 00:46:20,Holmesglen GM Keryn Hopkins undertaking a VIP tour before official opening. Looking at the new ED. https://t.co/iPBt7IhRzk,4,http://twitter.com/download/iphone
855250905939050497,2017-04-21 02:44:40,"""Northpark Private Hospital proud to support #NFLWLAUNCH17 and the northern communities of Melbourne"" - Vanessa, Em… https://t.co/ZRx01amwCL",3,http://twitter.com/download/android
855232691377131520,2017-04-21 01:32:17,RT @northernfl: Photoshoot ahead of today's Northpark NFLW Launch #NFLWLaunch17 https://t.co/HUYEJMV9Hf,9,http://twitter.com/download/android
852310761867157504,2017-04-13 00:01:35,RT @northernfl: The NFLW competition is partnered by Northpark Private Hospital - providing quality healthcare to Melbourne's north for ove…,4,http://twitter.com
841764169007345664,2017-03-14 21:33:11,"Geelong Private Hospital enters public-private surgical robotic agreement
https://t.co/yo7kNacBuR",0,http://twitter.com
840786213543981056,2017-03-12 04:47:09,"RT @amapresident: Met with Dr Bennie Ng @HealthscopeAU. Discussed PHI rebate, PPPs, private pts in public hospitals problems for universal…",2,http://twitter.com/download/android
