Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
763515945646108672,2016-08-10 23:22:41,MoU signed with Cargill Inc for #salt sales in the USA https://t.co/euLfqmVS2z #ausbiz,1,http://twitter.com
757833061090287617,2016-07-26 07:00:56,MOUs signed for 100% offtake of Muga Phase One production https://t.co/DZnlG8Qduy #potash #ausbiz #asx,2,http://twitter.com
753765326827814912,2016-07-15 01:37:12,Our MD speaks to Tom Piotrowski on CommSec's Executive Series https://t.co/tpj8sCywqn,0,http://twitter.com
745767507273736193,2016-06-22 23:56:44,SOP Scoping Study completed to enhance margins from our Muga #potash mine https://t.co/3Bdz6TnqSb #asx #ausbiz,2,http://twitter.com
745034421590331392,2016-06-20 23:23:42,Highfield appoints proven mine builder Peter Albert as Managing Director https://t.co/seweMuwtLC,2,http://twitter.com
712804047674191872,2016-03-24 00:51:42,Muga #Potash Project Update: https://t.co/Aj6eFigvY4 #ausbiz #asx,1,http://twitter.com
706607010670718977,2016-03-06 22:26:54,Taylor Collison maintains Spec BUY on Highfield with price target $3.47/share https://t.co/Ake303gDMS,3,http://twitter.com
706600535370018817,2016-03-06 22:01:10,"Presentation from the Schroder Equities Conference, Zurich: https://t.co/Sdl0ysy079 #ausbiz #potash",2,http://twitter.com
704089159988674561,2016-02-28 23:41:51,Anthony Hall in the Global Mining Observer: Highfield close to debt deal in Spain https://t.co/MjYtIKZZuJ #ausbiz,4,http://twitter.com
689220342984790017,2016-01-18 22:58:29,Muga to position Highfield as the highest margin #potash producer globally https://t.co/bRdTv8o2k4,5,http://twitter.com
681618936035581952,2015-12-28 23:33:12,"$HFR enters into agreement with Spanish global construction company, Acciona, and advances project financing #ASX https://t.co/ePjwWn7ysP",6,http://twitter.com
677608425337970688,2015-12-17 21:56:52,Drill hole likely to increase resource size and life of mine at Muga Project: https://t.co/gJI8yWpIHO #ausbiz,2,http://twitter.com
671132224603992065,2015-11-30 01:02:46,London Analyst's Briefing Presentation: https://t.co/FChLj38btH,2,http://twitter.com
668568711599550465,2015-11-22 23:16:16,Former COO of PotashCorp appointed to Highfield's Board of Directors: https://t.co/L5JvyrEkuS #ausbiz #asx,2,http://twitter.com
666742762255990784,2015-11-17 22:20:36,Highfield in today's @australian Criterion column by Tim Boreham: https://t.co/Mv87o4Bzmw #ausbiz https://t.co/LRUfvGQS9W,2,http://twitter.com
666740835631804416,2015-11-17 22:12:57,We have released an updated investor presentation - click here to view: https://t.co/KSWIVKBbVh #potash #ausbiz #asx,3,http://twitter.com
666377660902211584,2015-11-16 22:09:49,Project optimisation doubles Muga potash mine life to 47 years: https://t.co/nnfyEBt66K #ausbiz,3,http://twitter.com
655868606111047681,2015-10-18 22:10:35,"Mining concession application process advanced, with positive support from community and all levels of government: http://t.co/5TWSTcJcRX",3,http://twitter.com
651569926835011584,2015-10-07 01:29:10,"CEO of @8ip Kerry Series names Highfield ""our highest conviction resources pick"" - hear why on @LivewireMarkets: http://t.co/lRplF7pTQX",2,http://twitter.com
641843443371606016,2015-09-10 05:19:36,We are pleased to announce we have appointed experienced mining executive Mike Norris as our global CFO http://t.co/gsjFL8pVLK #ausbiz,1,http://twitter.com
