Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
890531777193938944,2017-07-27 11:18:15,RT @andrewlwalsh: @iress becomes first Australian company to sponsor refugee for skilled migration https://t.co/i9bnVIR6TS,29,https://about.twitter.com/products/tweetdeck
874614349335330820,2017-06-13 13:08:05,News from our Aussie friends shows a growing global trend as fund managers seek efficiency through integrated techn… https://t.co/BLPUamOx2h,0,https://about.twitter.com/products/tweetdeck
865512279093026818,2017-05-19 10:19:42,RT @andrewlwalsh: Excellent Sydney chapter with great ideas and completed projects - all very implementable! #iress #hackathon https://t.co…,7,https://about.twitter.com/products/tweetdeck
865484708871667713,2017-05-19 08:30:09,Getting the #VR experience at the #IRESS #Hackathon - watch out for that desk Sonia! #fintech #innovation… https://t.co/EzQkZmQvDy,0,http://www.hootsuite.com
865475822827692032,2017-05-19 07:54:50,"RT @andrewjtodd: Announced the winners in Melbourne after a big effort from so many, and it goes until Canada finishes! https://t.co/Ah3pyI…",10,https://about.twitter.com/products/tweetdeck
865069722680803328,2017-05-18 05:01:08,Singapore team ready to bring ideas to life for @IRESS clients during #iress 24hr Global #hackathon - one hr until… https://t.co/h7l6RfdcPb,0,http://twitter.com
865051840324304897,2017-05-18 03:50:05,1 hour and counting until Global Hackathon 2017 kicks off #iress #hackathon https://t.co/hzhpY0XvLI,0,http://twitter.com
865013998986469376,2017-05-18 01:19:43,24 hours with one focus - to generate creative ideas that drive real value for clients. https://t.co/KUAvMOSjWt …… https://t.co/UkMB4YcnL1,0,http://twitter.com
864256451971239936,2017-05-15 23:09:29,CTO @andrewjtodd on our biggest hackathon yet. 1800 people 5 continents creating ideas for clients #hackathon… https://t.co/FIw8y83eV5,0,http://twitter.com
790827811569332224,2016-10-25 08:10:17,RT @Finextra: POSB combines contactless and wearables to teach kids financial management https://t.co/VXPkMuHOBF #fintech,6,https://about.twitter.com/products/tweetdeck
790826371878715392,2016-10-25 08:04:34,RT @sigma_wealth: Aussie advisers really are relationship focussed #professional #ifa @iress https://t.co/0V7mYPJTci,3,https://about.twitter.com/products/tweetdeck
789373911301492736,2016-10-21 07:53:00,"RT @iress: Fantastic night recognising amazing talent in Financial Services
Thanks @moneymanage #WIFS2016
https://t.co/9Cd550crzj https://t…",9,https://about.twitter.com/products/tweetdeck
789090415005827076,2016-10-20 13:06:30,"Congratulations @TizzyVigilante from everyone here, we're so proud! #WIFS2016 #womenintech #inspiration #innovation… https://t.co/pLa7CUYzgS",0,https://about.twitter.com/products/tweetdeck
786559938143330304,2016-10-13 13:31:17,RT @FinMktg: Lenders turn away from social media https://t.co/4qrV7xsWvf via @MortgageChat https://t.co/c4uQUh93rb,6,https://about.twitter.com/products/tweetdeck
783994223121104896,2016-10-06 11:36:03,RT @IRESS_careers: For a peek behind the scenes into #iresslife hop on over to our #instagram https://t.co/HBxESlkBHQ #fintech #careers #gl…,8,https://about.twitter.com/products/tweetdeck
783938681463767042,2016-10-06 07:55:21,RT @andrewlwalsh: 82% intermediates mortgages in UK!! https://t.co/5vOLAteBQm,10,https://about.twitter.com/products/tweetdeck
776693138727510016,2016-09-16 08:04:09,Congratulations @TizzyVigilante! #womenintech #iress @moneymanage @iress  https://t.co/LaWftzBMFH,0,https://about.twitter.com/products/tweetdeck
776553411210678272,2016-09-15 22:48:55,Congratulations @TizzyVigilante. The @IRESS_ASIA team are thrilled to hear the news. #IRESSproud https://t.co/LaWftzkbh7,0,http://twitter.com
775599068508717056,2016-09-13 07:36:42,RT @andrewlwalsh: Great to be supporting CPA Australia with #IRESS https://t.co/udvl1iBRNR @iress @planner_tweets @cpaaustralia,4,https://about.twitter.com/products/tweetdeck
773149498839330818,2016-09-06 13:22:59,RT @IRESS_careers: Here are 9 of the trickiest brainteasers asked during #tech job interviews. https://t.co/8zJN09qE2G,5,https://about.twitter.com/products/tweetdeck
773097400797892609,2016-09-06 09:55:58,RT @Finextra: HKMA to set up fintech sandbox and innovation hub https://t.co/U6ohNQgjdg #fintech,14,https://about.twitter.com/products/tweetdeck
