Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925247575292178432,2017-10-31 06:26:26,"#Service #sales - you win some, you lose some. Here are 5 #tips on how you can regain lost service sales! https://t.co/BiBWGZkM6F #SalesTips",0,http://twitter.com
923083351837126656,2017-10-25 07:06:35,Capture more #sales! Using #photo &amp; video is a great way to show customers what #repair work needs to be carried ou… https://t.co/wnk64iDouk,1,http://twitter.com
920907536261292032,2017-10-19 07:00:40,Want to boost your wholesale parts business? Microcat CRM helps OEs &amp; dealers sell more parts - what a bright idea!… https://t.co/vIMVL6fjnh,0,http://twitter.com
917997495468244992,2017-10-11 06:17:13,"With automatic updates to the latest parts &amp; pricing info, Superservice Menus empowers you to quote with confidence… https://t.co/uJYt1f82Qu",0,http://twitter.com
917623760915619840,2017-10-10 05:32:07,"Need some #aftersales inspiration? Simon Boast, Aftersales Manager of Audi Southampton, shares his guide to success: https://t.co/YSdaAYMKW6",0,http://twitter.com
916073652184956928,2017-10-05 22:52:33,Old #technology slowing down your #parts business? #MicrocatLive EPC puts all other systems in the rear-view mirror… https://t.co/GgU3QlzSJC,0,http://twitter.com
913265604265525248,2017-09-28 04:54:22,Great news! Superservice Triage eVHC now has bi-directional #integration with @pentanasolution ERAnet… https://t.co/0yQNoFXpsG,0,http://twitter.com
912853837995663360,2017-09-27 01:38:09,"RT @WSJ: Dyson, which re-engineered everyday appliances, says it will have an electric car on the road by 2021
https://t.co/4R2tHMdU7C",78,http://twitter.com
912848926738235392,2017-09-27 01:18:38,RT @verge: This self-flying taxi service is eco-friendly https://t.co/mI9dGzMq9b,141,http://twitter.com
912577790167310336,2017-09-26 07:21:14,Thinking about getting an eVHC system for your #dealership? Now is the perfect time! Get a free demo: https://t.co/VmMxvFXJ8i,1,http://twitter.com
911124525395320832,2017-09-22 07:06:29,#Superservice helps you improve customer satisfaction by delivering exceptional #CustomerExperience!… https://t.co/DiniGoXjjp,1,http://twitter.com
910043987246972928,2017-09-19 07:32:49,Power up your Parts Department with #MicrocatLive! It's VIN-precise &amp; has the latest #OEM parts data:… https://t.co/O41np5coeS,2,http://twitter.com
908226829974093824,2017-09-14 07:12:04,"Looking for simple ways to keep your service customers happy?
Here are some tips: https://t.co/N4zeInQUV7 #toptips #automotive #fixedops",1,http://twitter.com
906046108299812864,2017-09-08 06:46:40,Empower your service team to identify &amp; sell more repair work with #Superservice Triage eVHC! Free demo:… https://t.co/ol4IBfupIu,2,http://twitter.com
904952227722170368,2017-09-05 06:19:58,Looking to improve your #service department's performance? Here are some #toptips: https://t.co/QBMlfXfviz… https://t.co/0SlKUBe24j,1,http://twitter.com
902000497292398594,2017-08-28 02:50:51,#BREAKINGNEWS! Infomedia has acquired FieldForce CRM to expand our Microcat EPC platform: https://t.co/1fHHSnSUrt https://t.co/vFyE67dajB,0,http://twitter.com
