Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925187334768771073,2017-10-31 02:27:04,Macquarie’s Matthew Turner writes on the impact of global growth on #commodities market in @FT Market Insight… https://t.co/NtKC9sfhkM,0,http://twitter.com/download/iphone
925033328708870145,2017-10-30 16:15:06,Aluminium prices expected to be volatile in November given the influence of the Chinese market says Macquarie's Vivienne Lloyd #LMEWeek,0,http://www.radian6.com
925020922289016832,2017-10-30 15:25:48,"""Bearish period is over and we're in a new cycle"" says our  Chief Economist Ric Deverell at today's Macquarie Base… https://t.co/V0cg3I5L5U",7,http://www.radian6.com
924999066630721538,2017-10-30 13:58:57,"WATCH: Our experts discuss the key trends, macro drivers and outlook for the commodities market #LMEWeek… https://t.co/3jP8kFxb86",4,http://www.radian6.com
923693249251852289,2017-10-26 23:30:06,"Nicholas Moore, CEO Macquarie Group, discusses today’s 1H18 result announcement. Watch video:… https://t.co/nEcAG4uGEP",0,http://www.radian6.com
923685694928838656,2017-10-26 23:00:05,Highlights from Macquarie Group’s 1H18 result announcement: https://t.co/ziXS7JUpla https://t.co/Op3duiq6KY,7,http://www.radian6.com
923678141691912193,2017-10-26 22:30:04,Macquarie announces former RBA Governor Glenn Stevens as independent director. Read more: https://t.co/ziXS7JUpla,1,http://www.radian6.com
923674356252803072,2017-10-26 22:15:02,Macquarie announces interim ordinary dividend of $A2.05. Board has approved on-market buyback of up to $A1bn: https://t.co/ziXS7JUpla,1,http://www.radian6.com
923670598378811392,2017-10-26 22:00:06,Macquarie currently expects the Group's FY18 result to be slightly up on FY17; 2H18 to be broadly in line with 2H17… https://t.co/bSEGrOUvfm,2,http://www.radian6.com
923667948019093504,2017-10-26 21:49:34,"Macquarie Group today announced $A1,248m 1H18 net profit, up 19% on 1H17 and 7% on 2H17. Read full announcement: https://t.co/ziXS7JUpla",6,http://www.radian6.com
923232732200783878,2017-10-25 17:00:10,Is global growth driving the resurgence in strength in the #commodities market? Find out here:… https://t.co/kgf67QzhZ6,2,http://www.radian6.com
918477968258818050,2017-10-12 14:06:26,Macquarie Group and its staff donate to Mexico earthquake relief efforts. https://t.co/5FT5jNwXUE,2,http://www.radian6.com
918055251428741120,2017-10-11 10:06:43,#Commodities benefiting from pick up in global growth says Macquarie’s Grant Sporre in London today on @CNBC… https://t.co/CuSoeAt6D0,5,http://www.radian6.com
913682666528100352,2017-09-29 08:31:37,Macquarie Capital announces new senior appointments in its Capital and Principal Solutions Group in London today. https://t.co/s1Pmb8lNCc,2,http://www.radian6.com
912491993804234752,2017-09-26 01:40:19,The inaugural Macquarie Group First Nations Emerging Curator Award recipient announced. Find out more:… https://t.co/yNiwu61FMZ,3,http://www.radian6.com
912458161319301121,2017-09-25 23:25:52,The march towards a low carbon future is irreversible. Find out about our commitment to UK #tidal power here:… https://t.co/HRC69IaQ6h,15,http://www.radian6.com
910756376074440704,2017-09-21 06:43:35,WATCH: To celebrate 30 years of Macquarie’s art collection we discuss the Australian art scene with… https://t.co/QNeTdjkYFl,4,http://www.radian6.com
910070066091347969,2017-09-19 09:16:26,Macquarie strengthens its European research capabilities with four senior appointments. Find out more here https://t.co/yYWPu2XjeJ,2,http://www.radian6.com
910053274320904192,2017-09-19 08:09:43,"Connecting staff with NFPs seeking skills-based volunteers, with @CLSAInsights @CreditSuisse @Nomura @PwC… https://t.co/0s0Sh7P5Jy",1,http://twitter.com/download/iphone
907966938009260032,2017-09-13 13:59:21,Macquarie announces appointment of Phil Peters as Executive Director &amp; Global Head of the Investor Solutions Group: https://t.co/sdCzr9xSjq,3,http://www.radian6.com
906073120552787968,2017-09-08 08:34:00,The Green Investment Group has announced a £38M debt facility for Ferrybridge Multifuel 2 - the first transaction u… https://t.co/tPbqtaoUWw,11,http://twitter.com/download/iphone
905642347538464768,2017-09-07 04:02:16,"As urbanisation drives new development, new approaches to protecting heritage design are emerging. Learn more:… https://t.co/kcS49W5xBQ",3,http://www.radian6.com
905324841716379648,2017-09-06 07:00:37,Technology and flexible working have driven a marked change in workplace design. Read more: https://t.co/RQXZ5h799E… https://t.co/9w68dqCGsz,7,http://www.radian6.com
905256748411305984,2017-09-06 02:30:02,RT @CEFCAus: Macquarie Leasing and CEFC join forces to accelerate electric vehicle uptake with $100m program https://t.co/mvTYiWO8Uh https:…,12,http://twitter.com/download/iphone
905022292962533377,2017-09-05 10:58:23,Macquarie announces appointment of Daniel Kaye as Managing Director and Head of Cash Execution and Sales Europe: https://t.co/0Y15LnmriF,2,http://www.radian6.com
904811322810007552,2017-09-04 21:00:04,Is investing in public transport today the key to successful cities of tomorrow? Watch video:… https://t.co/8xKOI2G10W,6,http://www.radian6.com
903402156459425793,2017-08-31 23:40:33,Macquarie strengthens specialist fund finance capability with senior appointment of Steve Berry in London: https://t.co/oCGuMKzQfT,2,http://www.radian6.com
900447586284433408,2017-08-23 20:00:08,"Workplace design is shifting to open, flexible environments with focus on collaboration &amp; communication. Learn more… https://t.co/PuqqWpguDZ",2,http://www.radian6.com
900085181805101057,2017-08-22 20:00:04,Cities are embracing new technology &amp; design to meet rapid urbanisation demands. Learn more:… https://t.co/xcHF71yYMc,5,http://www.radian6.com
899737890586075137,2017-08-21 21:00:04,Heritage architecture is an integral part of #buildingmoderncities. Macquarie’s Will Walker explains why:… https://t.co/juqK92uWjh,2,http://www.radian6.com
899511791952175104,2017-08-21 06:01:37,Our recent acquisition of @GreenInvGroup enhances our aspirations for investment in #renewables. Find out more:… https://t.co/Jsgr4pJ04l,8,http://twitter.com
898439950894456833,2017-08-18 07:02:31,Macquarie-led consortium completes acquisition of the Green Investment Bank: https://t.co/aNNiM1iBkF https://t.co/ioDQTi32oa,27,http://www.radian6.com
897858003910746112,2017-08-16 16:30:04,Macquarie Research is proud to have been recognised across 25 categories in the Thomson Reuters Analyst Awards 2017… https://t.co/99dWZ9EYUd,6,http://www.radian6.com
895981889818939392,2017-08-11 12:15:03,Our head of European #telecoms research discusses the impact of the proposed deal between Sky and Fox with @CNBC… https://t.co/n8gniMd5Ns,2,http://www.radian6.com
895799014536474625,2017-08-11 00:08:22,"Cerebral Palsy Alliance announced as Macquarie’s $100,000 Social Innovation Award recipient. Find out more:… https://t.co/scUcbxTpRK",8,http://www.radian6.com
890844293690253313,2017-07-28 08:00:05,"After eight years of growth, are vulnerabilities emerging in the US economy? Find out here: https://t.co/9SsLvCTzAN https://t.co/zAjqpgZb24",3,http://www.radian6.com
