Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925601648013119489,2017-11-01 05:53:24,1 in 4 borrowers are locking into a fixed rate mortgage. Are you in the right home loan product for your needs? https://t.co/PpFXOtrOWz,0,http://www.hootsuite.com
924833491874918405,2017-10-30 03:01:01,Thinking about going on a road trip this summer? Click the link for our tips for a stress-free trip! https://t.co/9RYLDsLPKV,0,http://www.hootsuite.com
923697014235217920,2017-10-26 23:45:04,Don't be spooked by your finances this Halloween https://t.co/4VJDaRiJDV,1,http://www.hootsuite.com
922680556374188032,2017-10-24 04:26:01,Are you thinking of buying your first home? Here's how to choose where to buy https://t.co/Itr873nay4,1,http://www.hootsuite.com
921188976169451520,2017-10-20 01:39:01,"First home buyers accounted for approx 15% of all loans written in Sept 17, up from 10% in Sept 2016. Find out why: https://t.co/9YwMhT73Fh",2,http://www.hootsuite.com
920889988518154240,2017-10-19 05:50:57,Have you started teaching your kids about money? It's never too early to invest in your child's financial literacy https://t.co/81CwNX3aCy,0,http://www.hootsuite.com
920125606066577409,2017-10-17 03:13:34,5 tips for moving out of home with @mydealaustralia https://t.co/hIzG56KQxQ,2,http://www.hootsuite.com
919777993500905472,2017-10-16 04:12:16,Demand for interest only loans has dropped significantly between Apr &amp; Sept 2017. What does this mean for you? https://t.co/jk8VH9dnYL,4,http://www.hootsuite.com
917923442820812800,2017-10-11 01:22:57,We have partnered with @Ubookr to make it even easier for customers to book appointments with our mortgage brokers https://t.co/JtkHGxYOkt,1,http://www.hootsuite.com
917616007597953024,2017-10-10 05:01:19,Are you paying off your landlord's mortgage? https://t.co/EXtQI7vwYb,3,http://www.hootsuite.com
917265858136641536,2017-10-09 05:49:57,Do your research and be prepared to haggle to secure the sharpest home loan rate https://t.co/OOquaXfMKV,0,http://twitter.com
916163082514132992,2017-10-06 04:47:55,RT @JohnFlavell_MC: Thanks for having me @RachelPupazzoni and @abcnews . Great chatting about all things fixed rates https://t.co/PRvEJw3D0F,2,http://twitter.com
916082616012591104,2017-10-05 23:28:10,Variable rates continue to be the most popular product with 71.67% of borrowers opting for this type of mortgage https://t.co/CJRqXqN3ll,1,http://www.hootsuite.com
915791636621402112,2017-10-05 04:11:55,The official cash rate could rise sooner rather than later. Is now the right time to fix your interest rate? https://t.co/CTh5pTF3yD,1,http://www.hootsuite.com
915056815477596161,2017-10-03 03:32:00,What does the RBA's decision to leave the cash rate on hold mean for you? https://t.co/BOVnzhroiY,3,http://www.hootsuite.com
915056500036587521,2017-10-03 03:30:45,"No surprises today, with the RBA keeping the official rate on hold at 1.5%.",0,http://www.hootsuite.com
913585720153001984,2017-09-29 02:06:23,Click the link to read our tips for a successful home renovation https://t.co/2Qch02K93R,0,http://www.hootsuite.com
913209481525415937,2017-09-28 01:11:21,Do you need help buying your first home? Here's what you should know about guarantors https://t.co/aVUUOOlecn,1,http://www.hootsuite.com
912899464997871618,2017-09-27 04:39:27,"Are you thinking of renovating your home? Or, perhaps buy a new car? Our customer shares her refinancing story https://t.co/RLF1TWPBxG",2,http://www.hootsuite.com
912129244116996096,2017-09-25 01:38:52,The Australian real estate industry has never been healthier https://t.co/RAzVZoBGpq,1,http://www.hootsuite.com
911104069015527424,2017-09-22 05:45:12,Our broker Deslie Taylor accepting her well deserved award for Mortgage and Finance Broker of the Year 2017… https://t.co/8XZY8xlJgE,0,http://www.hootsuite.com
911053595180748801,2017-09-22 02:24:38,We would like to congratulate Deslie Taylor for being named the Mortgage &amp; Finance Broker of the Year at the 2017 Women in Finance Awards!,0,http://www.hootsuite.com
910703002264186880,2017-09-21 03:11:30,Is your money working hard for you? Click the link for 5 ways to pay your mortgage off faster https://t.co/vrZaZaWWUP,1,http://www.hootsuite.com
910373643477307394,2017-09-20 05:22:45,7 things you should know about buying off the plan https://t.co/UnHS68TLNp,1,http://www.hootsuite.com
909942310657564672,2017-09-19 00:48:47,Click the link to understand how you could be making the most out of your home equity https://t.co/ALrhSAg31q,2,http://www.hootsuite.com
908519169221697536,2017-09-15 02:33:44,Did you know 1 in 3 Australian women retire with no super at all? Click the link to find out why https://t.co/AxAwsrdD9L,1,http://www.hootsuite.com
908213956791201793,2017-09-14 06:20:55,"What are your financial goals? No matter what stage you're at in life, we're here to help you reach yours https://t.co/gU5wHDBBPg",0,http://www.hootsuite.com
907738028185145345,2017-09-12 22:49:45,Demand for fixed rate home loans is now at its highest level in almost four years. Are you in the right product? https://t.co/DrVYT8HPl6,2,http://www.hootsuite.com
907427059361828864,2017-09-12 02:14:04,"@snowflaak Yes, we're aware and they aren't Mortgage Choice. We're doing all we can to rectify the situation. Sorry for the inconvenience.",0,http://www.hootsuite.com
907127254576254976,2017-09-11 06:22:45,Is your family protected by personal insurance? Our financial advisers can help you review your insurance today  https://t.co/w5UVunQzAy,0,http://www.hootsuite.com
906010088912986113,2017-09-08 04:23:32,@ABSStats Housing Finance data shows home loan demand has risen for the third consecutive month https://t.co/2Xgf6l5EXS,0,http://www.hootsuite.com
905679854397468672,2017-09-07 06:31:18,When was the last time you got a home loan health check? Your local Mortgage Choice broker can help you find the right deal for you.,5,http://www.hootsuite.com
905305897093799936,2017-09-06 05:45:20,What does yesterday's cash rate announcement mean for Australians? https://t.co/Rkvg2ymgQM,1,http://www.hootsuite.com
904925376794775553,2017-09-05 04:33:17,"For the 13th consecutive month, the @RBAInfo  has decided to keep the official cash rate on hold at 1.50% https://t.co/TaQBkki44u",2,http://www.hootsuite.com
903106941970468864,2017-08-31 04:07:28,Are you a first home buyer? Here is everything you need to know about the incentives offered in your state. https://t.co/B8SUOR9YXM,1,http://www.hootsuite.com
902663915745759232,2017-08-29 22:47:02,Our annual Investor Survey found that 1 in 3 investors are worried about the cost of living https://t.co/rm9jBMazx0,2,http://www.hootsuite.com
902345074612338689,2017-08-29 01:40:05,Do you have a clear savings plan? Our data shows 35% of Australians don't have money saved for a rainy day https://t.co/HvwP1fPLc3,2,http://www.hootsuite.com
902037768485957632,2017-08-28 05:18:57,What would happen to your mortgage if you lost your job? https://t.co/6T6GNUiMj9,2,http://www.hootsuite.com
900587072020467712,2017-08-24 05:14:24,Today we announced our FY17 annual financial results. Read our performance highlights and our plans for the future: https://t.co/dRwRd9QTxx,0,http://www.hootsuite.com
900166972175900672,2017-08-23 01:25:05,RT @JohnFlavell_MC: I'm looking forward to announcing Mortgage Choice's Annual Financial Results for FY 2017 tomorrow morning,3,http://twitter.com
900154402476109825,2017-08-23 00:35:08,What is the best way to add value to your home when renovating? https://t.co/UtTcBgKQSu,1,http://www.hootsuite.com
899823947562274816,2017-08-22 02:42:01,Did you know car dealerships make little profit from the sale of a new car? https://t.co/8XI0B8oh93,2,http://www.hootsuite.com
899424552664662017,2017-08-21 00:14:58,Are you moving soon? We've put together some tips to make the move as painless as possible! https://t.co/7e1tQSqaX4,0,http://www.hootsuite.com
897615795953561600,2017-08-16 00:27:37,An increasing number of property investors are having to make sacrifices to their lifestyle in order to buy property https://t.co/KY5G0N8vxq,1,http://www.hootsuite.com
897284848334843904,2017-08-15 02:32:33,Are you in the market to purchase a home but don't know if you should speak to a broker or go straight to your bank? https://t.co/rFdSnGPRmE,3,http://www.hootsuite.com
896971809819693057,2017-08-14 05:48:39,"No surprises: location, location, location most important to property investors https://t.co/bVXsKwovqA",2,http://www.hootsuite.com
895783172964798464,2017-08-10 23:05:25,and the answer to yesterday's question... https://t.co/a56Xa1LSRy,1,http://www.hootsuite.com
895505884104855552,2017-08-10 04:43:35,@RW_Ballarat Find out tomorrow! ;),0,http://www.hootsuite.com
895447192474963969,2017-08-10 00:50:21,"On average, how long do Australian investors hold onto their properties?",0,http://www.hootsuite.com
895136304190681088,2017-08-09 04:15:00,The latest Housing Finance data from the ABS shows home loan demand continues to rise https://t.co/v8rahYMt35,0,http://www.hootsuite.com
894713930320424961,2017-08-08 00:16:38,We welcome Amanda Scott to the role of State Manager in South Australia https://t.co/SMxur1cyq9,0,http://www.hootsuite.com
894413804565651456,2017-08-07 04:24:03,Is now a good time to upgrade your car? https://t.co/YwwP8sFlRY,1,http://www.hootsuite.com
892992956671590400,2017-08-03 06:18:06,Demand for fixed rate home loans is at a three year high https://t.co/8uhDuD25qd,1,http://www.hootsuite.com
892241349713547265,2017-08-01 04:31:29,"1 year on and still no change in the cash rate, how long can it last? https://t.co/N3CyzqlWDg",1,http://www.hootsuite.com
891919513830264832,2017-07-31 07:12:37,Did you know your local Mortgage Choice broker can help you finance a new car? https://t.co/pAxEUX2jeU,2,http://www.hootsuite.com
890098578148007937,2017-07-26 06:36:52,Our investor survey shows that a majority of investors prefer to purchase existing dwellings rather than new builds https://t.co/pYTtUqE80r,1,http://www.hootsuite.com
889352181593321473,2017-07-24 05:10:58,Save yourself the headache by following our steps to a successful renovation https://t.co/XbtT6qa6xk,1,http://www.hootsuite.com
888253730193260547,2017-07-21 04:26:06,"What's in store for Australia over the next 12 months? Our CEO, John Flavell shares his thoughts. https://t.co/bj5ba2xxWn",0,http://www.hootsuite.com
887852895386906624,2017-07-20 01:53:20,Interest rates are sitting at historic lows but how long can they stay that way? https://t.co/wGC5BKX0Ts,4,http://www.hootsuite.com
885720838116261888,2017-07-14 04:41:18,Our research shows that 42% of property investors feel restricted by the current lending environment. https://t.co/vOKnxVcOIQ,2,http://www.hootsuite.com
882094401958400000,2017-07-04 04:31:08,"No surprises today, with the RBA leaving the cash rate on hold for the 11th consecutive month. https://t.co/rTLQS5ZMCa",3,http://www.hootsuite.com
880246957570224129,2017-06-29 02:10:03,Our data shows that 1 in 4 property investors are 'rentvesting'. Find out why! https://t.co/MIXAb2rea4,3,http://www.hootsuite.com
876610404906086400,2017-06-19 01:19:41,Is the Great Australian Dream alive and well? We surveyed 1000 Australians to find out. https://t.co/6gejCuQqxx,1,http://www.hootsuite.com
873053449159561216,2017-06-09 05:45:37,New ABS data shows home loan demand has dropped for the third consecutive month. #realestateAU https://t.co/LTbrIhwG1U,5,http://www.hootsuite.com
872302011248783360,2017-06-07 03:59:40,We've tackled a few of the most common myths we hear from first home buyers: https://t.co/1UXcbeQojH,1,http://www.hootsuite.com
871948086297452544,2017-06-06 04:33:18,"Another month, another unsurprising cash rate decision from the #RBA https://t.co/02FQUg17qH",1,http://www.hootsuite.com
870182026258903040,2017-06-01 07:35:36,NSW govt announced changes to address housing affordability. Will they go far enough? We break them down for you: https://t.co/TNQ4easfHT,0,http://www.hootsuite.com
869809114519568384,2017-05-31 06:53:47,"Is the fall in Syd &amp; Melb's property prices a sign or, is the market naturally cooling with the weather? https://t.co/RjZDQijMXH",0,http://www.hootsuite.com
867541432697065472,2017-05-25 00:42:50,The financial literacy of youth is falling according to the OECD Its never too late to teach kids the value of money https://t.co/hu9jOgW8dP,2,http://www.hootsuite.com
867245621308256256,2017-05-24 05:07:23,We're seeing a rise in the number of first home buyers taking out loans in the first quarter of 2017. Find out why https://t.co/R8xph2tHRi,2,http://www.hootsuite.com
864672910841196544,2017-05-17 02:44:21,Our data shows the number of Australians choosing to renovate their homes is on the rise https://t.co/zqJ9dL8Fbe,2,http://www.hootsuite.com
862170211037859841,2017-05-10 04:59:31,"Our CEO, John Flavell, talks #Budget2017 and what it means for you https://t.co/ycONZZyZka",3,http://twitter.com
862165879391432704,2017-05-10 04:42:18,#Budget2017 #FederalBudget2017 #Budget2017 https://t.co/T7h3EfABBu,0,http://twitter.com
861370530917756928,2017-05-08 00:01:52,Our data shows that demand for fixed rate home loans is up. Find out why https://t.co/bQARpxi0X2,0,http://www.hootsuite.com
859267557970370561,2017-05-02 04:45:24,Join us on Facebook at 3pm AEST to hear our national spokesperson Jessica Darnbrough's thoughts on the RBA decision https://t.co/xZfuaJADUZ,1,http://www.hootsuite.com
859263751161249792,2017-05-02 04:30:17,"No surprises today, with the Reserve Bank of Australia opting to leave the cash rate on hold at 1.5% for the ninth consecutive month.",1,http://www.hootsuite.com
859196050116149249,2017-05-02 00:01:16,Our National spokesperson Jess joins @96five @ilija_dugandzic before 10am. https://t.co/ha6OHrsZLk,2,http://www.hootsuite.com
858926590763442176,2017-05-01 06:10:31,With the RBA meeting tomorrow and a budget announcement 8 days away it's a busy time for the Australian economy #ausecon,1,http://www.hootsuite.com
857743385276362753,2017-04-27 23:48:53,"Our CEO, John Flavell discusses financial planning with @TheAdviserAU 
 https://t.co/JXed5awgQA",1,http://www.hootsuite.com
857406533973544960,2017-04-27 01:30:22,"To achieve their great Australian dream, first home buyers are willing to make some unexpected compromises https://t.co/z4yJtpZ6WG",1,http://www.hootsuite.com
855310029200674816,2017-04-21 06:39:36,Our research reveals what is the most important factor for first home buyers https://t.co/ZSXf5s6mxd,1,http://www.hootsuite.com
854931448679337984,2017-04-20 05:35:15,What should you consider when switching your home loan? https://t.co/DKBpsogQxw,2,http://www.hootsuite.com
854563574747992064,2017-04-19 05:13:27,Are you trying to keep your baby safe in a rental property? Here are our tips to baby proof your home https://t.co/7yz9U0Ev3d,0,http://www.hootsuite.com
852393479510556672,2017-04-13 05:30:16,"Our research shows that almost 35% of first home buyers find it ""extremely hard"" to buy property https://t.co/sIbVTVSew0",2,http://www.hootsuite.com
851694342360244224,2017-04-11 07:12:09,How many superannuation accounts do you have? When was the last time you checked? https://t.co/5Ts8mWsDTX,0,http://www.hootsuite.com
851280671356010498,2017-04-10 03:48:22,ABS data shows home loan demand dropped in February https://t.co/fe469ezHK6,1,http://www.hootsuite.com
850212927952912388,2017-04-07 05:05:32,Christmas might seem far away but it's never too late to start planning! https://t.co/dbObi7peXB,0,http://www.hootsuite.com
849859960984961025,2017-04-06 05:42:58,Our research shows 1 in 3 first home buyers are unlikely to buy a home if interest rates rise https://t.co/gMxLwdTAS5,0,http://www.hootsuite.com
849496097429041152,2017-04-05 05:37:07,Aussies are living longer than ever before. Protect your future and stay on top of your super! https://t.co/sKf3Jft61J,0,http://www.hootsuite.com
849117114120241154,2017-04-04 04:31:10,The #RBA announced it is leaving the cash rate untouched at 1.5% https://t.co/ftPR7Ld6K6,2,http://www.hootsuite.com
848748767687958529,2017-04-03 04:07:29,Mortgage Choice data shows demand for fixed rate home loans fell in March. https://t.co/c3WE9Xx9xU,2,http://www.hootsuite.com
847618290738384896,2017-03-31 01:15:23,"RT @JohnFlavell_MC: A first home saver account is a good idea in theory, as long as it's fair and beneficial to all first home buyers. http…",3,http://twitter.com
847243381063340034,2017-03-30 00:25:37,"Mortgage Choice continues to grow its national footprint, with four new offices opening in Victoria in one week. https://t.co/qxmhSz5qEL",0,http://www.hootsuite.com
846954488149757953,2017-03-29 05:17:40,1 in 5 homeowners will struggle financially if interest rates go up. Are you prepared? https://t.co/4Y9odYgZvT,0,http://www.hootsuite.com
846501641616449536,2017-03-27 23:18:13,"To celebrate #GlobalMoneyWeek, we share our best budgeting and savings tips. #GMW2017 https://t.co/4DmcTZiFWK",1,http://twitter.com
846186520147099651,2017-03-27 02:26:02,Our research has found nearly 1 in 4 Aussies worry about their money daily. https://t.co/fteRhoewDE,1,http://www.hootsuite.com
844728109245124609,2017-03-23 01:50:50,What is the best season for buying property? #realestateAU https://t.co/LlYdHwUEyQ,1,http://www.hootsuite.com
844415695857299460,2017-03-22 05:09:25,"RT @JohnFlavell_MC: With some lenders increasing their home loan rates, it's important for you to review your mortgage and make sure you're…",5,http://twitter.com
844059265673412608,2017-03-21 05:33:05,Renovation expert Carlene Duffy shares her top tips on how you can refresh your bedroom on a budget.  https://t.co/CiODJIL2Rc,1,http://www.hootsuite.com
843631945804406784,2017-03-20 01:15:04,Our data shows more home buyers are willing to sacrifice on space to get onto the property ladder. https://t.co/9M7faqd5tT,0,http://www.hootsuite.com
842504169449816069,2017-03-16 22:33:41,We welcome ASIC's review into mortgage broker remuneration.  https://t.co/YTBkHu63VY,1,http://www.hootsuite.com
841786657003118592,2017-03-14 23:02:33,RT @JohnFlavell_MC: Will Australia's banks be forced to tighten lender policy further? Only time will tell. https://t.co/KBg4u7wkeB,4,http://twitter.com
841530592915312640,2017-03-14 06:05:02,Our research shows most Australians consider seeking professional financial advice as very worthwhile. @IFA_AU  https://t.co/IxmzWlOUzn,0,http://www.hootsuite.com
841166986222698496,2017-03-13 06:00:12,"If you're concerned about job security or want certainty on your mortgage repayments, have a look at fixed rates. https://t.co/R43r5fUl5P",0,http://www.hootsuite.com
840033833928011776,2017-03-10 02:57:27,Three reasons why you should finance your business equipment. https://t.co/VCUbmIeYfU,0,http://www.hootsuite.com
839715336266067968,2017-03-09 05:51:51,Great story from @newscomauHQ and a timely reminder why borrowers should always speak to an expert. https://t.co/I8W3TR5IXG,1,http://www.hootsuite.com
839356267676172288,2017-03-08 06:05:03,"If you're a first home buyer, there are three terms you should know.  https://t.co/vHzKfCDYeb",2,http://www.hootsuite.com
838955201851686912,2017-03-07 03:31:21,"No surprises, with the #RBA leaving the official cash rate on hold at 1.5%. https://t.co/tRuGL6Ezm0",0,http://www.hootsuite.com
838514475338616832,2017-03-05 22:20:04,"If you're in the market for a property, make sure you get a loan pre-approval to give yourself a competitive edge. https://t.co/1OgUMnwzL2",0,http://www.hootsuite.com
837108964227702784,2017-03-02 01:15:04,1 in 5 property owners fix their mortgage. https://t.co/NmQtvoR9uP,4,http://www.hootsuite.com
836767556329431040,2017-03-01 02:38:26,Our new research shows 1 in 2 first home buyers want to buy proeprty in order to stop the revolving rental train. https://t.co/awaYP5NAaT,1,http://www.hootsuite.com
836380434418319360,2017-02-28 01:00:09,It's always a good idea to speak to a professional before making financial decisions. @moneysaverHQ https://t.co/rakVJBSWZK,0,http://www.hootsuite.com
836013894653075456,2017-02-27 00:43:39,More first home buyers are teaming up with a sibling to get into the property market. #realestateAU @9NewsAUS https://t.co/SzGMqRp7IY,0,http://www.hootsuite.com
835002909058195456,2017-02-24 05:46:21,"RT @JohnFlavell_MC: If the government wants to treat the cause of housing affordability, they need to get to the core of the issue. https:/…",6,http://twitter.com
834552409363988480,2017-02-22 23:56:14,Mortgage Choice was pleased to unveil our impressive interim financial results today. https://t.co/ChCxJL7xjl,0,http://www.hootsuite.com
834213645143916544,2017-02-22 01:30:06,Is now a good time to invest in property? #realestateAU https://t.co/5Xzq8cSLlS,1,http://www.hootsuite.com
833835514868424706,2017-02-21 00:27:33,"Great to see discussion on housing affordability, but we still need to address the root cause. https://t.co/mHR99ud2Zx",3,http://www.hootsuite.com
833533644434190338,2017-02-20 04:28:01,Experts predict a rise in interest rates this year. Are you prepared? @theheraldsun  https://t.co/vrlHUgHiy6,2,http://www.hootsuite.com
831747121900560385,2017-02-15 06:09:01,Why use a mortgage broker? https://t.co/G8yj7vp0TT,4,http://twitter.com
831019252849053696,2017-02-13 05:56:44,RT @Domaincomau: Tide turns against investors as Bankwest scraps negative gearing when lending https://t.co/vG61OYymLk https://t.co/JdMuoyH…,1,http://twitter.com
829524216500228096,2017-02-09 02:55:59,Majority of Aussies have at least one financial regret... https://t.co/GUjjxCMAm8,2,http://twitter.com
828808612143210497,2017-02-07 03:32:26,"At its first Board meeting for 2017, the #RBA has left the official cash rate on hold at 1.5%. https://t.co/MMFlrnTjwW",6,http://twitter.com
828456583289974784,2017-02-06 04:13:36,RT @Domaincomau: Simple ways update your home #decor for every season https://t.co/c9EdYnr4hR https://t.co/w9hyy7oyYC,5,http://twitter.com
826668368916738049,2017-02-01 05:47:52,Fixed rate demand on the rise... https://t.co/jsFbYEx0Ir,5,http://twitter.com
826282390670544896,2017-01-31 04:14:08,9 out of 10 investors don't regret purchase: study https://t.co/yOjzlg2tHX,2,http://twitter.com
824834194794614784,2017-01-27 04:19:31,Looking for ways to consolidate your credit card debt?  https://t.co/xDsYTp2RDx,1,http://twitter.com
824125532526747649,2017-01-25 05:23:33,"If you want to host an Australia Day shindig at your place this year without breaking the bank, we have you covered https://t.co/jzjiX64K4X",0,http://twitter.com
823754497541316608,2017-01-24 04:49:11,Here's why it pays to review your mortgage regularly... https://t.co/1m4T3AfLwW,2,http://twitter.com
823377247188811776,2017-01-23 03:50:07,RT @Domaincomau: Fresh and clean: 15 hacks to make your house smell delicious https://t.co/ALLK0mavwv https://t.co/8M1BPcUzqz,2,http://twitter.com
821214299955732481,2017-01-17 04:35:21,Home loan demand surges in November https://t.co/pekNe9xXO2,1,http://twitter.com
818657506155110400,2017-01-10 03:15:34,RT @Domaincomau: The five things on the agenda for Sydney’s property market in 2017 https://t.co/Bk6MDMv8C1 https://t.co/OQPWTZbtZy,1,http://twitter.com
818305461153693696,2017-01-09 03:56:39,Fixed rate demand surges again. https://t.co/UQBpBp6sET,3,http://twitter.com
816482843354222593,2017-01-04 03:14:14,Make your financial resolutions a reality this year with these 6 easy steps. https://t.co/OId2s2mpLW,3,http://twitter.com
816141094186459136,2017-01-03 04:36:14,These 6 style resolutions are perfect for creating the home you want in 2017. https://t.co/ZB9XuP5Q4H,1,http://twitter.com
812067291315613697,2016-12-22 22:48:24,Don't be haunted by the financial ghosts of Christmas past https://t.co/CnJtLtW79T,5,http://twitter.com
811422337849380864,2016-12-21 04:05:35,As we head into the New Year... is now the time to fix? https://t.co/aBc94WGBwr,1,http://twitter.com
810694506345533440,2016-12-19 03:53:26,"""The bad news for anyone who has been waiting for the bottom of the rate cycle is that it has come and gone,"" says… https://t.co/KmP67ec0c6",1,http://twitter.com
809582010167541760,2016-12-16 02:12:47,Rates set to rise further in 2017 https://t.co/3LWaWo6V13,2,http://twitter.com
808523784223215616,2016-12-13 04:07:46,RT @smh: Speedy rate hikes protect bank margins. https://t.co/SXTAYixXZf,4,http://twitter.com
807098986825818112,2016-12-09 05:46:08,"RT @JohnFlavell_MC: Despite a slight moderation in home loan demand, total demand still remains strong by historical standards.  https://t.…",3,http://twitter.com
805978481725059073,2016-12-06 03:33:39,"At its last Board meeting for 2016, the #RBA has left the official cash rate on hold at 1.5%. https://t.co/0DxAOR1JkQ",4,http://twitter.com
805573011122233344,2016-12-05 00:42:27,"In a bid to meet their growing commercial needs, Mortgage Choice has partnered with leading online lender, Prospa. https://t.co/vhxZs4OBK2",2,http://twitter.com
804122053141995520,2016-12-01 00:36:51,"For many Australians garden maintenance can be expensive, here's how to create the best backyard on a budget.  https://t.co/ze2pZAtOe5",2,http://twitter.com
803752139575070720,2016-11-30 00:06:57,Tune in this afternoon to hear Mortgage Choice CEO @JohnFlavell_MC discuss all things interest rates with @CNBCi followed by @ABCNews24!,0,http://twitter.com
