Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
907141123696553984,2017-09-11 07:17:52,@amajdandzic1 I'm so sorry to hear that! Did you want to get back to me with your order number/contact info at feed… https://t.co/yhYNqB2XFJ,0,http://twitter.com
883105606571368449,2017-07-06 23:29:18,"@phuongdangtran An array of places! Tell us which one you're interested in :) 
Constantina &amp; Louise is one we get a… https://t.co/CYi7IMdLt8",0,http://www.hootsuite.com
865359945637781506,2017-05-19 00:14:23,@1spaceboo Sorry to say it can't :(,0,http://www.hootsuite.com
829827489488834561,2017-02-09 23:01:05,Two weeks ago we shared the captivating space of @leashks featuring our Easton lounge; here is a professional shot!… https://t.co/URVClw0CSc,3,http://www.hootsuite.com
829106304262217729,2017-02-07 23:15:21,"The Easton lounge, Kuiso coffee and dining tables; a clean and unique pairing
Via @felubica 
#stunning #howyouhome #interiors #nickscali",0,http://www.hootsuite.com
828747772300029952,2017-02-06 23:30:40,The Cooper dining table pristine lines and pure colour: complemented by curves and abstract art #howyoustyle… https://t.co/yhyIHYGmf7,1,http://www.hootsuite.com
828389088193556481,2017-02-05 23:45:24,Bringing the outside in #bringtheoutside #interiors #decor #interiordesign@deeonlyone8 https://t.co/hOxCY9ySPG,0,http://www.hootsuite.com
824736257070788608,2017-01-26 21:50:21,"For your chance to WIN the balance of your order under our current Up to 50% OFF January Sale, enter our contest! https://t.co/p5MZZz2MSc",0,http://www.hootsuite.com
824510971611934721,2017-01-26 06:55:08,Enter our Up to 50% OFF January Sale Photo Contest for the chance to WIN the balance of your order FREE: https://t.co/p5MZZz2MSc,0,http://www.hootsuite.com
824469455182987264,2017-01-26 04:10:10,"For the chance to win the remaining balance of your order placed under our current January Sale, enter Contest: https://t.co/p5MZZz2MSc",0,http://www.hootsuite.com
824424177776136192,2017-01-26 01:10:15,Click here to find out how you can enter our Up to 50% OFF January Sale Photo Contest: https://t.co/p5MZZz2MSc,0,http://www.hootsuite.com
824372620766412800,2017-01-25 21:45:23,Our Up to 50% OFF January Sale Photo Contest is now ON! #contest #sale #nickscali https://t.co/p5MZZz2MSc,0,http://www.hootsuite.com
824361650773966848,2017-01-25 21:01:48,See here for more info on how to enter our January Sale Photo Contest for the chance to WIN! #contest #sale https://t.co/p5MZZz2MSc,0,http://www.hootsuite.com
