Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925625977585184773,2017-11-01 07:30:05,Can you spot @Peter_OKeeffe_ &amp; @ggbardell in @NuseedAustralia's Wahoo #canola field? They were very excited to expe… https://t.co/nppzEXymAG,1,http://sproutsocial.com
925594993774936064,2017-11-01 05:26:57,RT @Zweck17: HEADER!! No signal + return home + 25t header inbetween = trouble 😬 #dronedown #exper@crashing https://t.co/LAstnFD6A4,27,http://twitter.com
925540125047644160,2017-11-01 01:48:56,An incredible shot by @teadguey_ of #cotton seedlings! Looks like everyone is getting ready for #cotton18 https://t.co/f1PGsbwLCd,0,http://twitter.com
925266199805542400,2017-10-31 07:40:27,"Boo! Be careful as the sun goes down tonight, a farm can be a scary place on #Halloween🌱👻🎃 https://t.co/Ca6UE74pzc",0,http://twitter.com
924872808676474880,2017-10-30 05:37:15,Hit ryegrass seed-set in your canola as early as 20% seed colour change with weedmaster® DST®. It works in all cano… https://t.co/8cZKvsc1Te,4,http://twitter.com
924845652730789888,2017-10-30 03:49:21,Real life Tetris! https://t.co/uj0v9T4q6Z,2,http://twitter.com
924108470777012224,2017-10-28 03:00:03,Want to know how weedmaster® DST® works for pre-harvest weed control in #canola? Learn more!… https://t.co/fplc8JrzaN,4,http://sproutsocial.com
923777514626879494,2017-10-27 05:04:57,"Meet Frank! This little fella loves running amuck with his human Russell. Sometimes, Frank even gets to ride the… https://t.co/TfUEjHCQvE",3,http://twitter.com
923410302179217408,2017-10-26 04:45:46,"Field day fun at the Southern Pulse Agronomy Wimmera Field Day. When it comes to disease control in Faba beans, For… https://t.co/XIxSgLv5yb",0,http://twitter.com
923314104063836161,2017-10-25 22:23:31,Great to see @derekctiller sharing insights from his report! https://t.co/03PR4H0RME,0,http://twitter.com
922719340130111488,2017-10-24 07:00:08,"#TopCroppers points funded a recent study tour of #Brazil, learning from Cooami Corporative. Are you a member?… https://t.co/pCviiGFzgY",7,http://sproutsocial.com
921186718598029312,2017-10-20 01:30:03,"Meet the very cute Ruby! @porterw1001's ferocious little side kick, always ready &amp; waiting to help out. 🐶 🌱… https://t.co/zu5XTeVbsQ",16,http://sproutsocial.com
920895502018682880,2017-10-19 06:12:51,"On a recent study tour, our team met with Latin America's largest cooperative. #Coamo produces 3.5% of Brazil’s… https://t.co/lw3AJvbhNG",5,http://twitter.com
920103350871277569,2017-10-17 01:45:08,"Women of all ages around #Australia love their agriculture, and their tractors! Happy #InternationalDayofRuralWomen… https://t.co/4QZoxz40Ye",12,http://sproutsocial.com
919668245652582400,2017-10-15 20:56:11,"RT @Croplands: Here at Treasury Wine Estates, Padthaway for @The_AWRI Research and Demo Days with our Quantum Mist Vineyard Sprayer #viticu…",3,http://twitter.com
918720031059460097,2017-10-13 06:08:19,RT @ASabeeney: @Nixon_ed @FarmAgronomy No efficacy compromise with a mix of Nufarm Amicide700 and WeedmasterDST or Argo. Just add the Amici…,4,http://twitter.com
918345161159065600,2017-10-12 05:18:43,An incredible turnout to the #ikcaldwell field day at #Barooga! Just look at that flowering #wheat! 🌱 #agchatoz https://t.co/OaFpquEH4k,10,http://twitter.com
918297377861021696,2017-10-12 02:08:50,We love these emoji round bales! https://t.co/t55yuHNVEQ,0,http://twitter.com
918249828756348928,2017-10-11 22:59:54,We love this action shot of Shayne Matthews completely in his element! #agchatoz https://t.co/34KI8opOnk,6,http://twitter.com
917645897319829505,2017-10-10 07:00:05,"Some seasons can be tough &amp; unforgiving, so we've made this #MentalHealthPromise for #WorldMentalHealthDay. What wi… https://t.co/xGwG3aWqNm",9,http://sproutsocial.com
917508896725417984,2017-10-09 21:55:42,RT @TractorMat_Au: Our BlueBoom Lights in action on a 24metre @Croplands Weedit. Great footage from our customer. https://t.co/PekVZUk77P h…,9,http://twitter.com
917212067106496513,2017-10-09 02:16:12,RT @MarkSlatts74: #dogsofnufarm Here's another 'Ollie' @ASabeeney  Bit sad after a visit to the vet this morning. https://t.co/5Fr9MmYbSG,1,http://twitter.com
917146885919432705,2017-10-08 21:57:12,RT @chez_dreckow: This will keep him amused for a while #nufarm #dst #futureagro https://t.co/hqmGXfKu20,2,http://twitter.com
916166141701246976,2017-10-06 05:00:04,"Meet Ollie, @ASabeeney's best mate, hard at work! Capture your furry helper in action &amp; use the hashtag… https://t.co/mvc4tDhgh1",4,http://sproutsocial.com
915828919768616960,2017-10-05 06:40:04,"Did you know chicken manure can improve soil health? Our 2018 Nuffield Scholar, @GrantPontifex will show us how!… https://t.co/b1atCG3ijb",1,http://sproutsocial.com
915744834744283137,2017-10-05 01:05:56,We have a new certified organic biological #fungicide for controlling #Botrytis. #Botector is ripe &amp; ready to order… https://t.co/hikWLdw3NX,20,http://twitter.com
915437200304627712,2017-10-04 04:43:31,RT @chris_drwe: I'm definitely an advocate for sharing simple but effective safety messages like below. #gethomesafe #farmsaftey #family ht…,6,http://twitter.com
915390354433622017,2017-10-04 01:37:22,RT @theGRDC: Help minimise off-target damage from downwind pesticide applications with CottonMap https://t.co/zQNHtOmTD9 @CottonResearch @N…,8,http://twitter.com
915334045273174016,2017-10-03 21:53:37,"That moment when a leading agronomist can see the benefits of adding Factor to a clethodim mix. Thanks,… https://t.co/VEgIzkTiw3",5,http://twitter.com
914615480979046400,2017-10-01 22:18:18,RT @strangeimages: Hope all the farmers got some rain over the last week 🌾☔️ https://t.co/2nZI6CeqCi,7,http://twitter.com
913967604779278336,2017-09-30 03:23:52,RT @ASabeeney: certainly not worth risking with unregistered products https://t.co/lX8gXto416,4,http://twitter.com/download/iphone
913574790832648192,2017-09-29 01:22:58,It’s #fielddayfriday! #Avadex &amp; #TriflurX will knock out your #Ryegrass! Checking out trials with the team from… https://t.co/aMfOUdADiG,3,http://twitter.com
913531464892825600,2017-09-28 22:30:48,RT @Nixon_ed: Hide and seek! https://t.co/19l1kxwRGx,3,http://twitter.com/download/iphone
913209507601276929,2017-09-28 01:11:27,Looks like more than the sausages were sizzling at the #YPFieldDays - Looking good @Ken_boyEP &amp; @8baggy! https://t.co/nJcxHAaCwT,5,http://twitter.com
913175385134710784,2017-09-27 22:55:52,RT @Croplands: Here at YP Field Days on the @awvaterco site 355 Kadina West Rd with #RoGator &amp; NEW Pegasus 7000 Plus. Come say g'day to Bil…,2,http://twitter.com
912949958550200320,2017-09-27 08:00:06,"""Agriculture is definitely the V8 engine powering Australia's
economic growth.“ – Fiona Simson, National Farmers Fe… https://t.co/GdU7lcAAiC",23,http://sproutsocial.com
912458279833313280,2017-09-25 23:26:21,"RT @Croplands: Our Micro Power Pack improves sprayer efficiency in vineyards, read the full story here: https://t.co/3Ct3OmyCN1  #viticultu…",8,http://twitter.com
