Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
877639829843984386,2017-06-21 21:30:15,RT @OceanaGoldPh: Cimatu lays down investor-friendly initiatives at DENR https://t.co/XXKhQf7WLg via @manila_bulletin,7,http://twitter.com/download/iphone
876928425629327360,2017-06-19 22:23:23,PH mining cited for best practices by EITI https://t.co/NzWuaWRSjc via @manila_bulletin @OceanaGoldPh,3,http://twitter.com/download/iphone
876927562600988674,2017-06-19 22:19:58,RT @capgemini_aust: .@OceanaGold leverages the experience and methodology of Capgemini to implement SAP #Success Factors https://t.co/0trim…,2,http://twitter.com/download/iphone
876927426508447744,2017-06-19 22:19:25,RT @capgemini_aust: We helped @OceanaGold drive a strategic #HR process https://t.co/0trimMhkIv https://t.co/4pllgmQRSq,3,http://twitter.com/download/iphone
876927091219980288,2017-06-19 22:18:05,RT @GOLDCOUNCIL: John Mulligan examines gold investment options for “jittery investors” in times of political uncertainty. Read more  https…,7,http://twitter.com/download/iphone
876926665812619264,2017-06-19 22:16:24,"RT @GOLDCOUNCIL: With the GST launch imminent, gold jewellers in India are seeing an increase in demand. Read more: https://t.co/Mu5XyAYc1h…",9,http://twitter.com/download/iphone
871861101750763520,2017-06-05 22:47:39,Great video showcasing OceanaGold's Philippines operations and our Progressive Rehabilitation https://t.co/CYm3dQ9WW3 via @YouTube,1,http://twitter.com
870119434949492736,2017-06-01 03:26:53,"RT @OceanaGoldPh: At Didipio mines, women workers join underground toil

Read here: https://t.co/N4I6zFEgSR https://t.co/3Syxgjre0c",5,http://twitter.com/download/iphone
870119408684769280,2017-06-01 03:26:47,RT @mickwilkes: ...And nearly 220 years ago a farmer in North Carolina found a gold nugget in his field to start the first gold rush in the…,1,http://twitter.com/download/iphone
870119301402861568,2017-06-01 03:26:22,"RT @OceanaGoldPh: OceanaGold Lady Miners
#WomenInMining https://t.co/701twDuZVQ",7,http://twitter.com/download/iphone
867898073858555904,2017-05-26 00:20:00,For these women @Didipio working underground is a bright opportunity https://t.co/ptYq84Bkpw via @mining… https://t.co/aDuig6ZtGZ,4,http://twitter.com
866546497612939264,2017-05-22 06:49:19,"Mother, heavy equipment operator, miner - The Manila Times Online https://t.co/wruh7qVZ0q #ResponsibleMining #Diversity #OurPeople #Didipio",2,http://twitter.com
866435545693474816,2017-05-21 23:28:26,Investors: More Gold Companies Are Showing Up on My Value Screen https://t.co/WXsJvsGki2 via @YahooFinanceCA,0,http://twitter.com
865022113215725568,2017-05-18 01:51:57,RT @mickwilkes: New DENR chief wants to address misinformation on mining https://t.co/fidhWJkZeu via @manila_bulletin,1,http://twitter.com/download/iphone
864987868917186562,2017-05-17 23:35:53,"OGC Non-Exec Director, Diane Garret, is one of the ""17 Leaders to Follow in Women in Mining &amp; Aggregates"" https://t.co/EoNhV7NSXj #Diversity",0,http://twitter.com
863920250730930176,2017-05-15 00:53:33,RT @ChamberOfMines: New DENR chief wants to address misinformation on mining https://t.co/tiYFKxVPyS,1,http://twitter.com
862478592533385216,2017-05-11 01:24:55,RT @mickwilkes: Applying the same principles @Hailegoldmine as we do everywhere we operate...strong social performance. https://t.co/69HZaT…,2,http://twitter.com
862478369299996672,2017-05-11 01:24:01,"RT @OceanaGoldPh: Great things happen when it comes from the heart!
Caring heart that drives workers of OceanaGold in their commitment to t…",5,http://twitter.com
862473191247065088,2017-05-11 01:03:27,OceanaGold helps Paeroa woodturners keep turning out exquisite products https://t.co/Iv2gpsfzIC #Community #Waihi #GoldMinerOfChoice,0,http://twitter.com
860004036258299904,2017-05-04 05:31:55,"RT @OceanaGoldPh: In line with our rehabilitation program, OceanaGold has developed a 200 ha commercial plantation as part of our Off Site…",5,http://twitter.com
859604784705282048,2017-05-03 03:05:26,Not a spaceman - @OceanaGoldPh employees share #ResponsibleMining experience with their families: https://t.co/F4mz8jiP1r #gold #ausbiz,0,http://twitter.com
859589139427082242,2017-05-03 02:03:15,"RT @OceanaGoldPh: OceanaGold employees are very hardworking and diligent. Want to be like our miners?

Collect the gold by tapping your scr…",1,http://twitter.com
858919098587111424,2017-05-01 05:40:45,Congratulations Linda White Haile Gold Mine Community Relations Mgr for winning Kershaw Citizen of the Year Award… https://t.co/XpcgxO0ViZ,2,http://twitter.com
857763039625584641,2017-04-28 01:06:59,Miner spends P8m for locals leadership program https://t.co/GpjXUJylYB,0,http://twitter.com
857762765951442944,2017-04-28 01:05:54,Miners dig for $2 billion in gold near SC town https://t.co/ZF9SLk1eIr,0,http://twitter.com
857726144468066304,2017-04-27 22:40:23,Strong quarterly results for OceanaGold. Read our full release here: https://t.co/ebXYqyt7ce #ResponsibleMining… https://t.co/sIxkFz1VPL,6,http://twitter.com
857724934902108161,2017-04-27 22:35:34,Take a tour of OceanaGold's Haile Gold Mine #ausbiz #ResponsibleMining #gold https://t.co/iatLpaQBmb,2,http://twitter.com
857066395296702464,2017-04-26 02:58:46,Oceanagold spends P5m for community projects @OceanaGoldPH https://t.co/kYCKC8w70v,0,http://twitter.com
856752160377155584,2017-04-25 06:10:07,"Zuri Invest Mining Panel featuring OceanaGold CEO @MickWilkes discussing the Company's performance, strategy https://t.co/2MJN0zZKPJ #ausbiz",1,http://twitter.com
856613351501078528,2017-04-24 20:58:32,RT @OceanaGoldPh: OceanaGold began initial rehabilitation since 2012. The total rehabilitated area inside Didipio Mine as of last year was…,11,http://twitter.com/download/iphone
854589241736572929,2017-04-19 06:55:27,"Confident in Macraes and Waihi mine life | Otago Daily Times #ausbiz #goldmining #NZbiz #responsiblemining 
https://t.co/HWHHLqKzIY",0,http://twitter.com
854582543152168962,2017-04-19 06:28:50,"RT @OceanaGoldPh: OceanaGold mine gets certified with new ISO

Read here: https://t.co/XbIOnCncBe https://t.co/0Cgf4e5CQA",2,http://twitter.com
854582443101143042,2017-04-19 06:28:26,RT @OceanaGoldPh: Read here: https://t.co/ns6gk0o8gj ​ https://t.co/Hp3BJZ1yCI via @GIPHY https://t.co/8qSZ50dNVs,1,http://twitter.com
