Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925571627915579395,2017-11-01 03:54:07,"Our @OrionHealth booth is ready for an exciting few days ahead at #HINZ2017, visit us at booth 33 &amp; 34. Don't miss… https://t.co/QIU9ZUT2Cq",3,http://www.hootsuite.com
925481699164561408,2017-10-31 21:56:46,Read about a few ways we've helped #healthcare organizations from across the globe https://t.co/PAiCp0wvgY #HIT… https://t.co/t0lPBnbpub,0,http://twitter.com
925462568499494912,2017-10-31 20:40:45,".@dbennettaz on the need for improved curation of data, using data more proactively, #interoperability… https://t.co/JlrKblVtxw",0,http://twitter.com
925386662149988353,2017-10-31 15:39:07,RT @eHealthDC: Join us today at 2pm as we discuss strategies to incorporate behavioral health and substance abuse data. https://t.co/xDj6d8…,1,http://twitter.com
925198168056266753,2017-10-31 03:10:07,How to ensure security in a new demo app that uses FHIR APIs to calculate your risk of a heart attack.… https://t.co/QvKZm7csxk,0,http://www.hootsuite.com
925123476456747008,2017-10-30 22:13:19,RT @OrionHealth: Register for our webinar with @eHealthDC about including broader patient datasets for better care delivery https://t.co/MC…,1,http://twitter.com
925035668602007554,2017-10-30 16:24:24,RT @OrionHealthEMEA: Catch David and more of the Orion Health team next Tuesday &amp; Wednesday at #ehilive #BigRedNetworkingBus https://t.co/T…,1,http://www.hootsuite.com
924007265555722240,2017-10-27 20:17:53,Register for our webinar with @eHealthDC about including broader patient datasets for better care delivery… https://t.co/arpasJOqdP,1,http://twitter.com
923965417239937024,2017-10-27 17:31:36,Congrats to @HorizonBCBSNJ for achieving $94.9 million in value-based payments! Up 43% from the year prior… https://t.co/KQqvIYUOdJ,4,http://twitter.com
923716073643528192,2017-10-27 01:00:48,Orion Health has developed a new demo app that uses HL7®FHIR® to calculate heart disease risk.… https://t.co/oIzFrH8O0C,3,http://www.hootsuite.com
923682069699428352,2017-10-26 22:45:41,Supporting #privacy will drive new innovations. #populationhealth #healthIT #risk #analytics https://t.co/VBkbB3J0zm https://t.co/e944FhJJbw,1,http://twitter.com
923265560628121600,2017-10-25 19:10:37,Afternoon sessions are well underway with Cleveland Clinic taking the stage! #OHRUG17 https://t.co/jsPM0OCTvl,2,http://twitter.com/download/iphone
923187439975493633,2017-10-25 14:00:12,Kicking off the Rhapsody User Group with a keynote from comedian @donmcmillan! #OHRUG17 https://t.co/HuZPPMBXg0,2,http://twitter.com/download/iphone
922976233738194944,2017-10-25 00:00:56,HIEs have the potential to save Medicare billions of dollars every year. So why aren't they more popular?… https://t.co/aujLaX5voW,8,http://www.hootsuite.com
922919788279513089,2017-10-24 20:16:39,We’re learning about #FHIR for the Rhapsody training sessions at the #OHRUG17! Can’t wait for the full-day conferen… https://t.co/aosObnR5Oq,3,http://twitter.com/download/iphone
922671716127490048,2017-10-24 03:50:54,RT @DairinHines: Clinical and ICT partnership delivering to patient care @DairinHines @TempleStreetHos @OrionHealth  https://t.co/pnBYbO1iPP,6,http://twitter.com
922671578264956928,2017-10-24 03:50:21,RT @dhayas: Orion’s Anthony Marter explaining how data leads to greater insight and ultimately a better outcome for patients https://t.co/S…,3,http://twitter.com
922671488615849984,2017-10-24 03:49:59,"RT @DeallaSmith: Halamka: Decision support, care management key to accelerating precision medicine https://t.co/PYrtx5LNTf via @HealthITNews",4,http://twitter.com
922628827280441345,2017-10-24 01:00:28,"As the volume of health data increases from nearly every avenue, so has the need for open, health-IT ecosystems.… https://t.co/5XccEkBFYA",4,http://www.hootsuite.com
921399407727251457,2017-10-20 15:35:12,RT @susanonsoma: Response to question: what are the best mechanisms for funding high quality PHRs? #DigitalHealth #PHR https://t.co/2lJGvot…,6,http://www.hootsuite.com
921156592350920704,2017-10-19 23:30:20,"Don’t be the silent type. The need for blood is constant, so book an appointment to donate &amp; help save a life. Visi… https://t.co/zE920ohodN",2,http://www.hootsuite.com
921138567601983488,2017-10-19 22:18:43,Our Rhapsody User Group in NOLA is fast approaching! Don't forget to register if you haven't already!… https://t.co/aLwgbhCmdQ,2,http://twitter.com
921077426213437440,2017-10-19 18:15:45,The power of #integration engine prompts a specific question in #OEM &amp; vendor spaces. #HealthIT #interoperability… https://t.co/bBdfw2wmrU,2,http://twitter.com
921031603866030080,2017-10-19 15:13:40,RT @HITECHAnswers: Top #HealthIT posts @OrionHealth @ImpTrax @ostendio @matt_r_fisher @GetWellNetwork https://t.co/s4isQy0r8b,4,http://www.hootsuite.com
920858318658244608,2017-10-19 03:45:06,A new developmental app is making use of patient data to help with CVD risk assessment. https://t.co/IBddA5gtSP https://t.co/Arcdc2G6x4,3,http://www.hootsuite.com
920780267169529856,2017-10-18 22:34:57,Why healthcare organizations should get into #cloudcomputing. #HealthIT #cloud #aws #microsoftazure… https://t.co/HA8FU5VFc3,3,http://twitter.com
920421036939624448,2017-10-17 22:47:30,"#publichealth and #healthcare: Some overlap, but in reality, they’re different worlds. #HealthIT #interoperability… https://t.co/6FRKfhr01H",3,http://twitter.com
920414756619550725,2017-10-17 22:22:33,RT @OrionHealthEMEA: What is GDPR? How will it affect healthcare? What do you need to do to prepare? Find out in our video with @HSJnews ht…,4,http://www.hootsuite.com
920308453872037888,2017-10-17 15:20:08,RT @OrionHealth: Register for our webinar with @eHealthDC about including broader patient datasets for better care delivery https://t.co/MC…,2,http://twitter.com
919973087424036864,2017-10-16 17:07:30,Read @dbennettaz discuss the risk consumer texting apps pose to providers and hospitals via @BeckersHR… https://t.co/R95IKQCEK4,4,http://twitter.com
919739704307744768,2017-10-16 01:40:08,85% of Kiwis are A &amp; O blood types making them the most in-demand blood types. Book an appointment to donate at… https://t.co/ofZ62uSxbc,1,http://www.hootsuite.com
918927460875436032,2017-10-13 19:52:34,RT @OrionHealth: Learn how the Rhapsody Integration Engine can boost your business operations https://t.co/Tt25k7IVqY #DigitalHealth #HIT h…,11,http://twitter.com
918859704704618496,2017-10-13 15:23:19,RT @eHealthDC: Register for @OrionHealth's webinar with us Oct. 31 about patient datasets and care delivery https://t.co/YjobcXrtXU https:/…,4,http://www.hootsuite.com
918594640193896448,2017-10-12 21:50:03,Watch @dbennettaz discuss how #healthcare Is late to the #interoperability game https://t.co/YJLt7T4ph0 #HIT… https://t.co/td0vlvTHMD,1,http://twitter.com
918494222797254657,2017-10-12 15:11:02,RT @OrionHealth: Hey Rhapsody users! Don't forget to register for the Rhapsody User Group conference and training in October! https://t.co/…,3,http://twitter.com
918280876454268928,2017-10-12 01:03:16,The name ‘cloud’ may be something of a misnomer. https://t.co/AjyKl9T62Z,3,http://www.hootsuite.com
918221875984994304,2017-10-11 21:08:49,Register for our webinar with @eHealthDC about including broader patient datasets for better care delivery… https://t.co/Q3vkCLrQs4,2,http://twitter.com
918182839887134720,2017-10-11 18:33:42,Lots of Users Means Lots of Options. #integration #interoperability #HealthIT https://t.co/xHnHGom32v https://t.co/NLsAWOVaS6,1,http://twitter.com
917862349205266432,2017-10-10 21:20:11,One often-overlooked notion is the impact self-driving cars might have on #publichealth &amp; #integratedcare.… https://t.co/3K89mj5h4A,6,http://twitter.com
917768725478232065,2017-10-10 15:08:10,"RT @OrionHealthEMEA: Today we celebrate the achievements of women in science, technology, engineering &amp; maths #AdaLovelaceDay #STEM https:/…",8,http://www.hootsuite.com
917433454723305473,2017-10-09 16:55:55,RT @HITECHAnswers: From# FHIR Profiling to Coping w/ Different Versions by David Hay @OrionHealth #healthit https://t.co/2F6QjIYKMP https:/…,10,http://www.hootsuite.com
916743525709967361,2017-10-07 19:14:23,Do you realize how important a healthcare-focused #integration engine is? #healthIT #interoperability… https://t.co/EcrDh3mz1A,13,http://twitter.com
916429086980939776,2017-10-06 22:24:55,Learn how real-time data can help the #HIT community across the board for #NHITweek https://t.co/zk6vj66LzU… https://t.co/H6f2WL02VT,6,http://twitter.com
916345643689402368,2017-10-06 16:53:20,"RT @HIMSS: ""Technology gave my friend a voice, and possibly saved her life"" https://t.co/EXt0e6OnmG #IHeartHIT #NHITweek",8,http://twitter.com
