Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
920505131002662912,2017-10-18 04:21:40,We’re supporting @thebigissue this Anti-Poverty Week 2017. Buy a Big Issue from your local vendor today… https://t.co/SksabJB6Ix,1,http://twitter.com
919802992915652608,2017-10-16 05:51:37,https://t.co/nwXbRze6v8 named top brand improver among millennials in Aus: @YouGov BrandIndex Word of Mouth rankings https://t.co/z4GfVfGPSi,3,http://sproutsocial.com
918336436650348544,2017-10-12 04:44:03,RT @inesnorman: Built families furniture for @LaunchHousing today as part of @REA_Group induction. Was fun meeting everyone new! 🙌🏻💖 #becau…,1,http://sproutsocial.com
917594793831567360,2017-10-10 03:37:01,"It's #worldhomelessday. Everyone deserves a safe place to sleep  @LaunchHousing,@OrangeSkyAustralia,@ICRC https://t.co/DUMSxZEWD8",0,http://twitter.com
910770026193416197,2017-09-21 07:37:50,"RT @GiTAustralia: Anna Fiofilova, Senior Software Engineer @REA_Group talks about mentoring on the Girls in Tech Australia blog: https://t.…",13,http://twitter.com
905954571284971521,2017-09-08 00:42:56,"Today we launched Invest, a new experience helping #commercialproperty investors find the right place for them… https://t.co/NWo5P3pRCH",4,http://twitter.com
901017545175580672,2017-08-25 09:44:57,RT @gbeattie: .@StartupVic judging tonight's .@hackday_rea  .@REA_Group https://t.co/NruDEB745q,8,http://twitter.com/download/iphone
899854666682425344,2017-08-22 04:44:05,RT @RossAndJohn: A @REA_Group survey has found that three percent of people have seen a neighbour nude. Surely not!?! Have you?,3,http://twitter.com
899854577767374848,2017-08-22 04:43:44,Today we released an industry-first guide to protect Australia's real estate industry from #cybercrime. Read more at https://t.co/AvHDSjGpE8,15,http://twitter.com
899812739849134080,2017-08-22 01:57:29,RT @JonHyne: We just made 600+ sandwiches for hungry school kids that don't have lunch. Thanks to team @EatUpAustralia for visiting @REA_Gr…,2,http://twitter.com/download/iphone
899800143649804288,2017-08-22 01:07:26,RT @realestate_au: Your neighbour's bins - no go or fair game? We sent Alan Fletcher out to investigate... https://t.co/QAJVNtsIoS https://…,3,http://sproutsocial.com
899768088974905344,2017-08-21 23:00:03,REA Group today appoints Val Brown as Executive General Manager - Consumer Experience. Full media release at… https://t.co/99vN7xLGsG,2,http://twitter.com
896206902668935168,2017-08-12 03:09:10,RT @DevOpsGirls: @REA_Group 's chief inventor @nxdnz and coach @CaseyLeask at #devopsgirls today https://t.co/EWjp0FkS6F,5,http://twitter.com/download/iphone
895931787444076544,2017-08-11 08:55:58,"Our very own Val Brown, EGM - Consumer Experience, sitting on the panel at the #GiT Amplify Event. #womenintech… https://t.co/anndZFI48z",2,http://twitter.com/download/iphone
895925841804132353,2017-08-11 08:32:20,"RT @nxdnz: Cash, Culture, Comparison, &amp; Forgive. Wise words from super-founder Renece Brewster of @visualdomain @GiTAustralia #amplifypitch…",1,http://twitter.com/download/iphone
895920356698890240,2017-08-11 08:10:33,RT @nxdnz: Kicking off @GiTAustralia Pitch Night with some crazy VR fun from @REA_Group #REALABS team. Thanks @auspost for a great venue! h…,2,http://twitter.com/download/iphone
894478430535688192,2017-08-07 08:40:51,RT @cagey135: Inspiring ladies chatting @REA_Group this afternoon about their work for women in tech #girlapalooza #STEM https://t.co/VN0pt…,9,http://sproutsocial.com
894359919133982720,2017-08-07 00:49:55,"RT @nxdnz: Our @REA_Group company purpose, changing the way people experience property, applies to all Australians - including our homeless…",2,http://twitter.com
894357724363767809,2017-08-07 00:41:12,REA Group Homelessness Week Panel Discussion https://t.co/OEgDfxsPmL,17,https://periscope.tv
894340503025713155,2017-08-06 23:32:46,Join us at 10:30am today for a live stream of our second annual Homelessness Week Panel Discussion #HW2017… https://t.co/JEb0labqW8,10,http://sproutsocial.com
894326562262274049,2017-08-06 22:37:22,"RT @LaunchHousing: At 2011 census, 105,327 people were classified as being #homeless. Stats from 2016 census released in Oct 2017 #HW2017 #…",13,http://sproutsocial.com
