Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925592789429010432,2017-11-01 05:18:12,"RT @AshLondonLIVE: THIS. IS. MASSIVE!

WIN a trip to the @mtvema in LONDON with YOUR BESTIE! ✈️🇬🇧@MTVAUSTRALIA

REGISTER NOW TO WIN: https:…",26,http://twitter.com
925199139075325952,2017-10-31 03:13:58,RT @FOXNRL: Matty Johns explains why #RLWC2017 heavyweights should be afraid of this Cup minnow https://t.co/TELoYHXaIO by @SimonBrunsdon @…,4,https://about.twitter.com/products/tweetdeck
924851279133753344,2017-10-30 04:11:42,"RT @Mumbrellanews: Hit 92.9 reveals Heidi, Xavier &amp; Ryan as new Perth breakfast show https://t.co/qDn5JQer1S https://t.co/ej0k1mEVyW",1,https://about.twitter.com/products/tweetdeck
924792281911066624,2017-10-30 00:17:16,"Introducing @hit929's breakfast show for 2018! 
Heidi, Xavier &amp; Ryan! @RealHeidi @XaviEllis18 @RyanJon https://t.co/jOyy2BYAO1",5,https://about.twitter.com/products/tweetdeck
923859022968528896,2017-10-27 10:28:50,RT @MediaweekAUS: .@SCA’s @HitNetworkAUS goes nonstop: New mid-dawn early breakfast in 2018 https://t.co/nLOAbRRaQg https://t.co/2CXx3avdpd,1,http://twitter.com/download/iphone
923489161243324416,2017-10-26 09:59:08,"RT @radiotodayanz: Earlier starts for @AshLondonLIVE and @CollectiveNoun_, as well as some new talent for the first hour of the day.

https…",1,http://twitter.com/download/iphone
923416325979906048,2017-10-26 05:09:43,"RT @TripleMSydney: If @JimmyBarnes can do it any bloke can
Triple M @MovemberAUS @GusWorland are having a night for bloke talk. Tickets htt…",7,https://about.twitter.com/products/tweetdeck
923408614982795264,2017-10-26 04:39:04,"RT @MediaweekAUS: .@SCA brands deliver record digital audiences, dominating radio landscape https://t.co/gVPcZSl3dR https://t.co/ciwzjSE0eN",3,http://twitter.com/download/iphone
923408240137854976,2017-10-26 04:37:35,RT @ash_london: BIG NEWS! From January 2018 our show @AshLondonLIVE moves into a brand new timeslot! You can hear us from 6:30pm weeknights…,12,http://twitter.com/download/iphone
923320542219796481,2017-10-25 22:49:06,We are super proud &amp; excited to announce the @HitNetworkAUS line-up for 2018! https://t.co/vNII7mspKD https://t.co/YBBoP4IAgn,1,https://about.twitter.com/products/tweetdeck
922993364936437761,2017-10-25 01:09:01,RT @shancake_: Huge month for @SCA digital! Bigger than other commercial radio competitors combined and other big digital pubs https://t.co…,1,https://about.twitter.com/products/tweetdeck
922707374682423297,2017-10-24 06:12:35,"SCA brands deliver record digital audiences, dominating the radio landscape. Read more here: https://t.co/93NRKxADiX https://t.co/X6nERZTnl2",0,http://twitter.com
921283698380619776,2017-10-20 07:55:24,#RnBFridaysLive Melbourne on NOW! 💃🏽💃🏽💃🏽 @HitNetworkAUS @FoxFM https://t.co/nNCHmPi3eb,0,http://twitter.com/download/iphone
921283491160932352,2017-10-20 07:54:35,RT @HitNetworkAUS: Look at these icons BRINGING IT! @EnVogueMusic #RnBFridaysLive https://t.co/lPY53Egsf7,8,http://twitter.com/download/iphone
921239677042016256,2017-10-20 05:00:29,“It’s about authencity. You can’t force yourself to make [digital] content that isn’t real.” - @thejenspot from… https://t.co/6qftHNxN05,2,http://twitter.com/download/iphone
921237956316119040,2017-10-20 04:53:39,“Digital isn’t there to play a supporting role. They are two separate things.” - @christianhull on digital content… https://t.co/NlVpvJdn6Z,1,http://twitter.com/download/iphone
921236585642729472,2017-10-20 04:48:12,"“[Social] is an extension of what I do on air. If I do a rave, I’ll make a video and an article.” - @tanhennessy on… https://t.co/FP2XXph1aX",1,http://twitter.com/download/iphone
921168913039114240,2017-10-20 00:19:18,“Being open about your strengths and weaknesses is really important” - @andy_lee #ProdCon,0,http://twitter.com/download/iphone
921168592686612481,2017-10-20 00:18:01,"“Anything is possible with our show, 
We like the risks on (hamishandandy). - @andy_lee",0,http://twitter.com/download/iphone
921166661415088128,2017-10-20 00:10:21,“Our producing team know our tone of the brand. Producers represent the show just like us (@hamishandandy) on-air”.… https://t.co/L65QuOTdf0,1,http://twitter.com/download/iphone
921163009585831936,2017-10-19 23:55:50,.@andy_lee hits #ProdCon in Melbourne. 📱🎙📻 https://t.co/s7z3xRqhr7,1,http://twitter.com/download/iphone
921156381666873344,2017-10-19 23:29:30,RT @tanhennessy: Back to Melbourne for #prodcon ✌🏼✈️,1,http://twitter.com/download/iphone
921152831175847936,2017-10-19 23:15:23,"“Thick skin, a genuine love of radio, looking for things you can bring to the show” - @EmRusciano on what makes a g… https://t.co/2V8C1hlCFR",0,http://twitter.com/download/iphone
921151297465675776,2017-10-19 23:09:18,“How brilliant to work with talent that are demanding.. then you can work it out together.” - Gemma Fordham on working with talent #ProdCon,0,http://twitter.com/download/iphone
921150945760763904,2017-10-19 23:07:54,“We’ve got to do this hard and right. We only have one chance.” - @EmRusciano on working with the @EmHarleyShow tea… https://t.co/DfS9QdOuZT,0,http://twitter.com/download/iphone
