Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
918237190936707072,2017-10-11 22:09:40,RT @barossaherald: International cycling champion Peter Sagan has confirmed he will be part of the 2018 Santos #TDU which takes in... https…,1,http://twitter.com
917222882551357440,2017-10-09 02:59:11,"As a nation that is blessed with an abundance of gas, surely we can do better #AFREnergy17",0,http://twitter.com
917222800191975424,2017-10-09 02:58:51,"Failure to encourage gas development…has meant higher prices, concerns over supply, a less reliable and secure system. #AFRenergy17",2,http://twitter.com
917222735897534464,2017-10-09 02:58:36,We should create a strategic gas reserve to further improve reliability of supply #AFREnergy17,0,http://twitter.com
917222658525216770,2017-10-09 02:58:17,#AFREnergy17 https://t.co/oWbrbtcvkX,1,http://twitter.com
917222596080369666,2017-10-09 02:58:02,We need to create an energy market that supports the use of despatchable natural gas – it is much cleaner than coal. #AFREnergy17,0,http://twitter.com
917222510793342976,2017-10-09 02:57:42,There needs to be a bipartisan plan for how we transition the energy sector. #AFRenergy17,0,http://twitter.com
917222368753336320,2017-10-09 02:57:08,"Gas has to be part of the solution...only generation source that can provide reliable, affordable supply &amp; reduce emissions #AFREnergy17",0,http://twitter.com
917221831341334529,2017-10-09 02:55:00,As a country we cannot expect the Queensland LNG projects to continually bail out the Southern States #AFREnergy17,2,http://twitter.com
917221712835502080,2017-10-09 02:54:32,#AFRenergy17 https://t.co/cn4topGqjD,0,http://twitter.com
917221644619341824,2017-10-09 02:54:15,I applaud the Fed Gov for working w/ Qld LNG projects &amp; finding an industry solution to the current domestic gas supply issues #AFRenergy17,0,http://twitter.com
917221422941970432,2017-10-09 02:53:23,"VIC imposed a ban on all onshore gas exploration, NSW restricted exploration &amp; production &amp; NT imposed a fracking moratorium #AFRenergy17",0,http://twitter.com
917221313181212672,2017-10-09 02:52:56,The knock-on effect is that governments get spooked too &amp; either stop or stall gas supply development #AFRenergy17,0,http://twitter.com
917221250728001536,2017-10-09 02:52:41,Activism has stopped making gas available to Australians… by scaring the community with misleading or false statements. #AFRenergy17,1,http://twitter.com
917221171732529152,2017-10-09 02:52:23,"AEMO’s latest analysis calls for more flexible, despatchable generation such as gas to reliably meet Aust’s electricity demand #AFREnergy17",0,http://twitter.com
917220784224976896,2017-10-09 02:50:50,Coal-fired power plants have been shut down with short notice &amp; gas-fired power generation has increased #AFRenergy17,0,http://twitter.com
917220691564363778,2017-10-09 02:50:28,"Without the LNG projects, the gas exported by Queensland LNG projects would still be in the ground #AFRenergy17",1,http://twitter.com
917220373279662080,2017-10-09 02:49:12,#AFRenergy17 https://t.co/8pCibhrRZB,0,http://twitter.com
917220247165210624,2017-10-09 02:48:42,"LNG companies invested $60bil in developing projects that created 10,000s of jobs &amp; generate $750mil of export rev every month #AFRenergy17",3,http://twitter.com
917219682444120064,2017-10-09 02:46:28,@SantosLtd Executive VP Angus Jaffray is about to address #AFREnergy17. Follow for live tweets!,0,http://twitter.com
916158907843620864,2017-10-06 04:31:19,RT @Informpeter: Thanks to KMSA for the invite to the Santos community update. Very informative session. https://t.co/uIZRbhCH9a,1,http://twitter.com
910669376210087936,2017-09-21 00:57:53,"RT @TKoutsantonisMP: @PhillipCoorey @alyxei1 @FinancialReview .@TonyAbbottMHR is right, there are other ways of making gas cheaper without…",1,http://twitter.com
910330498802528258,2017-09-20 02:31:18,Our CEO Kevin Gallagher tells @FinancialReview demand for #Narrabri #Gas Project never been greater https://t.co/9JkX4OsMns #nswpol #ausbiz,2,http://twitter.com
902013245862449152,2017-08-28 03:41:31,Watch Santos Managing Director &amp; CEO Kevin Gallagher speaking to @peterswitzer about our half year results https://t.co/8nYFDkJSjF,1,http://twitter.com
897970636919685120,2017-08-16 23:57:37,RT @DeloitteER: NT a centre of excellence for onshore #Lng operations #SEAAOC @SantosGLNG https://t.co/1dWtVW39R0,1,http://twitter.com
897970612727042048,2017-08-16 23:57:32,RT @DeloitteER: Gallagher innovation had delivered significant improvements #SEAAOC @SantosGLNG https://t.co/07VMxdiXMx,2,http://twitter.com
897970589100408832,2017-08-16 23:57:26,RT @DeloitteER: NT's best days are ahead #LNG #SEAAOC @SantosGLNG https://t.co/27zSQe4Fgo,5,http://twitter.com
897970562974097408,2017-08-16 23:57:20,"RT @DeloitteER: 100,000 aus jobs created by #Lng in Australia says Gallagher @SantosGLNG #SEAAOC",1,http://twitter.com
897645947743633408,2017-08-16 02:27:26,Santos is committed to helping build a better future for the NT by making sure natural gas is developed safety and… https://t.co/LLJS7Gykfm,0,http://twitter.com
897645124007542784,2017-08-16 02:24:09,"By developing natural gas, the NT can create a low cost energy advantage, which will attract manufacturing from other states. #SEAAOC",3,http://twitter.com
897644968486912001,2017-08-16 02:23:32,"Gas development ""could provide a cumulative $22.4 billion boost to the NT economy over 20 years &amp; an additional 6,300 jobs by 2040"" #SEAAOC",4,http://twitter.com
897644531146932225,2017-08-16 02:21:48,"The best cure for high prices is new gas development and for this to happen, our industry needs policy certainty and support. #SEAOCC",0,http://twitter.com
897644212799250432,2017-08-16 02:20:32,Santos is working with the Turnbull Government and our partners to bring energy security to Australian households and businesses. #SEAOCC,0,http://twitter.com
897643907512532992,2017-08-16 02:19:19,Santos wants to be part of the solution for Australians because we are Australian! #SEAOCC,0,http://twitter.com
897643660090540038,2017-08-16 02:18:20,"High gas prices today are in part due to basic supply &amp; demand economics, when you restrict supply...prices go up.  #SEAAOC",1,http://twitter.com
897643186369122308,2017-08-16 02:16:27,Santos can proudly claim the title of Australia’s lowest cost onshore developer #SEAAOC,0,http://twitter.com
897642919032573952,2017-08-16 02:15:23,"It costs more to transport gas 1000kms by pipeline from Wallambilla to Sydney, than to ship gas approx 8500km from Gladstone to Shanghai!",0,http://twitter.com
897642141014528000,2017-08-16 02:12:18,The challenge we face is that the cheap gas has been developed and today it simply costs more to get gas out of the ground. #SEAAOC,0,http://twitter.com
897641677317447681,2017-08-16 02:10:27,Natural Gas also has a critical role to play in providing reliable &amp; affordable energy to Australian homes &amp; business #SEAAOC,0,http://twitter.com
897641030706659328,2017-08-16 02:07:53,"As a key supplier of natural gas to Asia, Australia has played a huge role in helping rapidly growing economies meet their energy demand.",0,http://twitter.com
897640713688682499,2017-08-16 02:06:38,There is an estimated half-trillion dollars in new gas investment up for grabs globally as Asia grows #SEAAOC,1,http://twitter.com
897640219918336002,2017-08-16 02:04:40,"By switching from coal to gas and renewables in power generation, it (USA) has cut its energy-related carbon emissions by 21% since 2005.",0,http://twitter.com
897639314238169089,2017-08-16 02:01:04,Governments in developing countries are seeing the benefits of natural gas &amp; are working to bring more of it into their energy mix #SEAAOC,0,http://twitter.com
897638624153546752,2017-08-16 01:58:19,Growing gas demand works hand-in-hand with growing renewables and our transition to a clean economy. #SEAAOC,0,http://twitter.com
897637907053334528,2017-08-16 01:55:29,Natural gas is an important resource for meeting the dual challenge of growing energy demand and reducing emissions #SEAAOC,0,http://twitter.com
897636830732070913,2017-08-16 01:51:12,Northern Territory is core to our past and critical to our future...there couldn’t be a more prospective region in Australia #SEAAOC,0,http://twitter.com
897635571111272448,2017-08-16 01:46:12,The NT is in Santos’ DNA #SEAAOC https://t.co/EvOI2gtnkT,0,http://twitter.com
897634701279735809,2017-08-16 01:42:44,Santos CEO Kevin Gallagher to address #SEAAOC today! Follow for live tweets! https://t.co/Vw0s6YTUMH,0,http://twitter.com
897612958641029120,2017-08-16 00:16:20,"RT @minresources: Kevin Gallagher, CEO, @SantosLtd will be speaking at the #SEAAOC - View agenda: https://t.co/5jpSy6KJPH https://t.co/iqEj…",2,http://twitter.com
897242542973927424,2017-08-14 23:44:26,RT @APPEALtd: Santos-ENGIE South Australian gas supply deal is latest demonstration of gas industry commitment to domestic market https://t…,2,http://twitter.com
896935466393522176,2017-08-14 03:24:14,RT @FinancialReview: Santos increases domestic gas deliveries with Pelican Point deal. https://t.co/8C7TFvOVsD,6,http://twitter.com
892947958026469376,2017-08-03 03:19:18,I am hopeful that the long term policy framework for gas will provide certainty &amp; incentive for the development of gas resources @ceda_news,0,http://twitter.com/download/iphone
892947747933831168,2017-08-03 03:18:27,The capacity for gas to provide reliable base load power alongside renewables is yet to be fully realised. @ceda_news #CEDA,0,http://twitter.com/download/iphone
892947615242797056,2017-08-03 03:17:56,Gas should always have an important role to play in the Australian energy mix. @ceda_news #CEDA,0,http://twitter.com/download/iphone
892947514780860416,2017-08-03 03:17:32,The development &amp; supply of new sources of gas &amp; dealing with the issues around the transport of gas will create a competitive gas market.,0,http://twitter.com/download/iphone
892947338632716288,2017-08-03 03:16:50,We would like to see open access to a reasonably priced and effective pipeline network @ceda_news #CEDA,0,http://twitter.com/download/iphone
892947190368186368,2017-08-03 03:16:14,The cost of transporting gas on the East Coast is a significant component of high priced gas. @ceda_news #CEDA,0,http://twitter.com/download/iphone
892946994401992704,2017-08-03 03:15:28,Northern Territory contains highly prospective shale gas resources that could be a game changer for East Coast gas supply. @ceda_news #CEDA,0,http://twitter.com/download/iphone
892946786624487424,2017-08-03 03:14:38,The Narrabri Gas Project is an important opportunity to supply a substantial share of New South Wales gas needs. @ceda_news #CEDA,2,http://twitter.com/download/iphone
892946681406169089,2017-08-03 03:14:13,Currently 95% of New South Wales’ gas supply is imported from other states. @ceda_news,0,http://twitter.com/download/iphone
892946550082621440,2017-08-03 03:13:42,Santos welcomes the initiatives by the Federal Government to encourage the removal of State based restrictions. @ceda_news #CEDA,0,http://twitter.com/download/iphone
892946481644150784,2017-08-03 03:13:26,Development of new sources of gas supply will lead to a more competitive market &amp; should ultimately lead to lower gas &amp; electricity prices,1,http://twitter.com/download/iphone
892945806331854848,2017-08-03 03:10:45,Domestic gas reservation is a legitimate policy objective to secure supply for domestic use in times of shortage @ceda_news #CEDA,0,http://twitter.com/download/iphone
892945739059404801,2017-08-03 03:10:28,The ADGSM is clearly not a long term solution to high domestic pricing or a substitute for a properly developed national gas plan @ceda_news,0,http://twitter.com/download/iphone
892945224271486976,2017-08-03 03:08:26,As part of its East Coast Gas Inquiry the ACCC has found that there was sufficient gas in the East Coast market to satisfy domestic demand,0,http://twitter.com/download/iphone
892944059760652288,2017-08-03 03:03:48,"More than 50% of Australian homes rely on natural gas for heating, cooking or hot water. @ceda_news #CEDA",2,http://twitter.com/download/iphone
892943912880361472,2017-08-03 03:03:13,LNG production is the largest manufacturer on the East Coast and is a major contributor to the Queensland economy. #CEDA @ceda_news,0,http://twitter.com/download/iphone
892943397194915840,2017-08-03 03:01:10,I welcome the opportunity to share Santos’ perspective on the role that natural gas can and should play in the energy mix #CEDA @ceda_news,0,http://twitter.com/download/iphone
892934420776181760,2017-08-03 02:25:30,Santos CEO Kevin Gallagher will today address CEDA’s Energy Series: Meeting Australia's energy needs. Follow for li… https://t.co/1FoMXnAQqf,1,http://twitter.com/download/iphone
889741609356611584,2017-07-25 06:58:24,"RT @A_Sinodinos: Visiting Curtis Island. Three operators - GLNG, QGC, APLNG - have invested $30 billion in plant facilities on the Island n…",2,http://twitter.com
889664068310581249,2017-07-25 01:50:17,"RT @AdelaidePkf: Partner Antoinette Tatarelli with Santos CEO Kevin Gallagher at last weeks event, An Evening With Hon. Christopher Pyne MP…",1,http://twitter.com
887823609489637376,2017-07-19 23:56:58,RT @SantosGLNG: Santos ambassador &amp; former Wallaby @TimHoran12 is in Gladstone talking to high school students about health &amp; wellbeing @Bo…,1,http://twitter.com
887823539792879617,2017-07-19 23:56:41,"RT @SantosGLNG: Wallaby champ @TimHoran12 joined Curtis the Turtle,@SantosGLNG &amp; GPC to promote @Botanic2Bridge 2017. Register here https:/…",1,http://twitter.com
883151012436918272,2017-07-07 02:29:44,RT @SaS_StephAnne: Come and talk with @SantosLtd and @originenergy at the @APPEALtd stand at the Alice Springs Show #Gas4NT @Gas4NT https:/…,1,http://twitter.com
882445523642232832,2017-07-05 03:46:22,"RT @SantosGLNG: Thanks @QAIHC_QLD, @prestontingha, Les Collins, Dean Parkin &amp; Steve Renouf for joining us his morning to celebrate #NAIDOC…",1,http://twitter.com
882371897081475073,2017-07-04 22:53:48,RT @tourdownunder: Eagerly awaiting the #TDU 2018 race routes (with breakfast!) @SantosLtd https://t.co/MY8DHRNWs6,4,http://twitter.com
881766872156262400,2017-07-03 06:49:39,RT @EventsSA: Exciting news for the @tourdownunder: @SantosLtd has re-signed as naming rights partner for another two years 🚴🚴‍♀️🚴 https://…,5,http://twitter.com
881766828761993216,2017-07-03 06:49:29,RT @tourismsa: Great news this morning - @SantosLtd will continue its support for the @tourdownunder for another 2 years: https://t.co/Fku5…,6,http://twitter.com
881766802371493888,2017-07-03 06:49:22,RT @tourdownunder: Great news for the #TDU today - @SantosLtd to continue their support for another two years: https://t.co/AVcN8vd63G,6,http://twitter.com
881766556316741633,2017-07-03 06:48:24,The 2017 Santos Tour Down Under injected $57m into SA's economy &amp; created 683 jobs #TDU #PoweringSA #STDU #SAPOL https://t.co/u8nHxa39UU,2,http://twitter.com
881766124357959681,2017-07-03 06:46:41,Santos #naturalgas has powered South Australian investment for over 50 years https://t.co/UVtNuDnzO4 #TDU… https://t.co/PQfudfW61H,1,http://twitter.com
881765575671693312,2017-07-03 06:44:30,"In January, join over a million people to experience the power of the Santos Tour Down Under #TDU #STDU… https://t.co/DdHEZ4gkve",0,http://twitter.com
881765139917135872,2017-07-03 06:42:46,Santos is excited to extend its long-term partnership w the Santos Tour Down Under for another two years #poweringSA https://t.co/DuYCcHpLAX,3,http://twitter.com
877708810906763264,2017-06-22 02:04:22,RT @_ExchangeSA: At #ExchangeSA 2017 @SantosLtd $STO CFO Anthony Neilson takes to the stage | Click to view the highlights video: https://t…,4,http://twitter.com
875198376547033092,2017-06-15 03:48:48,RT @naturalgasfacts: Managing Director &amp; CEO of @SantosLtd Kevin Gallagher discussing the new Australian Domestic Gas Security Mechanism (A…,4,http://twitter.com/download/iphone
875197413396434944,2017-06-15 03:44:58,We believe Santos is part of the solution to building a strong domestic gas market.  #AmChamNSW #ausbiz #auspol,2,http://twitter.com/download/iphone
875197319091601409,2017-06-15 03:44:35,On joining Santos I stated that it was imperative that we worked to become the lowest cost developer of onshore gas resources in Aus #ausbiz,0,http://twitter.com/download/iphone
875197054837899265,2017-06-15 03:43:32,ADGSM will unfairly target Santos as part of the GLNG project impacting an Aus company that supports many Aus businesses #AmChamNSW #auspol,1,http://twitter.com/download/iphone
875195538290884608,2017-06-15 03:37:31,Santos CEO Kevin Gallagher is addressing @AmChamAU #AmChamNSW #ausbiz https://t.co/caJoaRZ7Er,2,http://twitter.com/download/iphone
875194312975187973,2017-06-15 03:32:39,We need to open up our pipeline networks to allow the flexibility for gas to flow where it is most needed.  #AmChamNSW #ausbiz,1,http://twitter.com/download/iphone
875192854435422209,2017-06-15 03:26:51,Santos CEO Kevin Gallagher is addressing @AmChamAU event to discuss reliable and affordable energy for Australia… https://t.co/iy0cp6tboU,5,http://twitter.com/download/iphone
875191567576776705,2017-06-15 03:21:44,"Australia can’t afford to say no to a clean, reliable and cost-effective source of power. #AmChamNSW #ausbiz",3,http://twitter.com/download/iphone
875191476761673729,2017-06-15 03:21:22,"More than 50% of Australian homes rely on natural gas for heating, cooking or hot water. #AmChamNSW #ausbiz",3,http://twitter.com/download/iphone
875191118282899457,2017-06-15 03:19:57,Gas is the cleanest and most reliable fuel to back up intermittent renewable power. #AmChamNSW #ausbiz,2,http://twitter.com/download/iphone
875191023860801536,2017-06-15 03:19:35,Natural gas can play a significant role in Australia’s move to a clean economy.  #AmChamNSW #ausbiz,3,http://twitter.com/download/iphone
875190953065054208,2017-06-15 03:19:18,We support the push by the Finkel Report for a national strategic energy plan to ensure the reliable supply of electricity. #AmChamNSW,2,http://twitter.com/download/iphone
875190793387954178,2017-06-15 03:18:40,Today’s situation is a national issue that requires Federal and State Governments to develop a National Energy Plan. #AmChamNSW #ausbiz,1,http://twitter.com/download/iphone
875190446678355973,2017-06-15 03:17:17,"Over $200 billion has been invested in a thriving LNG export sector, while investment in domestic gas projects has stalled. #AmChamNSW",2,http://twitter.com/download/iphone
875190267132821505,2017-06-15 03:16:34,Instead of a thriving domestic gas market…we are now talking about a so-called “crisis”. #AmChamNSW #ausbiz,1,http://twitter.com/download/iphone
875190064384417797,2017-06-15 03:15:46,Gas is Australia’s third largest energy resource after coal and uranium. #AmChamNSW #ausbiz,1,http://twitter.com/download/iphone
875189986861109248,2017-06-15 03:15:27,For the last 50 years we have witnessed the extraordinary growth in our natural resources – particularly gas. #AmChamNSW #ausbiz,1,http://twitter.com/download/iphone
875174116415885312,2017-06-15 02:12:23,Follow @SantosLtd for live tweets as CEO Kevin Gallagher addresses securing reliable &amp; affordable energy for Australians at @AmChamAU,0,http://twitter.com/download/iphone
875173960500953088,2017-06-15 02:11:46,Santos CEO Kevin Gallagher will be addressing the @AmChamAU lunch in today Sydney #ausbiz #amchamnsw,0,http://twitter.com/download/iphone
872701155217858561,2017-06-08 06:25:44,RT @_ExchangeSA: #ExchangeSA welcomes South Australia's biggest company @SantosLtd $STO CFO Anthony Neilson to share the oil &amp; gas producer…,1,http://twitter.com
870408049663459328,2017-06-01 22:33:45,"RT @PAFC: Presentations of the Aboriginal Power Cup, proudly supported by @SantosLtd #weareportadelaide https://t.co/4QACB3JMvA",3,http://twitter.com
870178481799184384,2017-06-01 07:21:31,Congratulations to Christies Beach High School for winning the Best Boys Football team! #AboriginalPowerCup @PAFC… https://t.co/5eZ1rAtIxG,1,http://twitter.com
870176417954148352,2017-06-01 07:13:19,"Congratulations to our #AboriginalPowerCup #NaturalGas Challenge winners, Isaiah and Ethann who’ve won vouchers for… https://t.co/ctrJVM7D92",0,http://twitter.com
870175374843432960,2017-06-01 07:09:11,Che Cockatoo-Collins speaks on Santos' commitment &amp; respect for Aboriginal people &amp; culture during reconciliation w… https://t.co/S2WJPUarFD,2,http://twitter.com
