Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
923150940802228225,2017-10-25 11:35:10,"Congrats SCG finalists, runners up - &amp; winners of the Community program award for D&amp;I @ the @SCCA_Advocacy 2017… https://t.co/CL71EyniDh",0,http://twitter.com/download/iphone
923013942732996608,2017-10-25 02:30:47,CEO Peter Allen tells BofAML Aus RE conference it's all about embracing the change our industry is facing - and the… https://t.co/FORyyxm0XN,0,http://twitter.com
922544939962994688,2017-10-23 19:27:08,10 years on and we're proud sponsors of @WLeague. 2017/18 season kicking off this Friday - You've Gotta Have a Team! https://t.co/8nAR80EAn5,0,http://twitter.com/download/iphone
904572589850279936,2017-09-04 05:11:26,Our brand experience teams are in the running ! https://t.co/0CmkW0Q80V,0,http://twitter.com/download/iphone
900906803667410944,2017-08-25 02:24:54,@ScentreGroup team w Gold Coast City Council at greenfield Westfield Coomera construction site… https://t.co/4gE3paPaoQ,0,http://twitter.com/download/iphone
900902560462065668,2017-08-25 02:08:03,RT @SkyBusiness: .@ScentreGroup CEO Peter Allen says sales growth for Scentre Group retailers has spurred half-year profit growth. https://…,1,http://twitter.com/download/iphone
900504278397104128,2017-08-23 23:45:25,Our half-year results are out today – FFO of $638m and on track for FY FFO growth of 4.25%  https://t.co/1tUPQRi1jy,1,http://twitter.com
877709092122378240,2017-06-22 02:05:29,And it's open!! Our CEO Peter Allen has cut the ribbon at Westfield Chermside with help from exec chefs! https://t.co/P01N3N6PWl,1,http://twitter.com/download/iphone
877702801895211008,2017-06-22 01:40:29,Westfield Chermside $355m redevelopment opening now with a Welcome to Country and traditional smoking ceremony https://t.co/2Hnjbq6UBB,1,http://twitter.com/download/iphone
862850832647176193,2017-05-12 02:04:04,One of our Diversity &amp; Inclusion pillars https://t.co/ers9TsXxJk,0,http://twitter.com/download/iphone
858635935834963968,2017-04-30 10:55:34,"RT @30pctAustralia: .@ScentreGroup 's Brian Schwartz was one of  the directors who talked diversity, culture &amp; quotas in our new report: ht…",11,http://twitter.com/download/iphone
849817043851370496,2017-04-06 02:52:26,And Westfield Chermside's new fashion mall is open! https://t.co/lekZVZO2v9,1,http://twitter.com/download/iphone
849755322176512001,2017-04-05 22:47:11,News from our AGM yesterday - watch the archived webcast here: https://t.co/wxammcRk0o https://t.co/IzO1mCAsC3,0,http://twitter.com/download/iphone
847388536240087042,2017-03-30 10:02:25,Our Sustainability Report 2016 is out today! https://t.co/ZptcTkSjOh,0,http://twitter.com/download/iphone
834540626850967553,2017-02-22 23:09:25,We've announced a 3-store deal with David Jones in Perth https://t.co/vCWru8feY8,1,http://twitter.com/download/iphone
833792024830636032,2017-02-20 21:34:44,Our full year results are out https://t.co/h1SHet9ciR,0,http://twitter.com
799111129905512448,2016-11-17 04:45:14,New Westfield North Lakes open for business! https://t.co/qgKZBXWSK7,1,http://twitter.com/download/iphone
799078356608106496,2016-11-17 02:35:01,Amazing day at Westfield Warringah Mall today! https://t.co/UvdGjdcJlz,0,http://twitter.com/download/iphone
799016186671312896,2016-11-16 22:27:58,Another huge day for Scentre Group with major openings at Warringah https://t.co/DhL7qHn8wL &amp; North Lakes https://t.co/Qa1XAMvQP4,1,http://twitter.com/download/iphone
798599576546484224,2016-11-15 18:52:30,Healthy haul for Scentre malls https://t.co/pLiGNIs2f7,0,http://twitter.com/download/iphone
798598579929526273,2016-11-15 18:48:33,Scentre opens more new shopping at Warringah and North Lakes https://t.co/5S7MTzvrlt via @FinancialReview,1,http://twitter.com/download/iphone
793947720520081408,2016-11-02 22:47:42,Our Q3 results out this morning – continued strong operational performance https://t.co/YSn1Aj67Cv,0,http://twitter.com
792911305837383680,2016-10-31 02:09:21,"Westfield W-League season 9 launch w CEO Peter Allen, David Gallop, Moya Dodd &amp; season star players https://t.co/TYPuXbNek7",0,http://twitter.com/download/iphone
