Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
921973644212834304,2017-10-22 05:37:00,Okehampton team saving the day with yet another marine rescue! Job well done team. #savingtheday #searescue… https://t.co/4vMAi3ryLb,0,http://twitter.com
920498766263791617,2017-10-18 03:56:22,"Thrilled to announce
that today Tassal has officially become the ‘Protein of
Choice’ to the Hobart Hurricanes.… https://t.co/X4tYPdAsya",2,http://twitter.com
918240684506624005,2017-10-11 22:23:33,Tassal Wildlife Manager Andrew Hunter helping to save worlds giant lobster!  Full story here… https://t.co/U4icWwEDGW,7,http://twitter.com
870213318341832704,2017-06-01 09:39:57,"Tassal's Linda Sams delivers global key note #acsf2017 Canada, on growing resilient salmon industry #research… https://t.co/wuBonW1reH",3,http://twitter.com
846147450859511808,2017-03-26 23:50:47,@larryschles With our lease expiring &amp; a range of changing circumstances with location inc parking we’ve decided not to renew Kew Shop lease,0,http://twitter.com
834570843518693377,2017-02-23 01:09:29,@Funnygirl2911 Quality is very important to us &amp; we take feedback from our customers very seriously. Pls Call 1800620685 to discuss further,0,http://twitter.com
831008475824082944,2017-02-13 05:13:54,"In Hobart showcasing Australia’s diverse Seafood Industry &amp; the exciting job opportunities in wild-catch, aquacultu… https://t.co/7PA8nHslF5",2,http://twitter.com
831008010952593408,2017-02-13 05:12:03,"The Seafood Industry Discovery Tour over the weekend in Hobart at the #MystateAustralianWoodenBoatFestival, showcas… https://t.co/Q70g3M0yJ8",0,http://twitter.com
818585589834334208,2017-01-09 22:29:47,"@thefrankreport Quality is very important to us &amp; we take feedback from our customers very seriously, please give us a call on 1800 620 685.",0,http://twitter.com
803748073075720192,2016-11-29 23:50:48,Linda Sams presenting at United Nations #SDGA16 Sustainable Development Goals Life Under Water #climatechange… https://t.co/LFj9ns6K08,1,http://twitter.com
803722163874209792,2016-11-29 22:07:50,RT @SequeiraVanessa: @TassalSalmon tackling their impact on climate change =renewables and reduction in transport and logistics #SDGA16 htt…,1,http://twitter.com
795842137866715136,2016-11-08 04:15:26,Today @australian reporting on the Tasmanian Salmon Industry https://t.co/96hUSlf2DW,1,http://twitter.com
793708002767319040,2016-11-02 06:55:08,@BeachMilk These posts are not being directed by Tassal. We're looking into the matter &amp; have reported those posts as spam. Cheers,0,http://twitter.com
