Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
924808184942022668,2017-10-30 01:20:28,Free event today: @uwa gets students and the corporate world together: Wes CEO@RGoyder 4-4.45pm @UWABusSchool https://t.co/oCB1gHFAFZ,0,http://www.hootsuite.com
924807305518026753,2017-10-30 01:16:58,RT @R_Scott88: Well done Lucy! https://t.co/K09cGE5Y0Z,1,http://www.hootsuite.com
923722207557292032,2017-10-27 01:25:10,CEO Richard Goyder will address National Press Club Canberra this Thu 2 Nov on the role of business in society. Tix… https://t.co/fXozFeEd2q,2,http://www.hootsuite.com
923108881554984965,2017-10-25 08:48:02,Delighted our long-term partnerships with @_WASO_ @WAOpera  @BlackSwanSTC WA Ballet @MusicaVivaAU have been honoure… https://t.co/jxi68V501A,2,http://www.hootsuite.com
923102019338022912,2017-10-25 08:20:46,"RT @UWABusSchool: Take part in an interactive town hall style event with Wesfarmers CEO and Managing Director Richard Goyder AO, as... http…",1,http://www.hootsuite.com
922994361046126592,2017-10-25 01:12:58,Our 2018 First Quarter retail sales results have been released today https://t.co/9pBqtr3w3G,1,http://www.hootsuite.com
922744121453838337,2017-10-24 08:38:36,1Q retail sales results tomorrow 25 Oct. Click here for the webcast 8am WST 11am EDT with @RGoyder  @R_Scott88… https://t.co/BKst7Y2hmN,0,http://www.hootsuite.com
922639628116680704,2017-10-24 01:43:23,Free event: @uwa gets students and the corporate world together: Wes CEO @RGoyder 30 Oct 4-4.45pm @UWABusSchool… https://t.co/8zEn335TPt,1,http://www.hootsuite.com
922019859466215424,2017-10-22 08:40:39,Chairman Michael Chaney reflects on 20 years of partnership with @MusicaVivaAU and why Wesfarmers supports the arts  https://t.co/sL5NzC8xUG,1,http://www.hootsuite.com
922015120334737409,2017-10-22 08:21:49,"RT @DecipherAgTech: “If they can understand variability, they can do something about it”-@FinancialReview asks why we created #Decipher: ht…",3,http://www.hootsuite.com
920947494187601920,2017-10-19 09:39:27,Great to be seen as a leader in improving communication in financial reports by @AASBaustralia and @IFRSFoundation… https://t.co/78VGzL5iqv,1,http://www.hootsuite.com
920945158581030913,2017-10-19 09:30:10,"@hippychicky55 Well spotted Sarah, it is Craigieburn.",0,http://www.hootsuite.com
920944812819468288,2017-10-19 09:28:48,"RT @AASBaustralia: Improving &amp; Rationalising Disclosures
Aus egs of decluttered fin reports @wesfarmers @QBE @CochlearAsiaPac @brambles htt…",2,http://www.hootsuite.com
920212488909705217,2017-10-17 08:58:48,From #solar powered supermarkets to remote-controlled trolley collection –  &gt; 40 new #sustainability stories here… https://t.co/xyZHq1IsN9,5,http://www.hootsuite.com
920208180159963136,2017-10-17 08:41:41,Proud to be a leader in #climatechange disclosures. See our 2017 #Sustainability  Report for details.… https://t.co/pt0MG2Hv88,3,http://www.hootsuite.com
919850665173757952,2017-10-16 09:01:03,Our 2017 human rights and modern slavery statement – proud to be a leader in #humanrights disclosure in Australia https://t.co/SqAqYzhJi5,3,http://www.hootsuite.com
919805004579590144,2017-10-16 05:59:36,RT @R_Scott88: Great to see the progress reported in the Wesfarmers 2017 Sustainability Report today. It’s so important to us. https://t.co…,6,http://www.hootsuite.com
919790434863517699,2017-10-16 05:01:43,Our 20th Sustainability Report has just been released. Available here #ESG #sustainability https://t.co/liyr63zHJs https://t.co/0kjau1PFRC,6,http://www.hootsuite.com
918380230699560962,2017-10-12 07:38:04,"Incoming MD @R_Scott88 talks Learning, Leadership and lessons from Olympic sport with @AcuityMag @Chartered_Accts  https://t.co/zMHiFQzaQW",4,http://www.hootsuite.com
910272819300364289,2017-09-19 22:42:06,Our balance sheet is strong...it can be an underrated asset but we are very focused on it: MD @RGoyder  2017 AR… https://t.co/CzYjVcsTmA,0,http://www.hootsuite.com
910270851471302656,2017-09-19 22:34:17,The pace of change may be faster but that simply highlights the need to keep innovating: Chairman's Message 2017 AR… https://t.co/kiwpJNtoOI,0,http://www.hootsuite.com
910269173338710017,2017-09-19 22:27:37,Wesfarmers today released its 2017 Annual Report $WES  https://t.co/5RQI7oA77m https://t.co/XB9Z7Nh75u,1,http://www.hootsuite.com
908538611246788609,2017-09-15 03:50:59,@Coles goes bananas over grassroots athletics! @SallyPearson launches a new p'ship with @AthsAust @LittleAthsAus… https://t.co/APLMCSbjIM,5,http://www.hootsuite.com
907880881204981766,2017-09-13 08:17:24,Wesfarmers again ranks as a global leader in sustainability #DJSI #ESG  @RobecoSAM  https://t.co/df3yMeizj0 https://t.co/QrKwx58Lye,7,http://www.hootsuite.com
