Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
924811864017477632,2017-10-30 01:35:05,"@Abdulla09979587 Thanks for the feedback, Abdullah! Can you please DM us your account details so we can look at tur… https://t.co/DhyZbWLmf6",0,https://www.lithium.com
923769711053045760,2017-10-27 04:33:56,@jaraparilla Thanks for letting us know. We will pass that onto our team. Please DM us your details if you need us… https://t.co/d4d4zr91Kq,0,https://www.lithium.com
923755808420085762,2017-10-27 03:38:41,"@KeeniMaree Apologies for the confusion, Kee! If you DM us your account details, we can help resolve this for you ASAP. Thanks, Dave.",0,http://twitter.com
923741915304009728,2017-10-27 02:43:29,"@robbodrwho2 Thanks for being with us, Craig. That doesn't sound good. Please DM us your account details and we can… https://t.co/q9rTnX95FQ",0,https://www.lithium.com
923721346017673216,2017-10-27 01:21:45,@drunkenmadman That sounds concerning! Would you please DM us with any details of the number you received this call… https://t.co/ZugxXqVGsx,0,http://twitter.com
923720546596003840,2017-10-27 01:18:34,"@_Ali_Donnellan Thanks for the heads up, Ali. It sounds odd! Would you plesae DM us the phone number you missed the… https://t.co/aq4t9a8cVK",0,https://www.lithium.com
923704916773814272,2017-10-27 00:16:28,"@dreamrealities @AndyVesey_AGL Hi Phil, I'm really sorry to hear that this has happened. I have responded to your F… https://t.co/YBXJtEGZ7Q",0,http://twitter.com
923371476736077824,2017-10-26 02:11:30,@illogicalextend Thanks for doing an awesome job of generating renewable energy! Here's more about one of our offse… https://t.co/0idFjxce8R,0,http://twitter.com
923334088173395968,2017-10-25 23:42:55,"@Chilogi007 Really sorry to hear this, Campbell. Please DM us your account details so we can investigate and hopefu… https://t.co/b0CZN1HLn0",0,https://www.lithium.com
923057929032409088,2017-10-25 05:25:34,@OaaSvc We'd hate to lose you as a customer but will assist with anything we can. If you send a DM with your detail… https://t.co/gMkIhYYsbS,0,http://twitter.com
923057298460651520,2017-10-25 05:23:04,"@OaaSvc We don't mean to cause this trouble, but realise that sometimes we do. Your feedback means a lot &amp; we would… https://t.co/aXWFDXkeZg",0,http://twitter.com
923021182726578176,2017-10-25 02:59:33,"@OaaSvc Hey JC, sorry to hear our billing has been a source of frustration! Please DM us your account details, and… https://t.co/GIMw6tJFfo",0,https://www.lithium.com
922989852638945282,2017-10-25 00:55:03,"@hamletpri Sorry to hear, Hamish! Let us know if you need help with direct debit arrangement. More info here as wel… https://t.co/4a7OAgyujz",0,http://twitter.com
922708555282681856,2017-10-24 06:17:17,"@KazLunn @TweedCouncil Sorry to hear, Karen! For outages in that region, it's best to contact the distributor Essen… https://t.co/9JphJxsXzx",0,http://twitter.com
922656843578478592,2017-10-24 02:51:48,"@MainlineRob Thanks for getting in touch, Robert. We're here to help! Please DM your account details &amp; we can help… https://t.co/YDrbho5yl0",0,https://www.lithium.com
922591409793888267,2017-10-23 22:31:47,RT @AndyVesey_AGL: We need to challenge the unseen barriers to gender equality; proud to be a signatory @malechampions https://t.co/5Udzgfg…,16,http://twitter.com
922590661349724160,2017-10-23 22:28:49,@ZacDavies Hi again Zac! Just sent you a DM to get this sorted. This error message should not be appearing for you… https://t.co/klbGRu7TvP,0,http://twitter.com
922561024665858048,2017-10-23 20:31:03,"@ZacDavies Thanks for letting us know, Zac. If you would like a hand accessing your account, please DM us your acco… https://t.co/1JoJtj6WfH",0,https://www.lithium.com
922238183428964352,2017-10-22 23:08:11,"@sdhesketh Hi Stephen, thanks for the feedback. That's a great idea, and I'll pass it on :) Cheers, Dave.",0,https://www.lithium.com
922026813714448389,2017-10-22 09:08:17,"@NotmetooRay We're happy to hear that everything is up and running, Ray! We apologise for the downtime! - Jayden.",0,https://www.lithium.com
921991169550069760,2017-10-22 06:46:39,"@PavlovaJones @AndyVesey_AGL Please let us know if you have any more questions, or you would like us to arrange a c… https://t.co/o2szx2JAa4",0,http://twitter.com
921991140999434240,2017-10-22 06:46:32,"@PavlovaJones @AndyVesey_AGL Thanks for asking this, Gemma. This is a great starting point if you're interested in… https://t.co/IXTzCjripa",0,http://twitter.com
921989897375817729,2017-10-22 06:41:35,"@IMChq We are in touch with Mr and Mrs Jacobs, and are glad to be working towards getting to the bottom of this iss… https://t.co/H0C9cwB2QO",0,https://www.lithium.com
921986558755930112,2017-10-22 06:28:19,@MPNewsGroup More information about securing gas supplies for the future can be found here: https://t.co/RTRDsH1eDF,0,http://twitter.com
921981620281786368,2017-10-22 06:08:42,@MakeTheNxtStep @EVCouncil @BJafari @AndyVesey_AGL Yes! As part of our New Energy program we’re investigating V2G t… https://t.co/gBpm36VveO,1,http://twitter.com
921598433219166209,2017-10-21 04:46:03,Update time! We'll be improving our systems over the weekend. https://t.co/0Kh4SCXiOK,1,https://www.lithium.com
921265496174891009,2017-10-20 06:43:05,@Hambledown_Road ..with the best offers available &amp; are constantly working to improve the program. Looking forward… https://t.co/Y6RkEUEZXO,0,https://www.lithium.com
921265295112597504,2017-10-20 06:42:17,"@Hambledown_Road Thanks for your feedback, Dean. If you could provide some details on your experience, we can inves… https://t.co/XbBILYPRAR",0,https://www.lithium.com
921263002313113600,2017-10-20 06:33:10,@The_Sobernaught You got it! :),0,https://www.lithium.com
921209335228727301,2017-10-20 02:59:55,"RT @WestCoastEagles: .@RickTheRockWCE, Ross Glendinning and @aglenergy are barbecuing for @Telethon7 🌭🌭🌭 in the CBD! #EaglesintheCommunity…",13,http://twitter.com
921124987313864705,2017-10-19 21:24:45,"@DanPScanlan Hi Daniel, thanks for the heads up. Can you please DM us your account details so we can look into the… https://t.co/kbeZvloTcj",0,https://www.lithium.com
921124719549562880,2017-10-19 21:23:41,"@jezbutler Apologies, Jeremy. Please DM us your account details, and we can get this fixed for you ASAP. Thanks, Dave.",0,https://www.lithium.com
921122304255410177,2017-10-19 21:14:05,"@dan_quinn86 Thanks for contacting us here, Dan. Can you please DM us account details so we can investigate what's… https://t.co/ElpXhKDVbt",0,https://www.lithium.com
921121000590163968,2017-10-19 21:08:54,@jumbarrawa We'd love to help sort this inconvenience out for you. Please DM us your account details and we can get… https://t.co/NjUA4Hy8dH,0,https://www.lithium.com
