Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
924788053813616641,2017-10-30 00:00:28,Thanks to @cpyne for his efforts supporting #ausindustry #exports in #MiddleEast with @AusEmbRiyadh #auspol #ausdef… https://t.co/tJO9ahMJnj,1,http://twitter.com/download/iphone
923814423210311680,2017-10-27 07:31:36,RT @NavyRecognition: [Video] Tour aboard USS Coronado #LCS4 Littoral Combat Ship Independence-class #USNavy https://t.co/DN4fBXqKmu https:/…,29,http://twitter.com/download/iphone
923810137227239424,2017-10-27 07:14:34,"Chairman, John Rothwell and CEO, David Singleton getting ready for the #agm outlining a stellar year of #exports.… https://t.co/V5TCpw0kDf",1,http://twitter.com/download/iphone
923512141130317824,2017-10-26 11:30:27,Very proud to accept the #defence #export award @Aussieexport #waiewa2017 #ausdef #ausindustry #navy #shipbuilding… https://t.co/CfLA4bBTpe,4,http://twitter.com/download/iphone
923511664187551744,2017-10-26 11:28:33,RT @Aussieexport: WA Defence Exporter goes to @austal - well done guys! 👌🏻👏🏻👏🏻@exportawards #waiea2017 https://t.co/YtgXBrfp9B,1,http://twitter.com/download/iphone
922021113198080000,2017-10-22 08:45:38,"RT @DefenceConnect: Don't miss @austal CEO David Singleton's podcast where he talks exports &amp; the future of Henderson #AusDef #defence

htt…",3,http://twitter.com/download/iphone
920120629126295552,2017-10-17 02:53:47,"RT @DefenceConnect: CEO of @austal talks up the possibilities of AI and big data in defence #AusDef #defence #AI

https://t.co/XktMzogj1z",5,http://twitter.com/download/iphone
918272836233338880,2017-10-12 00:31:19,"RT @DefenceConnect: Establishing a shipbuilding powerhouse @austal #AusDef #defence

https://t.co/W0fGeLWh8M",3,http://twitter.com/download/iphone
917623421206380544,2017-10-10 05:30:46,RT @Anish_MI: @austal Secures New A$190M Contract For Two 117 Metre Trimaran #Ferries https://t.co/YZrQWxXiAM https://t.co/6EpvwJTACP,2,http://twitter.com/download/iphone
917570759718928386,2017-10-10 02:01:31,RT @AustralianM: .@austal wins major ferry contract: https://t.co/KgkF4XSupR https://t.co/gvLikqRsgv,2,http://twitter.com/download/iphone
917545098870538240,2017-10-10 00:19:33,"RT @DefenceConnect: SEA 1180 bidder @austal dominates export market #AusDef #defence

https://t.co/y6DCf2BdhG",1,http://twitter.com/download/iphone
917287869789519873,2017-10-09 07:17:25,RT @AusAmbKuwait: Supporting @austal to bring Australia's shipbuilding expertise to #kuwait at #opvmiddleeast 2017 https://t.co/RaQRrAIVwU,3,http://twitter.com/download/iphone
917264975118319617,2017-10-09 05:46:26,Breaking benchmarks in international exports thrilled to be building @FOexpress two new #trimarans ferries! #auspol… https://t.co/KZUpdotMfp,3,http://twitter.com
917262239651962880,2017-10-09 05:35:34,Making waves around the world with the @Austal_USA team confirming @USNavy order for #LCS30! #navy #defence #auspol… https://t.co/pwXnE6rzHJ,5,http://twitter.com
917259211335012352,2017-10-09 05:23:32,RT @SOUND_TELEGRAPH: Henderson shipbuilder @austal wins more contracts ahead of Federal Government's OPV decision. #Rockingham https://t.co…,2,http://twitter.com/download/iphone
915709904463192065,2017-10-04 22:47:08,Discussing the @Austal_USA LCS Frigate with @USNavy at the @Pacific2017Expo. #auspol #ausdef #industry… https://t.co/FCifXNRud8,1,http://twitter.com/download/iphone
