Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925146571179569152,2017-10-30 23:45:05,"The latest issue of Downer News is now out! This issue includes our Leadership Conference, contracts wins &amp; awards.… https://t.co/6oeP6bPe2K",0,http://twitter.com
923705045744365568,2017-10-27 00:16:59,"Congratulations, Steve! Honoured to support such a great cause. @MarkHughesFdn https://t.co/dOwhMuc3F4",2,http://twitter.com
923014332685807616,2017-10-25 02:32:20,"Downer recently sponsored the Story Bridge construction project, comprising 17 engineering students and graduates.… https://t.co/5lrDZgiGBj",1,http://twitter.com
922691098409127942,2017-10-24 05:07:55,"Well done to Peter Crowther, our Chief Information Officer at Downer! Such a great cause. #endureforacure https://t.co/xvAvR9h7Ff",1,http://twitter.com
920893267901792256,2017-10-19 06:03:59,"Good luck, Steve! @SteveMenzies11 https://t.co/dWkTKLURzp",0,http://twitter.com
920892634796777472,2017-10-19 06:01:28,Downer has a achieved a significant milestone at the Wheatstone LNG project in WA - five million hours without lost… https://t.co/jDRPnArJ45,0,http://twitter.com
920892095350562816,2017-10-19 05:59:19,"RT @ellese_o: Don't buy products, buy solutions @downergroup #isca2017 https://t.co/xbhF79t6dm",3,http://twitter.com
919769866189467649,2017-10-16 03:39:59,Roads that listen for accidents? Downer is the focus of a case study in the Commonwealth Bank’s latest Equip report https://t.co/TafyQVIKd0,1,http://twitter.com
918633266042642432,2017-10-13 00:23:32,The Downer Mining team has painted two of their haul trucks blue to support the Mental Health Week campaign.… https://t.co/Zx0MwWQ8lS,2,http://twitter.com
912524310312509441,2017-09-26 03:48:44,Downer has been recognised as the 2017 Supplier of the Year at the annual nbn™ Supplier Summit. https://t.co/f582abiyib,0,http://twitter.com
907447323973713920,2017-09-12 03:34:36,Downer announced today that Keolis Downer had been awarded a 7 year contract to operate the Yarra Trams franchise.… https://t.co/YMGhr9TW0H,2,http://twitter.com
902343264136716288,2017-08-29 01:32:53,"For FY17 Downer reported increases in total revenue, earnings before interest and tax, and net profit after tax. https://t.co/6LhPqsx4j7",0,http://twitter.com
889735300716519425,2017-07-25 06:33:20,"Today Downer launched Innovation Hub, a digital place for our people to share and discover ideas.… https://t.co/qE8i9oHgC3",1,http://twitter.com
889292517086068736,2017-07-24 01:13:52,The Sydney Opera House has a longstanding relationship with Downer. We have partnered with them to create Badu Gili… https://t.co/hU116P5gjg,1,http://twitter.com
884616672543297536,2017-07-11 03:33:44,Downer is proud to support the ALNF in helping to close the Indigenous literacy gap @theALNF https://t.co/TOuDNgQkfm,2,http://twitter.com
879157873305047040,2017-06-26 02:02:25,Downer looks forward to further collaborating with Australia's start-up community through the new CoVentured portal… https://t.co/wvrRLfyDhD,1,http://twitter.com
876579014898401281,2017-06-18 23:14:57,Congratulations to Sunshine Coast Lightning for winning the inaugural Super Netball title with a huge victory over… https://t.co/7nbPVHGCES,1,http://twitter.com
871503821414977536,2017-06-04 23:07:57,Sunshine Coast Lightning will now host the first-ever Suncorp Netball Grand Final! Superb effort! #Lightitup https://t.co/Mt9ftG2WVJ,10,http://twitter.com
869072320588939265,2017-05-29 06:06:02,"The theme for National Reconciliation Week 2017 is ‘Let’s Take the Next Steps’, reminding us that big changes take… https://t.co/LBkBxQzAhZ",0,http://twitter.com
869022839084507136,2017-05-29 02:49:25,Congratulations to Sunshine Coast Lightning on making it to the semi-finals after claiming victory over GWS GIANTS… https://t.co/Phwfjr6RBc,0,http://twitter.com
842524963168968704,2017-03-16 23:56:19,The latest issue of Downer News is now out! You can access it on our website: https://t.co/lhhN6rOKYE #Lightitup https://t.co/dvnUPuixwI,4,http://twitter.com
839310814980890624,2017-03-08 03:04:26,Well done on your win this weekend!! https://t.co/eA9SBMq0Av,1,http://twitter.com
839310517780918272,2017-03-08 03:03:15,Today is International Women's Day - Downer will participate in a range of activities to celebrate International Wo… https://t.co/reEIWoQvm9,2,http://twitter.com
839229571731857408,2017-03-07 21:41:36,"Downer has signed an agreement to acquire the construction, infrastructure and project management businesses of Haw… https://t.co/cUd9UVEHmi",2,http://twitter.com
838626091220647936,2017-03-06 05:43:35,"Congratulations to the Sunshine Coast Lightning, who remain undefeated after beating the Adelaide Thunderbirds 51-4… https://t.co/oalVTF9JPn",2,http://twitter.com
837494915361746944,2017-03-03 02:48:42,"RT @sc_lightning: BREAKING NEWS: Another momentous day for Sunshine Coast Lightning. Read here: https://t.co/uDC8bT5773
#LightItUp https://…",9,http://twitter.com
837492695631175681,2017-03-03 02:39:53,"Downer has become the major partner for Sunshine Coast Lightning, one of eight professional teams competing in Sunc… https://t.co/I6x7anoYil",4,http://twitter.com
828384247425556480,2017-02-05 23:26:09,RT @DownerNZ: Well done #NRLAKL9s 2017 winners - the @sydneyroosters !! #TheGreatestWeekend https://t.co/L5VH4hPj5A,1,http://twitter.com
826935492021088257,2017-02-01 23:29:19,Downer reports net profit after tax of $78.2 million and increases full year guidance. Full announcement here: https://t.co/sFvWnreMp3 …,1,http://twitter.com
825922167963475970,2017-01-30 04:22:44,Read the AFR Weekend's interview with our CEO Grant Fenn: https://t.co/sIy2U1wLfY,0,http://twitter.com
811408058148483072,2016-12-21 03:08:50,Downer has been awarded a contract by NBN Co Limited to deliver design and construction services for new Fibre to t… https://t.co/5nfUbmXvBl,1,http://twitter.com
808120634697883648,2016-12-12 01:25:48,Premier Mike Baird announcing Keolis Downer has been awarded a 10 year contract to operate a new public transport s… https://t.co/j6dGw8gjdQ,5,http://twitter.com
806309637909688320,2016-12-07 01:29:32,RT @NRLAKL9s: Behind the scenes at the 2017 #NRLAKL9s launch! https://t.co/VuqUuKD74m,3,http://twitter.com
806309263043764224,2016-12-07 01:28:03,"Downer is proud to be the key sponsor of the NRL Auckland Nines @NRLAKL9s  
The jerseys look great! https://t.co/TwGxFEzuvh …",3,http://twitter.com
780223581770752000,2016-09-26 01:52:52,Pleased to introduce Downer’s inaugural Reconciliation Action Plan. https://t.co/gtNgZUClkP,1,http://twitter.com
778848084713361408,2016-09-22 06:47:08,VEC's Louis Maney has been recognised with Earthmover &amp; Civil Contracting’s Apprentice of the Year Award. https://t.co/9i3mFSe7Hv,0,http://twitter.com
778809284826062848,2016-09-22 04:12:57,"Downer Road Services recognised with 10 state awards and two national @AAPA_Australia awards
https://t.co/MRritrCt0x",0,http://twitter.com
778808418517692421,2016-09-22 04:09:31,Logan Water Infrastructure Alliance recognised for safety at the Qld 2016 Australian Engineering Excellence Awards https://t.co/9rz3z0nuDs,0,http://twitter.com
763568447003369472,2016-08-11 02:51:18,Our JV with @McConnellDowell awarded the contract to deliver the second stage of the Christchurch Southern Motorway https://t.co/WJd0yUPLmO,2,http://twitter.com
760291858727641090,2016-08-02 01:51:19,@wesleymission Vision Valley gets a Downer facelift https://t.co/5KcX9VsGXx https://t.co/3wQ1iDp2bo,0,http://twitter.com
753020284903518209,2016-07-13 00:16:41,Downer Awarded City Rail Link Contract In New Zealand // https://t.co/txAnEiijLf,3,http://twitter.com
750985949765443585,2016-07-07 09:32:57,7 electrical trainees from @SJCGeelong were treated to a personalised tour of the #AraratWindFarm #renewableenergy https://t.co/ygBiroPRUS,1,http://twitter.com
750930878612713472,2016-07-07 05:54:07,RT @NZParalympics: Serious talent alright @FionaFenwickNZ @scottmartlew! #spiritofgold Collection looks fantastic @downergroup https://t.co…,3,http://twitter.com
750859035885219840,2016-07-07 01:08:39,RT @market_forces: .@downergroup to develop @AdaniOnline's Indian #coal mines+ says Adani very active on pushing Carmichael development htt…,10,http://twitter.com
750611858063650817,2016-07-06 08:46:27,"Downer participated in the recent @MCG #StadiumStomp stair challenge, raising funds for @LeukaemiaAus #7300stairs https://t.co/51cVXZ77gB",1,http://twitter.com
750491277716623361,2016-07-06 00:47:18,RT @SportBizInsider: .@downergroup keep @NRLAKL9s naming rights for two more years #NRL #sportsbiz https://t.co/mzloyCKRxM,2,http://twitter.com
750485827961040897,2016-07-06 00:25:39,Downer extends contract at Meandu Mine // https://t.co/uOV4SgjwKF https://t.co/2ZH1J6GnIL,2,http://twitter.com
750097970842865664,2016-07-04 22:44:27,RT @NRLAKL9s: Thank you @downergroup for your continued support! We're exceptional proud to have you with us! https://t.co/MLLKC9kbJL,3,http://twitter.com
750086883430928384,2016-07-04 22:00:23,We're proud to be the naming rights sponsor for the Downer @NRLAKL9s in 2017 and 2018 // https://t.co/NGhwvsw5mL https://t.co/JQm7BYOuvP,3,http://twitter.com
750086440499834880,2016-07-04 21:58:38,"RT @NRL: The @downergroup have retained naming rights to the 2017 &amp; 2018 Downer #NRLAKL9s

https://t.co/FCHhQjmA1O

#NRL https://t.co/yc3I3…",10,http://twitter.com
749787633622982656,2016-07-04 02:11:16,Our #LowCarbonAsphalt has won the Civil-Sustainable award at the 2016 @MBA_Canberra Awards / https://t.co/E4Yv0mmmAa https://t.co/cEHukdy7ai,1,http://twitter.com
749747076028784640,2016-07-03 23:30:07,"Congrats to Adam, Angeline and Vivian who have recently graduated from a Master of Applied Finance at @Macquarie_Uni https://t.co/gPqegvKLZF",0,http://twitter.com
748674919328690176,2016-07-01 00:29:45,We enjoyed hosting senior #Nanango High School students to the Meandu Mine &amp; Tarong Power Station #OwnYourExperience https://t.co/i2pyH8UD1D,0,http://twitter.com
