Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
833448631927726082,2017-02-19 22:50:13,@kimbakerwilson It's our 2nd year supporting Pride. We’re proud to have @RainbowTick1 acknowledging our efforts to be an inclusive workplace,0,http://www.hootsuite.com
806954153796927488,2016-12-08 20:10:37,We are thinking of our construction team in the Solomon Islands. We are thankful they have reported in as ok after this mornings earthquake.,0,http://www.hootsuite.com
781253302138892288,2016-09-28 22:04:36,FB announces that Bevan McKenzie has been appointed as CFO after the resignation of Gerry Bollman who is taking a CFO role based in the US.,0,http://www.hootsuite.com
775979321810825216,2016-09-14 08:47:41,We're extremely proud of Gemma Collins who was also awarded an IPENZ Fellowship at tonight's NAWIC Excellence Awards.,1,http://twitter.com/download/iphone
775978524091883520,2016-09-14 08:44:31,Congratulations to all finalists and award recipients of the NAWIC Awards. An exciting group of incredibly talented women in  construction.,1,http://twitter.com/download/iphone
775977817762770945,2016-09-14 08:41:43,"Huge congratulations Lynne Makepeace, winner of the NAWC Professional Woman of the Year!! #winning https://t.co/M3LBmDOCVb",1,http://twitter.com/download/iphone
775977335006728192,2016-09-14 08:39:48,congratulations Sarah McDonald for winning a Professional Woman of the Year Highly Commended award. https://t.co/GKus1ZCwnZ,1,http://twitter.com/download/iphone
775976923721666560,2016-09-14 08:38:10,"Flavia Wolf, Nicola Thompson &amp; Antonia Speight - Professional Woman of the Year Special Merit Awards @ NAWC Awards. https://t.co/VkN5C3TyK5",1,http://twitter.com/download/iphone
775975557288701952,2016-09-14 08:32:44,That's one more win for Fletcher at NAWIC awards #winning congrats Gemma https://t.co/l34yTCpWLX,1,http://twitter.com/download/iphone
775974729966424064,2016-09-14 08:29:27,"Congratulations Carolyn Pitman, winner of NAWC Excellence in Construction Administration. #winning https://t.co/ec1JNgnu4T",1,http://twitter.com/download/iphone
775969887617294336,2016-09-14 08:10:12,good luck to our Fletcher finalists in the #NationalAssociationofWomeninConstruction https://t.co/lZenyHYmWX,0,http://twitter.com/download/iphone
771557514227752960,2016-09-02 03:57:00,RT @TheProjectNZ: Nicki Raistrick from @fletcherbuild on creating a culture of innovation. #Project16 https://t.co/V8oalbnvie,2,http://www.hootsuite.com
765661914387062785,2016-08-16 21:30:00,RT @rnzBusiness: A strong New Zealand building sector and rebound in Australia have driven Fletcher Building's annual profit higher,1,http://www.hootsuite.com
757792992417550337,2016-07-26 04:21:43,RT @MBIEgovtnz: Future projections on building &amp; construction in NZ just released! https://t.co/8iadOSjoi2 https://t.co/YwTBfLUekA,2,http://twitter.com
735546107711737856,2016-05-25 19:00:32,RT @WorkSafeNZ: . Business Leader H&amp;S Forum Exec Leader of the Year Award goes to Graham Darlow @fletcherbuild  #safeguardawards https://t.…,1,http://www.hootsuite.com
734599532927942660,2016-05-23 04:19:11,@UnitecYM We're looking forward to it!,0,http://www.hootsuite.com
727680343822749696,2016-05-04 02:04:48,@zentree Can you please PM us your details so we can contact you and send someone out to have a look at it.,0,http://www.hootsuite.com
719700025484382208,2016-04-12 01:33:52,RT @fbcareers: Awesome drone footage of the Waterview Ventilation Building @fletcherbuild is constructing https://t.co/b2Nvu7py5V #wemadeit,5,http://www.hootsuite.com
712744717981716482,2016-03-23 20:55:57,No injuries reported at the Dry Creek Cleanfill in Lower Hutt. Fire service is managing the situation. The site is temporarily closed.,0,http://www.hootsuite.com
702781409274892289,2016-02-25 09:05:19,RT @HRINZ: Congrats Mark Adamson for being the Supportive CEO of the year winner from Fletcher Building. #nzhrawards,3,http://www.hootsuite.com
702781298096656385,2016-02-25 09:04:53,Mark Adamson just won Supportive CEO Of The Year at the @hrinz awards night. We say well deserved.  #makeitwith @fbcareers,4,http://www.hootsuite.com
701532475445665792,2016-02-21 22:22:30,5 years on we remember and stand together with our EQR team and all our people in Christchurch. Kia Kaha Christchurch.,1,http://www.hootsuite.com
701514953056985088,2016-02-21 21:12:52,RT @JAFJacob: Awesome weekend marching with @fletcherbuild at Auckland Pride Parade 🌈 https://t.co/7I5mz5ghdq,3,http://www.hootsuite.com
701289034933530624,2016-02-21 06:15:09,@amymunronz thanks Amy. We did know. It’s a global Microsoft issue but we’re doing everything we can on our end to get it fixed.,0,http://www.hootsuite.com
700891618648444928,2016-02-20 03:55:58,#FBpride team all geared up for #aklpride parade https://t.co/8YGCgZID4t,3,http://www.hootsuite.com
