Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925640370121195520,2017-11-01 08:27:16,"@Manavgu Hello Manav. If you require assistance, please send us a DM with the details of the issue.",0,http://twitter.com
925611804708913152,2017-11-01 06:33:45,@rod_ando I sent another message. Please check your inbox here on Twitter.,0,http://twitter.com
925609070819606528,2017-11-01 06:22:54,"@Devansh58434674 I sent you a DM, Devansh. If you want to learn more about the site just respond to my DM and ask away! :)",0,http://twitter.com
925608839948337152,2017-11-01 06:21:59,"@rod_ando Hi, Rodrigo. We sent you a DM. Kindly check your inbox.",0,http://twitter.com
925497785604038656,2017-10-31 23:00:41,Twitter Data Mining: A Guide to Big Data Analytics Using Python https://t.co/UR2dU8AYOw @Twitter #programming https://t.co/a1Ebvj1W3Q,9,http://bufferapp.com
925361869300355074,2017-10-31 14:00:36,Learn to Code: 14 Tips That Could Save You Years of Effort https://t.co/MwswFjWkKN #programming #webdevelopment https://t.co/h8nhCEN4m4,6,http://bufferapp.com
925352871956070401,2017-10-31 13:24:51,@Ajjjuoo7 Hello Anujay! We've sent you a DM. Please reply as soon as possible.,0,http://twitter.com
925240110525816832,2017-10-31 05:56:47,"@SaketJajodia Hi, Saket. I sent you a DM to help out. Kindly check your inbox.",0,http://twitter.com
925161524515061761,2017-10-31 00:44:30,"@coclimber720 @matt_barrie Hi, Alexander. We'll look into the chat conversation now. Also, I sent you a DM. Kindly check your inbox.",0,http://twitter.com
925144880199868416,2017-10-30 23:38:22,"@coclimber720 Hi, Alexander! Please send us a DM so we can discuss your concern. We will wait for your response. Thank you!",0,http://twitter.com
925135362221068288,2017-10-30 23:00:33,How to Answer the 32 Most Common Interview Questions https://t.co/3JQIIHt6ZS #jobs #freelancing #gigeconomy https://t.co/oo044JlgOt,5,http://bufferapp.com
925044722044948482,2017-10-30 17:00:22,Tweet us your answer for a chance to be featured on one of our upcoming articles! #FreelancerTips #digitalnomads https://t.co/GwcOjOWh6k,2,http://bufferapp.com
924999588901195776,2017-10-30 14:01:02,People are getting freelancers to design new types of cryptocurrencies. @CNBC https://t.co/M1cgOJiC82,3,http://bufferapp.com
924954117960855552,2017-10-30 11:00:21,Every Single Machine Learning Course on the Internet — Ranked by Your Reviews https://t.co/zGqJDDR30R… https://t.co/0o5LacV75p,3,http://bufferapp.com
924917847301570561,2017-10-30 08:36:13,@dargent_t Hello Thomas. Would you mind sending us a DM with your concerns about the HTML certification?,0,http://twitter.com
924884076040822784,2017-10-30 06:22:01,"RT @CNBC: We've seen an 82 percent jump in bitcoin-related jobs, says employment website CEO https://t.co/f2wx6HFOot",36,http://twitter.com
