Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925242645676400640,2017-10-31 06:06:51,@kittygaloretime @Estelle_Lucas An amazing fund-raising effort!! 👏👏👏Well done. We can't match you but we are doing… https://t.co/f3PbLio57a,0,http://twitter.com
925131696248307712,2017-10-30 22:45:59,What I wish someone had told me before I fell pregnant... https://t.co/RQeoNZGEdF via @bubhubwebsite,1,http://twitter.com
925130783823507456,2017-10-30 22:42:21,Aussies are really feeling the pressure on the increasing cost of living. Read more: https://t.co/mXb3PvRQi9 #GetLifeRight #CostOfLiving,0,http://twitter.com
924511519471124480,2017-10-29 05:41:37,RT @TheBlock: TONIGHT: The MOST DRAMATIC #9TheBlock Auctions of ALL TIME! 😲🔨 https://t.co/6GpHqQIHLX,12,http://twitter.com/download/iphone
923695728613928962,2017-10-26 23:39:57,Come &amp; see us at the #sydneyhomeshow @olympicpark_syd today until 5pm and Sat+Sun 10-6pm! #iselectnest @nest… https://t.co/5XyQyYRjDM,0,http://twitter.com/download/iphone
923506661817434112,2017-10-26 11:08:40,RT @adma: Excited to announce @iselect @shannoneclarke as @adma Young Marketer of the Year  - #acande,4,http://twitter.com/download/iphone
923498123460198400,2017-10-26 10:34:45,Look at this! We have a superstar amongst our ranks! Congratulations @shannoneclarke - the hard work paid off 🙌🏼🙌🏼🙌🏼 https://t.co/bbAl7pMZDV,3,http://twitter.com/download/iphone
923439424888643585,2017-10-26 06:41:30,Congrats &amp; best of luck to @shannoneclarke from @iselect for making it to the finals for the 2017 Young Marketer Of… https://t.co/aGpuWfE28s,3,http://twitter.com
922759344977985536,2017-10-24 09:39:06,RT @TheBlock: .@ScottyCam9 now declares #9TheBlock #OpenForInspection! https://t.co/YJKZ9IJOHl,4,http://twitter.com/download/iphone
922260131223498752,2017-10-23 00:35:24,RT @RichSpilsbury: Slightly more efficient security guard than my cat. @iselect thanks for the @nest! https://t.co/96CLYSu0Ah,2,http://twitter.com
922257736879955968,2017-10-23 00:25:53,What you need to know before getting a credit card https://t.co/0iOFvhqG3n #getliferight #creditcards,1,http://twitter.com
920422534515789825,2017-10-17 22:53:27,It's time for a little life admin with iSelect! https://t.co/Z9YCyu2S1j #lifeadmin #springclean,0,http://twitter.com
920422183398027264,2017-10-17 22:52:03,RT @iSelectScott: iSelect responds to private health insurance reforms https://t.co/YmhRfX1fld,1,http://twitter.com
919675408316076032,2017-10-15 21:24:38,@selcukgokmen10 We're sorry to hear of your experience and would like to assist. Can you please DM us your phone nu… https://t.co/0Bkic7ZaIl,0,http://www.radian6.com
919472424285908992,2017-10-15 07:58:03,RT @9NewsMelb: Thousands of fans have crammed an Elsternwick street for the chance to cast their eyes over @TheBlock. @kieranjones_9 #9News…,3,http://twitter.com/download/iphone
919420928458498049,2017-10-15 04:33:26,RT @FoxFM: The crowds down here at The Block are next level! @TheBlock @Channel9 #9theblock https://t.co/nElt0eU31S,6,http://twitter.com/download/iphone
