Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925528467474489345,2017-11-01 01:02:36,"In an age of transparency, customers are holding brands accountable not just for what employees say and do.… https://t.co/7wCv5kU9IX",0,http://twitter.com
925237692798976000,2017-10-31 05:47:10,More than just a measurement tool or frame of reference; we've reinvented media intelligence. See how… https://t.co/q1C32iFf6f,0,http://twitter.com
924858971315347456,2017-10-30 04:42:16,"Polaroid creator Edwin Land famously said, “It’s not that we need new ideas, we need to stop having old ideas.”… https://t.co/f16HFakMSo",0,http://twitter.com
924817142154850304,2017-10-30 01:56:03,"Using real data intelligence to tackle real-world problems, delivering real and impactful results. Can we help you?… https://t.co/43S6bt4SnH",1,http://twitter.com
923728962169139200,2017-10-27 01:52:01,"Delivering news as it happens, across all relevant channels, giving you the analytics and tools to share it.… https://t.co/l8ASYe2eVD",0,http://twitter.com
923377372786704384,2017-10-26 02:34:55,Reporting on digital – understanding the minefield. #digitalmetrics https://t.co/Y0CWKng9pj https://t.co/1eMZKuJJFj,0,http://twitter.com
923027816135892992,2017-10-25 03:25:55,"People want answers, information and entertainment at the tip of their fingertips and they want it now.… https://t.co/Lpo8v5eoZL",0,http://twitter.com
923012664728567808,2017-10-25 02:25:42,Let's chat about measurement - A summary. #isentiamm https://t.co/OLLhfgjvl7 https://t.co/ZU7kC5qOdl,0,http://twitter.com
922684931167346688,2017-10-24 04:43:24,Actionable insights: Are you guilty of it too? https://t.co/FCTgjY98pr,0,http://twitter.com
922267614281318400,2017-10-23 01:05:08,"2 days to go! Join our very own CMO, @spence7zero at IABC NSW: Riding the tide of change on Oct 25. Register now!… https://t.co/j4EzbvPktd",0,http://twitter.com/download/iphone
920940296841478150,2017-10-19 09:10:51,"Ditch 'campaign thinking' to succeed at content marketing, says Isentia's @ToddWheatland #mumbrellapublish… https://t.co/g7evRJVuVo",3,http://twitter.com
920887090828603392,2017-10-19 05:39:26,"2017 China top beauty brands on digital media, Isentia #beautytrends study https://t.co/vZtFYZDxny https://t.co/DcTQdyiiJb",1,http://twitter.com
920792095035498496,2017-10-18 23:21:57,RT @Social_Sunny: @ToddWheatland chatting about the state of #ContentMarketing #MumbrellaPublish https://t.co/wBvEb8Dt22,2,http://twitter.com/download/iphone
920509312589598720,2017-10-18 04:38:17,"Time to meet the #QBR2018 batonbearers for @GC2018 incl. our CEO, @John_Croll https://t.co/wUSHq5QQIG #SHARETHEDREAM https://t.co/bNztfdexFH",0,http://twitter.com
920467886107328512,2017-10-18 01:53:40,5 smart ad-tech companies you should know about https://t.co/VsVqVHwkML,0,http://twitter.com
920130072094244865,2017-10-17 03:31:19,Meet our newly appointed Country Manager for NZ @RussHorell https://t.co/fMCvTGdc8Z https://t.co/8PfKe3fh5T,0,http://twitter.com
919763100676513792,2017-10-16 03:13:06,Media execs – What I wish I knew when I was 20 https://t.co/HR6ioblhk3 https://t.co/uU3X5gPOVj,0,http://twitter.com
919735476612763648,2017-10-16 01:23:20,Brands urged to focus on insights when building measurement culture https://t.co/bCw7ZC3kUh,0,http://twitter.com
918673380366102528,2017-10-13 03:02:56,"Take a trip around the world with our people, follow us @isentia_ on Instagram https://t.co/qKwO7jsxId",0,http://twitter.com
918651954758172672,2017-10-13 01:37:48,Data versus gut instinct https://t.co/jfdWlIIiHg,1,http://twitter.com
918317277597941761,2017-10-12 03:27:55,Congrats to our UK team who have won a LinkedIn Marketing Awards with Lenovo #LMAWins #GreatB2B… https://t.co/4xSbZwCdss,1,http://twitter.com
918291549967892480,2017-10-12 01:45:41,"Great to share some of the creative work produced with @MissionAust to shine a light on such an important topic.
https://t.co/ZnLdlDyrGB",2,http://twitter.com
917967152044564481,2017-10-11 04:16:38,Our very own @ToddWheatland will speak at Mumbrella's Publish Conference in Sydney on Oct 19. Register now!… https://t.co/EO3f3ROH61,1,http://twitter.com
917923132094083072,2017-10-11 01:21:43,RT @socialmedia2day: Facebook is testing out image-based search for related products https://t.co/n3Hzr5VIly #socialmedia https://t.co/QTvg…,17,http://twitter.com
917550130106064896,2017-10-10 00:39:32,Isentia’s Strategy &amp; Content team wins LinkedIn Best Brand Impact – Large Business for their work with Lenovo.… https://t.co/WPov21ffL6,3,http://twitter.com
917295423449997312,2017-10-09 07:47:26,"Our very own @spence7zero, CMO to speak at IABC NSW: Riding the tide of change on Oct 25. Register now!… https://t.co/23pxldUCJ1",0,http://twitter.com
917211071026315264,2017-10-09 02:12:14,Isentia CMO @spence7zero on the move to data-driven insights https://t.co/BHipgKlmNc https://t.co/bQsodIwPyR,0,http://twitter.com
917194156211970049,2017-10-09 01:05:02,RT @socialmedia2day: Google's added a new way to edit how your business appears in search - from within the search results https://t.co/RZq…,22,http://twitter.com
916298540766216192,2017-10-06 13:46:10,RT @_FIBEP: The #mediamonitoring world in 10 years with @FlorianLaszlo @argus_de @ArnoSteinkuhler @gojohnab @SAS_AU @Reelforge @Orestaki #W…,8,http://twitter.com/download/iphone
916295014811967489,2017-10-06 13:32:10,RT @carolin_klinke: isentia is looking for unicorns @SAS_AU @isentia #Recruitment #WMIC17 #mediaintelligence #HR https://t.co/zL7VzLyNit,1,http://twitter.com/download/iphone
916150700337332224,2017-10-06 03:58:42,Isentia's @ToddWheatland to speak at Mumbrella’s Publish conference in Sydney on Oct 19. Register now!… https://t.co/zaJiqAZg7w,1,http://twitter.com
915704403830513664,2017-10-04 22:25:17,"@RichardHulse Hello Richard, thank you for raising this with us &amp; our apologies. Pls send us a direct message with… https://t.co/mBo5qgc3i7",0,http://twitter.com/download/iphone
