Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925135339236265984,2017-10-30 23:00:27,"Proximity, reach, impact, mindset, engagement, data. oOh! delivers on christmas objectives. Contact your rep today.
https://t.co/XbBzpyZDAr",0,http://www.hootsuite.com
923703341305049088,2017-10-27 00:10:12,RT @adma: A special thank you goes out to our ongoing valued marketing sponsor and Platinum sponsor of #acande 2017 @oOh_Unmissable https:/…,1,http://www.hootsuite.com
921177910844755968,2017-10-20 00:55:03,Congrats to our @junkee team! @itspunkee won Best Launch of the year at the @mumbrella Publisher awards.#unmissable… https://t.co/Z5QCoWGPs2,3,http://www.hootsuite.com
920786631371698177,2017-10-18 23:00:14,We sent our Commercial Team ‘over the edge’ of a CBD building at the Abseil For Youth 2017 to raise money for the… https://t.co/sVL8ALnxt4,1,http://www.hootsuite.com
920439343600238593,2017-10-18 00:00:15,"From Office towers to Roadside billboards to Retail environments, oOh! has Melbourne CBD covered. #unmissable #OOH
https://t.co/NNEmOnuOas",0,http://www.hootsuite.com
920139523782250497,2017-10-17 04:08:52,"@Qantas demonstrates the power of the integration of content, data and combination of offline and online platforms.… https://t.co/NEXMSNfQfx",0,http://www.hootsuite.com
915701869594370048,2017-10-04 22:15:13,Congratulations to our very own @junkee for the big achievement... #1 youth publisher on Facebook!… https://t.co/ebTwP71pR6,0,http://twitter.com
913196098960867328,2017-09-28 00:18:11,A cross-country facial recognition advertising first for oOh! with #nutella new mood labelled jars. #Unmissable… https://t.co/Y5GD45Dl5z,2,http://twitter.com
911116015215321088,2017-09-22 06:32:40,The team are getting behind @pinkhopeaus #BrightPinkLipstickDay. A cause close to our hearts https://t.co/4InCq4scTG,1,http://twitter.com
905204071375675393,2017-09-05 23:00:43,"Join the @tedxsydney live stream hosted by @unijunkee from 9.30 am today! https://t.co/qGMUae7lmf 
#TEDxYouthSydney #ShiftingTheFuture",2,http://twitter.com
904531679426908161,2017-09-04 02:28:52,@AllBlacks broadcast live from @nzfashionwk to our Full motion Digital ShopaLives #DOOH #fashion #Allblacks… https://t.co/NGYHNbZfyr,0,http://twitter.com
903423874615746560,2017-09-01 01:06:51,oOh! Insight powered by @QuantiumAU enables @MDLZ to optimise their campaign by more than 15%. #datarevolution… https://t.co/J2900edVSm,0,http://twitter.com
900148255958237184,2017-08-23 00:10:42,Check out @SPCAustralia Bean Pots campaign by Locate by oOh! &amp; EDGE. Well played Slingshot &amp; @LeoBurnettSyd.… https://t.co/TfLBHZZq9x,1,http://twitter.com
897648205613195265,2017-08-16 02:36:24,Introducing The Upsider our new premium lifestyle content platform with @junkee &amp; featured across oOh! Office &amp; Caf… https://t.co/QoxdA8FKG6,0,http://twitter.com
893332601955524608,2017-08-04 04:47:44,The Bourke helping Eitan's wish of becoming famous a reality! @MakeAWishAust  - you guys rock! #eitanswish https://t.co/HtRrPUduKM,3,http://twitter.com
890756794393387009,2017-07-28 02:12:23,oOh! takes CUB latest @CarltonDraught campaign on a road trip to iconic regional cities https://t.co/GyARFvy7dD https://t.co/NoKKMMqbqz,0,http://twitter.com
889301938470137856,2017-07-24 01:51:19,Proud to partner with the Seedooh team as we lead the way with #OOH + #DOOH #transparency in Australia. https://t.co/GBhHaG5H1L,2,http://twitter.com
885021749292695552,2017-07-12 06:23:22,Thanks Paul Sinkinson @analyticglobal &amp; Tim Trumper @QuantiumAU today by helping us prove OOH drives greater ROI https://t.co/Q8lNamT0Ah,2,http://twitter.com
877728348247556097,2017-06-22 03:22:00,A special build of neon lights on oOh!s most iconic billboard sees @Nike’s latest campaign shine. https://t.co/wsPa90NJE3,1,http://www.hootsuite.com
876675561048985601,2017-06-19 05:38:36,Cactus Printing will take Out Of Home advertising to another level with The Durst 512R. More:… https://t.co/9YjmCmvx7b,0,http://www.hootsuite.com
