Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925577482308280321,2017-11-01 04:17:22,The three Helen Lempriere Scholarship recipients' sculptures are now showing at #sxsbondi17. Which is your favourit… https://t.co/qgjpVxqSL1,0,http://twitter.com
925535383198109696,2017-11-01 01:30:05,"This week, Perpetual's Garry Laurence chats with @BlairMcDonough1 on Learn from the Money Masters. Show airs Sat 12… https://t.co/qncfo3IXls",1,https://studio.twitter.com
925497862141685760,2017-10-31 23:00:59,"Perpetual's Anthony Aboud, uses short term negative sentiment to find bargain investments. Here's how he does it:… https://t.co/vniRy0oavZ",1,http://www.hootsuite.com
925256200375164928,2017-10-31 07:00:43,One of the 2017 Helen Lempriere Scholarship recipients. View all sculptures by the recipients at #sxsbondi17  https://t.co/VZuO3lBkPU,0,http://www.hootsuite.com
925225926752907264,2017-10-31 05:00:25,Perpetual and Microsoft transform the finance sector with cloud-based mortgage analytics platform @MicrosoftAU… https://t.co/12JvTNuo8a,1,http://www.hootsuite.com
925206182603776000,2017-10-31 03:41:58,"RT @Leep_ngo: IMPACT Philanthropy Application Program from @perpetual_ltd now open, connecting philanthropists &amp; NFPs https://t.co/wm2cc3TJ…",2,http://www.hootsuite.com
925173062722637825,2017-10-31 01:30:21,Why true value goes deeper than share price. Perpetual's Garry Laurence discusses on The Investment Series - this S… https://t.co/pc5vHxPJ6z,1,http://www.hootsuite.com
925139050574512128,2017-10-30 23:15:12,There are increasing sensitivities about the data asked and data sought by #NFPs. Learn more:… https://t.co/TeIq3874s7,0,http://www.hootsuite.com
924848436607901696,2017-10-30 04:00:24,Mistakes are just opportunities for learning. Life lessons from Perpetual's Lifetime study. https://t.co/buLsN31rXW https://t.co/pT7D3D77mt,0,http://www.hootsuite.com
924780450110951424,2017-10-29 23:30:15,Why balancing sequencing risk and longevity risk is crucial. Perpetual's Michael O'Dea explains:… https://t.co/0Lbe1CKPP5,1,http://www.hootsuite.com
923761192098709504,2017-10-27 04:00:05,How can #philanthropy create long-term benefits for society? Perpetual chats with @StanfordPACS @robreich… https://t.co/FsPhroULED,2,https://studio.twitter.com
923723527332786176,2017-10-27 01:30:25,Congrats Bob Moffatt &amp; Nathan Campbell - winners of the Perpetual &amp; Microsoft competition. Thanks all for visiting… https://t.co/Gyfuq2sDvV,1,http://www.hootsuite.com
923685854849138688,2017-10-26 23:00:43,Perpetual's Garry Laurence features as one of the five money masters in The Investment Series. Show airs Sat 12:30p… https://t.co/8GFBFRKgc6,2,http://www.hootsuite.com
923415612432543744,2017-10-26 05:06:52,"RT @artsculturegov: Applications are open for @auscouncilarts &amp; @perpetual_ltd  
scholarships for emerging Aust artists: Find out more: htt…",3,http://www.hootsuite.com
923387471617855488,2017-10-26 03:15:03,.@InfraPshipAus CEO Brendan Lyon talks State and Federal government policy on investor appetite in Australia… https://t.co/MJiJU6HBqp,0,https://studio.twitter.com
923051604424757248,2017-10-25 05:00:26,"The life lessons of 2,400 Australians. Findings from Perpetual's Lifetime study. https://t.co/QS1j4TS9BD https://t.co/dtR5sAKKac",0,http://www.hootsuite.com
922968549471211520,2017-10-24 23:30:24,The perils of sequencing risk and impact on your transition to retirement https://t.co/xtiAfknR4s https://t.co/IYCfJSXOyH,0,http://www.hootsuite.com
922704369811951616,2017-10-24 06:00:39,How non-profits can set up an Investment Policy Statement (IPS). https://t.co/vUhmdufgS6 https://t.co/uCR6UwLQ15,0,http://www.hootsuite.com
922598621056589825,2017-10-23 23:00:26,The 2018 Kibble Literary Awards for women writers are now open for applications (closing 6 Dec). Apply here: https://t.co/BtaJA2pSHn,0,http://www.hootsuite.com
