Tweet id,Created Time,Tweet Details,Retweet counts,Source URL
925229149131804673,2017-10-31 05:13:13,Banks better than beer? 'Liquid assets' may not be best investment. 5min video explanation from Paul and Kevin.… https://t.co/gJfZ1W98ue,0,http://www.hootsuite.com
925149621017628672,2017-10-30 23:57:12,RT @PaulMoorePMCap: Brewers buying into cannabis - not why we sold but could it disrupt the industry? https://t.co/HubQOqOSSi,2,http://www.hootsuite.com
924847643976638464,2017-10-30 03:57:15,"""The US economy is on a firm footing..."" https://t.co/oy4sqE8aUV",1,http://twitter.com
923774665683746816,2017-10-27 04:53:37,"RT @PaulMoorePMCap: Agree with Dimon, but in Australia, punitive top marginal tax rate for individuals the issue. https://t.co/h8GorFk6e1 ……",1,http://twitter.com
923774333415071744,2017-10-27 04:52:18,"PM Capital wins global equities mandate #globalequities #globalinvesting #investing #pmcapital
https://t.co/7lUZTwG4xJ @FinStd",0,http://twitter.com
923760500277592064,2017-10-27 03:57:20,PM Capital awarded a new global equities mandate by Alpha Fund Managers #investing #globalequities #equities  https://t.co/EBTWlN4XeS,0,http://twitter.com
923760178050117632,2017-10-27 03:56:03,RT @kbertoli1: Bitcoin’s made it all the way to @TheTodayShow. The team doesn’t look convinced @Ross_Greenwood particularly @karlstefanovic…,3,http://twitter.com
917911188914270209,2017-10-11 00:34:16,RT @PaulMoorePMCap: New position-Irish home builder Glenveagh. Continues post-GFC housing recovery investment theme we’ve run since '09. ht…,1,http://www.hootsuite.com
916135364607098880,2017-10-06 02:57:46,Thanks #PPZenithAwards for nominating us as a Finalist. Look forward to next year! https://t.co/c3uGy9BgbJ,1,http://twitter.com/download/iphone
916123442780397568,2017-10-06 02:10:24,Great to be a finalist in the International Equities - Global category at the #PPZenithAwards. Tough competition bu… https://t.co/5dXDVF0cWX,1,http://twitter.com/download/iphone
912503842230718464,2017-09-26 02:27:24,"Where to for Asia after significant market gains? Kevin Bertoli: ""..increasing valuations less of a tailwind.""… https://t.co/3p8CQXja1e",2,http://www.hootsuite.com
912476127997853696,2017-09-26 00:37:16,RT @PaulMoorePMCap: Good talk with @FinStd about how to take advantage of current market anomalies. Including Bondnado. More: https://t.co/…,5,http://www.hootsuite.com
912139504181538816,2017-09-25 02:19:39,RT @PaulMoorePMCap: GO TIGERS! #AFLGF,2,http://www.hootsuite.com
912139378411130881,2017-09-25 02:19:09,"RT @PaulMoorePMCap: @FT says rise of the stock picker. Likely true – rising rates negative for passive, positive for stock pickers. Passive…",1,http://www.hootsuite.com
910689671700783106,2017-09-21 02:18:32,Sharemarket veteran Paul Moore's webinar on share/ debt market opportunities starts in an hour! Register now! https://t.co/fNk95lvLyg,1,http://www.hootsuite.com
907835300579344384,2017-09-13 05:16:17,"Register for the @netwealthInvest webinar - Paul Moore on share/ debt market opportunities, and live Q&amp;A. https://t.co/R09Tjq2lCT",2,http://www.hootsuite.com
907784827079983106,2017-09-13 01:55:43,RT @PaulMoorePMCap: JP Morgan’s Jamie Dimon succinct summary on Bitcoin: a fraud and will blow up. https://t.co/cIxCQf9UQz,1,http://www.hootsuite.com
